index,split,logMedianBrightness
313,train,1.392218
314,train,1.418169
315,train,1.638419
316,train,1.454673
317,test,1.301032
318,train,1.427423
319,train,1.301031
320,val,1.301029
321,train,1.301030
322,val,1.577134
323,val,1.301031
324,train,1.301033
325,train,1.381258
326,train,1.301030
327,train,1.301031
328,train,1.419910
329,train,1.419911
330,train,1.549579
331,test,1.301030
332,train,1.379730
333,test,1.301031
334,train,1.305539
335,train,1.300066
336,val,1.565158
337,train,2.039634
338,train,1.696974
339,train,1.301114
340,val,1.301030
341,train,1.618186
342,val,1.301063
343,train,1.303759
344,train,1.301102
345,train,1.301214
346,train,1.562839
347,test,1.301030
348,val,1.494983
349,train,1.301030
350,val,1.573297
351,train,1.301030
352,test,1.301030
353,train,1.397759
354,train,1.866715
355,train,1.504712
356,train,1.301030
357,train,3.433715
358,train,1.579232
359,val,1.541594
360,val,1.304394
361,train,1.301030
362,train,1.690439
363,test,2.166941
364,train,1.440332
365,val,1.301030
366,train,1.395674
367,train,1.301032
368,train,1.301068
369,train,1.573776
370,train,1.302391
371,test,1.551439
372,train,1.312101
373,train,1.301100
374,train,1.447888
375,train,1.404639
376,train,1.766155
377,val,1.472043
378,val,1.303536
379,train,1.302468
380,train,1.504178
381,train,1.301032
382,val,1.300226
383,val,1.302746
384,train,1.685020
385,train,1.779930
386,train,1.968943
387,val,1.301031
388,train,1.572775
389,val,1.574072
390,test,1.600313
391,train,1.608497
392,val,1.301030
393,train,1.301030
394,train,1.390340
395,val,1.611120
396,val,1.303490
397,test,1.301030
398,test,1.524034
399,train,1.302143
400,train,1.301030
401,train,1.301030
402,train,1.453101
403,test,1.303704
404,train,1.629199
405,test,1.306296
406,train,1.301030
407,test,1.587165
408,train,1.480652
409,train,1.598094
410,train,1.586942
411,val,1.301030
412,test,1.301866
413,val,1.301031
414,train,1.610627
415,train,1.301030
416,val,1.301031
417,test,1.536088
418,train,1.440656
419,val,1.434890
420,val,1.299719
421,train,1.552178
422,train,1.301031
423,train,1.301031
424,train,1.301812
425,test,1.587959
426,val,1.301097
427,train,1.301030
428,test,1.298604
429,train,1.301030
430,test,1.301031
431,train,1.300732
432,train,1.601356
433,test,3.467974
434,train,1.302894
435,train,1.309476
436,val,1.548650
437,train,1.461546
438,test,1.300178
439,test,1.403661
440,test,1.559813
441,train,1.638965
442,train,1.301034
443,val,1.562680
444,train,1.694865
445,train,1.301088
446,train,1.531013
447,test,1.301838
448,train,3.253706
449,train,1.627612
450,train,1.301369
451,train,1.465171
452,val,1.301480
453,train,1.577393
454,val,1.598091
455,train,1.301030
456,train,1.525940
457,train,1.301031
458,train,1.655821
459,val,1.638033
460,train,1.474764
461,train,1.301030
462,train,1.451050
463,train,1.301032
464,train,1.609605
465,train,1.299288
466,train,1.436972
467,train,1.384688
468,test,1.301030
469,train,1.301087
470,train,2.197369
471,train,1.301118
472,train,1.299214
473,train,1.602568
474,train,1.301031
475,train,1.463689
476,train,1.301030
477,train,1.473774
478,train,1.301030
479,train,1.301032
480,train,3.621987
481,train,3.363092
482,test,1.522510
483,val,3.486437
484,train,3.426485
485,test,1.392676
486,train,3.622526
487,train,1.301031
488,train,3.542629
489,train,3.535727
490,train,1.502048
491,train,1.734471
492,train,1.300980
493,train,1.781534
494,train,1.484767
495,train,3.742493
496,train,3.601572
497,train,2.914701
498,test,3.259485
499,train,1.302153
500,val,1.301030
501,train,3.125885
502,test,1.313026
503,test,1.301030
504,val,1.301761
505,train,1.300991
506,train,1.613700
507,train,1.453148
508,train,1.575538
509,train,1.301034
510,train,1.301094
511,train,2.936052
512,train,3.707425
513,test,1.301612
514,train,1.682531
515,train,3.537469
516,train,3.365643
517,train,1.390007
518,test,3.249530
519,test,3.506356
520,test,3.062660
521,train,3.461077
522,val,3.255023
523,train,3.622633
524,val,3.032618
525,train,3.836577
526,train,1.535437
527,test,1.642010
528,train,3.550597
529,train,3.416612
530,train,1.301031
531,val,3.476475
532,val,3.390273
533,test,3.204085
534,train,1.301030
535,val,3.565501
536,train,3.533354
537,train,3.254860
538,test,3.493608
539,val,3.693903
540,test,3.188413
541,train,3.309745
542,val,1.719788
543,train,3.229624
544,train,1.580005
545,train,1.488273
546,test,3.150717
547,test,3.359042
548,train,3.623899
549,train,1.301031
550,val,1.301030
551,val,1.301083
552,train,1.487022
553,train,1.426348
554,test,3.502189
555,train,3.297255
556,val,3.259355
557,test,3.696310
558,train,3.420278
559,train,3.404230
560,test,1.301441
561,train,1.606845
562,val,1.305378
563,test,3.714418
564,train,3.513034
565,val,3.420980
566,train,3.372356
567,test,3.578293
568,val,3.506099
569,train,3.504839
570,train,3.309647
571,train,3.356132
572,val,1.301101
573,train,1.438562
574,train,2.865434
575,train,1.301030
576,train,1.495790
577,train,3.582158
578,test,1.518039
579,train,1.619396
580,train,3.636853
581,test,3.236869
582,train,3.497745
583,train,3.251881
584,test,1.535819
585,test,3.384488
586,train,1.301030
587,train,1.597002
588,test,1.412444
589,train,1.301031
590,train,1.993189
591,val,3.049298
592,test,1.301030
593,val,2.958135
594,train,1.551693
595,train,3.395443
596,test,1.513410
597,train,1.744705
598,train,3.513780
599,train,3.467472
600,train,3.404254
601,train,3.503325
602,train,1.301518
603,train,3.500150
604,test,1.301030
605,train,1.387704
606,train,1.956542
607,val,1.304301
608,train,1.299445
609,train,1.301030
610,train,1.467722
611,train,1.301030
612,train,1.544237
613,train,1.302981
614,train,1.301594
615,train,1.301031
616,test,1.822783
617,train,1.301030
618,train,1.301030
619,test,1.481776
620,val,1.304095
621,train,1.343747
622,train,1.494928
623,train,1.507389
624,test,1.487024
625,train,1.300117
626,val,1.299900
627,train,1.301029
628,train,1.904964
629,train,1.301033
630,val,1.721185
631,train,1.301708
632,train,1.303510
633,train,1.485427
634,train,1.371723
635,val,1.301030
636,train,1.686446
637,train,1.301030
638,train,1.301379
639,train,1.301031
640,train,3.468138
641,train,1.428576
642,test,3.259136
643,val,1.746393
644,val,3.480204
645,val,1.362277
646,train,1.366939
647,train,1.304989
648,train,1.512641
649,train,1.301102
650,test,3.262025
651,train,1.301030
652,test,1.401154
653,train,1.313991
654,train,1.468270
655,train,1.504340
656,train,1.304813
657,train,1.702874
658,val,1.303858
659,test,1.301030
660,val,1.307594
661,train,1.301123
662,train,1.301032
663,train,1.644456
664,train,1.303924
665,train,1.308170
666,train,1.431099
667,train,1.455218
668,train,1.572887
669,train,1.301031
670,train,1.580256
671,train,1.302733
672,val,1.512267
673,train,1.301030
674,train,1.448137
675,train,1.510416
676,test,1.301031
677,train,1.301081
678,train,1.301030
679,train,1.301030
680,train,1.301031
681,train,1.301030
682,test,1.531430
683,train,1.300176
684,train,1.301194
685,test,1.300067
686,train,1.474376
687,val,1.301030
688,train,1.678592
689,train,1.515741
690,train,1.341774
691,train,1.686741
692,val,1.424976
693,train,1.577816
694,test,1.301030
695,test,1.301030
696,train,1.311638
697,train,1.298156
698,train,1.300229
699,train,1.301031
700,train,1.664244
701,val,1.301577
702,val,1.300558
703,val,1.446463
704,train,1.302401
705,train,1.878956
706,train,1.501290
707,train,1.301030
708,train,1.434316
709,train,1.301213
710,train,1.519703
711,test,1.365046
712,val,1.420480
713,train,1.463962
714,test,1.301030
715,train,1.348854
716,train,1.301076
717,val,1.522354
718,train,1.301085
719,test,1.594682
720,test,1.301055
721,val,1.301031
722,train,1.301075
723,train,1.301030
724,train,1.394825
725,val,1.856665
726,test,1.634626
727,test,1.301030
728,train,1.301404
729,train,1.301030
730,val,1.579182
731,train,1.301988
732,test,1.301030
733,train,1.714855
734,train,1.307102
735,train,1.301050
736,test,1.682073
737,train,1.301572
738,val,1.424133
739,train,1.553959
740,train,1.304496
741,test,1.549961
742,val,1.512052
743,train,1.301075
744,train,1.306970
745,train,1.456770
746,test,1.409523
747,test,1.457749
748,train,1.503971
749,train,1.301031
750,train,1.301082
751,train,1.425616
752,train,1.301031
753,val,1.301031
754,train,1.301030
755,train,1.441267
756,train,1.579181
757,train,1.302440
758,train,1.300725
759,train,1.301030
760,val,1.543639
761,train,1.889355
762,train,1.726571
763,val,1.301123
764,train,1.301114
765,train,1.310034
766,train,1.305432
767,train,1.301031
768,test,1.300670
769,val,1.301033
770,train,1.301670
771,train,1.301031
772,train,1.301094
773,train,1.301031
774,train,1.301030
775,train,1.661726
776,train,1.301030
777,train,1.527428
778,train,1.628437
779,train,1.308066
780,val,1.301032
781,val,3.547272
782,train,1.301030
783,train,3.197072
784,val,3.497643
785,train,3.564753
786,train,3.573881
787,train,3.396891
788,train,1.301043
789,train,3.259480
790,train,3.529580
791,train,3.258775
792,val,1.303487
793,val,1.543556
794,train,1.301030
795,train,1.388507
796,train,1.553465
797,train,1.428162
798,test,1.301031
799,val,1.682094
800,train,1.300024
801,test,1.301257
802,train,3.555137
803,val,1.301030
804,train,1.301030
805,train,3.402421
806,train,3.369259
807,train,1.301031
808,train,3.438325
809,test,3.494467
810,train,1.687672
811,test,1.302598
812,val,1.422858
813,train,1.302106
814,train,1.305374
815,train,3.407771
816,train,3.273980
817,train,3.535540
818,train,3.522269
819,val,1.301030
820,train,1.589749
821,train,1.301028
822,train,1.594072
823,train,3.554612
824,test,3.128238
825,train,3.355675
826,train,1.301030
827,train,1.541936
828,train,1.528492
829,train,3.602687
830,train,1.301031
831,train,1.301941
832,train,3.263954
833,train,1.448566
834,train,3.217421
835,train,1.857286
836,val,1.650562
837,val,1.301451
838,test,1.301031
839,train,1.300028
840,train,1.301031
841,train,3.504991
842,train,1.302137
843,train,1.383550
844,train,1.476356
845,train,1.301030
846,train,1.301090
847,train,1.301030
848,test,3.620148
849,val,3.356084
850,test,3.307830
851,train,3.578190
852,train,3.533090
853,test,3.666137
854,test,3.654269
855,train,3.257948
856,train,1.302598
857,train,3.244060
858,train,3.682447
859,train,3.712354
860,train,3.724563
861,train,3.693501
862,train,3.592393
863,train,3.622447
864,train,3.582519
865,train,3.553159
866,train,3.672865
867,train,3.695354
868,train,3.660509
869,train,3.608440
870,val,3.694631
871,test,3.551123
872,train,3.328040
873,train,3.260546
874,train,3.643946
875,train,3.433490
876,train,3.227150
877,test,3.259825
878,train,3.527807
879,train,3.721711
880,train,3.184783
881,train,3.607734
882,train,3.598379
883,val,3.666141
884,train,1.301030
885,val,3.573423
886,train,3.140362
887,train,3.498382
888,train,3.690257
889,train,3.539991
890,train,3.435234
891,train,3.468406
892,train,3.623693
893,test,3.260828
894,val,3.515666
895,train,3.748177
896,train,1.873483
897,train,1.301127
898,train,3.447711
899,val,3.438834
900,train,3.360531
901,train,3.429255
902,train,3.709902
903,train,3.673626
904,train,3.790756
905,train,3.494396
906,train,1.614165
907,train,3.691427
908,train,3.513218
909,val,1.301030
910,train,3.615302
911,train,3.418829
912,train,3.715691
913,train,3.696318
914,train,1.657364
915,test,3.572911
916,test,3.908220
917,train,3.533289
918,train,1.301031
919,train,3.826107
920,train,3.601055
921,val,1.301133
922,train,1.593478
923,test,3.021172
924,train,3.731560
925,train,3.267170
926,train,3.667541
927,val,3.775975
928,train,3.480369
929,train,3.749119
930,train,3.613913
931,train,3.650312
932,test,3.131254
933,train,3.712616
934,train,1.301030
935,train,3.609272
936,test,1.395641
937,train,3.637261
938,train,3.213888
939,train,3.719820
940,test,3.627102
941,train,3.675775
942,train,3.688401
943,train,3.640052
944,val,3.510851
945,test,3.744343
946,train,3.792789
947,test,3.713428
948,train,3.809826
949,test,3.602123
950,train,1.301162
951,train,3.738177
952,train,3.667797
953,train,3.534301
954,train,3.818756
955,train,3.627337
956,train,3.797660
957,train,3.637203
958,train,3.622092
959,train,3.817776
960,test,3.509186
961,train,3.602116
962,train,3.695708
963,test,3.658805
964,train,3.742727
965,val,3.258656
966,test,3.908207
967,train,3.389275
968,train,3.743665
969,train,3.740074
970,train,3.601192
971,train,3.813847
972,train,3.736912
973,train,3.618382
974,val,1.302573
975,train,3.756479
976,val,3.381625
977,train,3.682023
978,test,1.304072
979,train,3.687676
980,train,3.473522
981,train,3.607900
982,train,3.832433
983,val,3.523974
984,val,3.605178
985,train,3.115708
986,train,3.633003
987,train,3.681150
988,test,3.667158
989,train,3.644542
990,train,3.735310
991,test,3.530245
992,test,1.633769
993,train,3.909152
994,val,3.846568
995,val,3.394670
996,test,3.591674
997,train,3.746669
998,train,3.528666
999,train,3.727237
1000,test,3.654968
1001,train,3.133049
1002,test,3.614346
1003,train,3.771881
1004,train,3.523665
1005,test,3.167317
1006,test,3.608467
1007,train,3.782123
1008,train,3.764110
1009,train,3.683532
1010,test,1.578276
1011,train,3.338029
1012,val,3.255492
1013,train,3.656963
1014,train,3.353842
1015,train,3.647501
1016,val,1.543167
1017,train,3.689714
1018,train,3.633372
1019,train,3.642584
1020,train,3.258625
1021,train,3.697318
1022,train,3.641563
1023,test,3.823735
1024,train,3.530348
1025,train,3.629023
1026,test,3.630061
1027,train,3.757827
1028,train,3.639634
1029,test,3.491414
1030,train,3.734545
1031,train,3.257593
1032,train,3.726432
1033,train,3.559637
1034,train,1.302212
1035,train,3.648466
1036,test,3.688954
1037,train,3.652166
1038,train,3.568480
1039,train,3.799716
1040,train,3.516192
1041,train,3.634591
1042,train,3.770962
1043,train,3.403979
1044,test,3.645163
1045,train,3.526219
1046,train,3.150416
1047,train,3.513778
1048,train,1.596531
1049,train,1.301030
1050,test,1.409106
1051,val,1.829704
1052,train,1.397130
1053,train,1.301030
1054,val,1.616768
1055,train,1.300908
1056,train,2.630657
1057,train,1.301051
1058,test,1.498660
1059,train,1.857332
1060,train,1.919104
1061,train,1.375755
1062,test,2.164567
1063,train,1.301030
1064,train,3.576650
1065,train,3.526798
1066,val,1.301030
1067,train,3.355370
1068,train,1.300647
1069,val,1.673783
1070,train,3.261143
1071,val,1.494129
1072,val,3.202325
1073,test,3.747133
1074,train,3.258757
1075,train,3.252769
1076,train,3.697318
1077,test,1.301030
1078,train,3.592260
1079,test,1.303587
1080,train,3.546273
1081,train,1.898458
1082,train,3.518472
1083,train,3.476101
1084,train,3.410197
1085,val,3.686663
1086,train,3.456040
1087,train,1.300973
1088,train,2.007415
1089,train,3.486820
1090,test,3.417655
1091,train,1.734134
1092,train,1.301031
1093,test,3.289926
1094,train,3.612381
1095,train,1.333197
1096,train,3.595285
1097,train,3.560104
1098,train,1.301071
1099,train,1.459380
1100,test,1.711596
1101,train,1.459783
1102,test,1.603951
1103,train,1.301030
1104,train,3.674716
1105,train,3.486596
1106,train,3.200186
1107,train,3.132915
1108,test,3.607257
1109,val,3.246270
1110,train,3.503791
1111,train,3.262704
1112,train,2.959167
1113,train,3.530045
1114,train,3.424263
1115,val,3.263056
1116,val,3.064275
1117,train,3.261138
1118,train,3.519584
1119,train,3.530424
1120,train,3.619847
1121,train,1.435951
1122,train,1.300327
1123,train,3.624365
1124,train,3.577527
1125,train,3.289766
1126,val,3.199002
1127,val,1.301030
1128,train,3.141359
1129,train,1.301318
1130,val,3.430934
1131,val,1.301097
1132,val,3.311532
1133,train,3.258030
1134,test,3.134916
1135,val,3.167492
1136,train,2.113168
1137,train,3.383190
1138,val,3.356621
1139,val,3.477168
1140,test,3.225342
1141,train,3.676979
1142,val,1.301031
1143,train,3.306484
1144,val,3.337423
1145,val,1.301082
1146,train,3.481096
1147,train,3.800226
1148,val,1.809162
1149,test,3.534428
1150,train,3.361271
1151,test,1.909431
1152,test,3.550533
1153,train,3.714953
1154,test,3.346169
1155,train,1.301030
1156,train,1.297871
1157,test,3.236060
1158,train,3.428873
1159,train,1.663677
1160,train,1.301030
1161,train,3.498228
1162,train,1.301030
1163,train,3.259355
1164,train,1.301031
1165,train,3.388738
1166,val,1.394625
1167,train,1.301137
1168,train,3.143465
1169,train,3.471046
1170,train,1.416988
1171,train,1.668931
1172,train,1.301030
1173,train,1.301030
1174,train,1.301061
1175,train,1.494757
1176,train,1.607620
1177,train,1.302333
1178,val,1.300798
1179,train,1.417185
1180,train,1.466170
1181,train,1.301030
1182,val,1.297398
1183,train,1.301826
1184,train,1.633321
1185,train,1.301031
1186,val,3.268985
1187,test,3.752328
1188,val,3.764749
1189,train,3.385458
1190,train,3.691561
1191,val,3.731682
1192,val,3.699580
1193,test,3.717041
1194,train,3.875017
1195,val,3.540535
1196,test,3.905236
1197,val,3.693192
1198,train,3.744985
1199,test,3.532831
1200,val,1.300012
1201,train,3.864743
1202,train,3.562238
1203,test,1.879561
1204,train,3.573525
1205,train,3.714628
1206,train,3.254693
1207,val,3.561832
1208,test,3.658643
1209,test,3.547184
1210,train,3.139549
1211,val,3.708789
1212,train,3.681471
1213,val,3.675085
1214,train,3.897880
1215,train,3.824948
1216,train,3.669257
1217,val,3.725052
1218,train,1.301030
1219,train,3.821935
1220,train,3.115606
1221,val,3.720489
1222,val,3.802333
1223,train,3.260008
1224,train,1.476899
1225,test,3.643967
1226,train,3.434351
1227,train,3.391480
1228,val,3.140797
1229,test,3.775974
1230,train,3.631155
1231,train,3.737246
1232,val,3.530324
1233,train,3.759692
1234,train,1.301030
1235,test,3.545509
1236,train,3.754145
1237,train,3.687766
1238,train,1.301030
1239,train,1.299794
1240,train,3.256207
1241,test,1.894271
1242,train,3.231491
1243,test,3.673556
1244,train,3.472525
1245,train,3.750052
1246,train,3.333135
1247,test,3.746350
1248,train,3.493801
1249,test,3.171534
1250,val,3.760903
1251,train,1.301030
1252,train,3.645987
1253,train,3.688668
1254,train,3.841453
1255,train,3.557591
1256,train,3.757512
1257,train,3.877429
1258,test,3.768792
1259,val,3.956032
1260,train,3.653647
1261,train,3.533693
1262,train,3.706447
1263,train,3.744068
1264,val,3.842632
1265,train,3.681354
1266,train,3.442967
1267,train,3.854497
1268,val,3.400369
1269,train,3.535763
1270,train,3.626457
1271,train,3.486786
1272,train,3.637496
1273,train,3.900793
1274,test,3.810586
1275,test,3.935770
1276,val,3.902444
1277,train,3.599078
1278,val,3.743410
1279,train,3.700546
1280,train,3.886739
1281,train,3.795388
1282,train,1.304588
1283,train,3.644001
1284,train,3.692046
1285,train,3.764519
1286,test,1.301031
1287,train,1.301088
1288,train,3.810950
1289,val,3.660410
1290,train,3.241965
1291,train,3.881018
1292,train,3.775974
1293,val,3.709002
1294,train,1.301030
1295,train,3.518102
1296,train,3.545708
1297,train,3.644958
1298,val,3.740688
1299,train,3.513242
1300,val,3.676074
1301,test,3.744008
1302,train,3.644924
1303,train,3.704131
1304,train,3.797822
1305,test,3.867291
1306,train,3.624998
1307,train,3.743021
1308,val,3.592745
1309,train,3.791667
1310,test,3.725971
1311,train,3.770570
1312,train,3.654289
1313,train,3.800562
1314,train,3.761562
1315,train,3.752209
1316,train,3.667880
1317,val,3.819572
1318,train,3.255841
1319,train,3.862643
1320,train,3.707907
1321,test,3.413755
1322,train,3.412346
1323,train,3.695885
1324,train,3.572218
1325,val,3.725334
1326,train,3.552477
1327,train,1.301031
1328,test,1.301482
1329,test,3.844740
1330,val,3.682277
1331,train,3.740319
1332,test,1.300741
1333,train,3.723099
1334,train,3.740092
1335,test,3.798717
1336,val,3.253306
1337,test,3.693572
1338,train,3.694371
1339,train,3.610678
1340,train,3.807507
1341,test,3.525498
1342,train,3.964163
1343,train,3.683057
1344,val,3.858742
1345,val,3.633655
1346,train,3.563627
1347,train,3.641269
1348,val,1.301031
1349,train,3.428532
1350,test,3.647802
1351,val,3.836442
1352,train,3.702461
1353,train,3.646648
1354,train,3.416146
1355,train,3.694824
1356,train,3.639877
1357,train,3.770811
1358,train,3.825742
1359,train,3.562758
1360,train,3.814518
1361,train,3.716039
1362,val,3.475428
1363,val,3.677252
1364,val,3.758760
1365,train,3.647367
1366,train,3.616677
1367,train,3.736457
1368,train,3.726334
1369,train,3.883714
1370,train,3.816616
1371,train,1.301030
1372,train,3.868905
1373,train,3.768396
1374,train,3.718900
1375,train,3.573178
1376,val,3.208413
1377,test,3.538598
1378,train,3.738197
1379,val,3.639850
1380,train,1.301030
1381,test,1.562706
1382,train,3.375895
1383,train,1.490674
1384,train,3.531769
1385,val,3.172197
1386,val,3.547267
1387,train,3.333882
1388,train,3.439706
1389,val,3.488806
1390,train,3.263855
1391,train,3.689110
1392,train,1.554392
1393,train,3.650701
1394,val,3.667717
1395,train,3.653955
1396,train,3.193818
1397,train,3.601991
1398,train,3.551383
1399,test,3.550077
1400,train,3.753978
1401,train,3.611741
1402,train,3.533708
1403,train,3.248560
1404,val,3.294867
1405,train,3.512811
1406,train,3.628002
1407,train,3.644016
1408,train,3.727618
1409,val,3.494626
1410,train,3.661174
1411,train,3.767432
1412,test,3.526915
1413,val,3.686360
1414,train,3.452964
1415,train,3.513056
1416,train,3.542097
1417,val,3.763720
1418,test,3.833518
1419,val,3.696056
1420,train,3.705835
1421,train,3.405007
1422,train,3.572372
1423,train,3.803169
1424,train,3.676979
1425,train,3.472940
1426,train,3.690767
1427,train,3.491009
1428,train,3.256123
1429,train,3.391634
1430,train,3.708400
1431,val,3.691520
1432,val,3.378078
1433,train,3.706970
1434,val,3.588078
1435,train,3.125271
1436,train,3.728766
1437,val,3.573841
1438,train,3.684703
1439,train,3.804270
1440,train,3.778808
1441,train,3.762140
1442,train,3.627836
1443,val,3.709235
1444,train,1.301305
1445,val,3.667614
1446,train,1.418817
1447,train,3.367026
1448,train,3.791867
1449,test,3.781083
1450,train,3.157491
1451,train,3.631891
1452,test,3.710736
1453,train,3.649443
1454,train,3.755068
1455,test,3.599329
1456,test,3.659237
1457,train,3.158805
1458,train,3.589059
1459,test,3.454241
1460,val,3.536610
1461,train,3.746196
1462,train,1.434025
1463,train,3.349746
1464,train,3.889080
1465,train,2.981171
1466,train,3.668301
1467,test,1.498294
1468,train,3.530957
1469,val,3.725888
1470,train,3.501965
1471,val,3.749447
1472,test,3.764986
1473,train,3.591612
1474,train,3.621876
1475,train,3.636922
1476,test,3.686467
1477,train,3.634355
1478,train,3.670410
1479,test,3.845539
1480,test,3.497627
1481,train,3.715493
1482,val,3.693796
1483,val,1.302041
1484,test,3.855462
1485,val,3.583061
1486,train,3.542283
1487,train,3.766108
1488,test,3.768371
1489,val,2.011503
1490,val,3.594358
1491,train,3.765064
1492,val,3.873556
1493,test,3.535944
1494,test,3.643230
1495,train,3.980820
1496,train,3.487505
