variant,pair,scaffold_name,round,lam_used,ident_to_scaffold,pred_ex,pred_em,design_pka,design_pka_std,scaffold_pka_true,scaffold_pka_pred,delta_vs_scaffold
temp5,CFP-EGFP,CFP,5,32,0.849,454.8,492.2,4.97,0.59,nan,4.45,nan
temp5,CFP-EGFP,CFP,6,35,0.849,443.2,484.1,4.71,0.56,nan,4.45,nan
temp5,CFP-EGFP,CFP,7,38,0.832,442.8,481.8,4.56,0.69,nan,4.45,nan
temp5,CFP-EGFP,CFP,8,41,0.836,449.6,486.7,4.65,0.56,nan,4.45,nan
temp5,CFP-EGFP,CFP,9,44,0.840,458.9,492.1,4.68,0.64,nan,4.45,nan
temp5,CFP-EGFP,CFP,10,47,0.849,445.2,482.8,4.44,0.71,nan,4.45,nan
temp5,SBFP2-SCFP3A,SBFP2,0,20,1.000,372.6,442.7,5.36,0.16,5.5,5.36,-0.14
temp5,SBFP2-SCFP3A,SBFP2,1,20,0.887,415.0,478.0,5.59,0.29,5.5,5.36,0.09
temp5,SBFP2-SCFP3A,SBFP2,2,23,0.849,426.7,490.8,5.68,0.56,5.5,5.36,0.18
temp5,SBFP2-SCFP3A,SBFP2,3,26,0.837,419.0,489.1,5.57,0.43,5.5,5.36,0.07
temp5,SBFP2-SCFP3A,SBFP2,4,29,0.845,410.9,491.4,5.71,0.51,5.5,5.36,0.21
temp5,SBFP2-SCFP3A,SBFP2,5,32,0.845,424.8,496.3,5.72,0.46,5.5,5.36,0.22
temp5,SBFP2-SCFP3A,SBFP2,6,35,0.849,435.9,486.8,5.62,0.85,5.5,5.36,0.12
temp5,SBFP2-SCFP3A,SBFP2,7,38,0.841,435.1,489.0,5.63,0.8,5.5,5.36,0.13
temp5,SBFP2-SCFP3A,SBFP2,8,41,0.841,441.6,490.3,5.74,0.63,5.5,5.36,0.24
temp5,SBFP2-SCFP3A,SBFP2,9,44,0.833,443.1,490.0,5.73,0.67,5.5,5.36,0.23
temp5,SBFP2-SCFP3A,SBFP2,10,47,0.837,456.8,495.3,5.74,0.61,5.5,5.36,0.24
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,0,20,1.000,425.7,469.1,4.58,0.26,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,1,20,0.870,438.2,478.0,4.51,0.23,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,2,23,0.854,451.1,489.1,5.4,0.52,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,3,26,0.845,440.3,484.2,5.47,0.57,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,4,29,0.845,449.3,488.9,5.46,0.47,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,5,32,0.845,444.6,487.4,5.13,0.54,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,6,35,0.849,448.3,490.1,5.15,0.51,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,7,38,0.854,448.7,490.7,5.27,0.57,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,8,41,0.862,445.6,487.5,5.36,0.57,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,9,44,0.862,441.3,483.0,5.32,0.51,nan,4.58,nan
temp5/moderate,mCerulean.B-GFPxm16,mCerulean.B,10,47,0.849,442.5,484.3,5.33,0.44,nan,4.58,nan
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,0,20,1.000,460.9,558.2,4.13,0.1,4.0,4.13,0.13
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,1,20,0.871,515.9,529.6,5.01,0.19,4.0,4.13,1.01
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,2,23,0.871,504.2,514.5,4.96,0.25,4.0,4.13,0.96
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,3,26,0.853,501.5,510.8,4.86,0.33,4.0,4.13,0.86
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,4,29,0.853,485.9,505.9,5.0,0.21,4.0,4.13,1.0
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,5,32,0.844,484.5,505.8,5.03,0.22,4.0,4.13,1.03
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,6,35,0.849,490.2,507.3,4.96,0.2,4.0,4.13,0.96
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,7,38,0.849,494.7,508.5,4.98,0.24,4.0,4.13,0.98
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,8,41,0.849,495.9,509.6,4.96,0.2,4.0,4.13,0.96
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,9,44,0.844,491.9,507.7,4.99,0.19,4.0,4.13,0.99
temp5/moderate,mHoneydew-E2-Red/Green,mHoneydew,10,47,0.849,492.1,507.4,4.96,0.14,4.0,4.13,0.96
