index,name,surrogate_role,oracle_role
102,htFuncLib_mid.4,train,train
103,htFuncLib_mid.5,train,train
104,htFuncLib_mid.6,train,train
105,htFuncLib_mid.7,train,val
106,htFuncLib_mid.8,val,train
107,htFuncLib_mid.9,val,train
108,htFuncLib_photostable.1,train,test
109,htFuncLib_photostable.2,val,train
110,htFuncLib_sf:acid.3,train,train
111,htFuncLib_sf:acid.4,val,train
112,htFuncLib_sf:acid.5,train,test
113,htFuncLib_sf:bleach.1,train,train
114,htFuncLib_sf:bleach.2,val,train
115,htFuncLib_sf:bleach.3,train,train
116,htFuncLib_sf:em-blue-shift.1,val,train
117,htFuncLib_sf:em-blue-shift.2,val,train
118,htFuncLib_sf:fast.3,train,train
119,htFuncLib_sf:mid.10,train,test
120,htFuncLib_sf:mid.11,train,train
121,htFuncLib_sf:mid.12,train,test
122,htFuncLib_sf:mid.5,train,train
123,htFuncLib_sf:mid.7,val,train
124,htFuncLib_sf:mid.9,test,train
125,htFuncLib_sf:photostable.1,train,train
126,htFuncLib_sf:photostable.2,test,train
127,htFuncLib_sf:thermo.2,train,train
128,htFuncLib_sf:thermo.9,test,train
129,htFuncLib_slow.1,train,train
130,htFuncLib_slow.2,train,train
131,htFuncLib_slow.3,train,val
132,htFuncLib_slow.4,train,val
133,htFuncLib_thermo.1,val,train
134,htFuncLib_thermo.2,train,test
135,htFuncLib_thermo.3,train,train
136,htFuncLib_thermo.4,train,train
137,htFuncLib_thermo.5,train,test
138,htFuncLib_thermo.6,train,val
139,htFuncLib_thermo.8,train,train
140,htFuncLib_thermo.9,val,train
141,Hyperfolder YFP,val,train
142,IrisFP,train,test
143,IrisFP-M159A,train,test
144,Kaede,test,train
145,Katushka2S,test,train
146,KikG,train,train
147,KikGR1,test,train
148,KO,test,train
149,Kohinoor,train,train
150,lanRFP-ΔS83l,val,train
151,LanYFP,train,train
152,laRFP,train,train
153,Lime,train,val
154,LSSA12,train,test
155,LSSmApple,val,train
156,LSSmCherry1,train,val
157,LSSmGFP,train,val
158,LSS-mKate1,train,train
159,LSS-mKate2,val,train
160,LSSmOrange,test,train
161,LSSmScarlet,test,train
162,LSSmScarlet2,train,train
163,LSSmScarlet3,train,val
164,mAmetrine,train,val
165,mApple,train,val
166,mAvicFP1,train,test
167,mAzamiGreen,test,train
168,mBanana,train,train
169,mBaoJin,train,val
170,mBeRFP,train,val
171,mBlueberry2,train,train
172,mCardinal,train,val
173,mCarmine,train,test
174,mCerulean2,train,val
175,mCerulean2.N,train,train
176,mCerulean3,train,val
177,mChartreuse,train,test
178,mCherry,train,train
179,mCherry2,train,train
180,mCherry-XL,train,train
181,mClavGR2,train,train
182,mClover3,train,train
183,mCRISPRed,train,train
184,mCyRFP1,train,train
185,mEGFP,train,val
186,mEmerald,test,train
187,mEos2,train,val
188,mEos2-A69T,train,train
189,mEos3.1,train,val
190,mEos3.2,test,train
191,mEos4a,train,train
192,mEos4b,train,train
193,mEos4b-L93M,train,train
194,mEos4Fast1,train,train
195,mEos4Fast2,val,train
196,mEosEM,test,train
197,mEosFP,train,test
198,mEosFP-F173S,train,train
199,mEosFP-M159A,val,train
200,mGarnet,test,train
201,mGarnet2,val,train
202,mGeos-C,test,train
203,mGeos-E,val,train
204,mGeos-F,train,train
205,mGeos-L,test,train
206,mGeos-M,train,train
207,mGeos-S,train,test
208,mGinger1,val,train
209,mGinger2,train,train
210,mGold,train,train
211,mGold2s,train,train
212,mGold2t,train,test
213,mGrape1,train,train
214,mGrape2,test,train
215,mGrape3,train,test
216,mGreenLantern,test,train
217,mHoneydew,train,val
218,MiCy,train,test
219,mIrisFP,test,train
220,mJuniper,train,val
221,mKalama1,test,train
222,mKate,train,test
223,mKate2,train,train
224,mKate S158A,train,val
225,mKelly1,train,test
226,mKelly2,test,train
227,mK-GO,train,test
228,mKikGR,train,val
229,mKO,train,train
230,mKO2,train,val
231,mKOκ,train,train
232,mLemon,train,train
233,mLumin,val,train
234,mLychee,train,train
235,mMaple,train,train
236,mMaroon1,val,train
237,mMiCy,train,train
238,mNectarine,train,test
239,mNeonGreen,train,train
240,mNeptune,train,test
241,mNeptune2,train,train
242,mNeptune2.5,train,val
243,mNeptune681,train,test
244,mNeptune684,val,train
245,Monomeric hyperfolder YFP,train,train
246,mOrange,train,test
247,mOrange2,train,test
248,mPapaya,val,train
249,mPapaya0.7,train,train
250,mPlum,train,train
251,mPlum-E16P,val,train
252,mRFP1,test,train
253,mRojoA,train,test
254,mRojoB,train,train
255,mRouge,val,train
256,mRuby,train,test
257,mRuby2,train,val
258,mRuby3,train,test
259,mRubyFT,train,val
260,mScarlet,train,val
261,mScarlet3,val,train
262,mScarlet3-H,train,test
263,mScarlet3-S2,train,train
264,mScarlet-H,train,train
265,mScarlet-I,train,train
266,mScarlet-I3,train,train
267,mStayGold,test,train
268,mStayGold2,train,train
269,mStrawberry,train,train
270,mTagBFP2,train,train
271,mTangerine,train,train
272,mTFP1,test,train
273,mT-Sapphire,val,train
274,mTurquoise,val,train
275,mTurquoise2,train,val
276,mTurquoise2-1710,train,train
277,mTurquoise2_T203Y,test,train
278,mUkG,train,test
279,mVenus,val,train
280,mWasabi,train,test
281,mWatermelon,val,train
282,Neptune,train,val
283,NijiFP,train,train
284,NowGFP,val,train
285,Padron2,train,test
286,PAmCherry1,train,train
287,PAmCherry2,train,train
288,PAmCherry3,train,train
289,PAmKate,train,train
290,PATagRFP,val,train
291,pcDronpa,train,test
292,pcDronpa2,test,train
293,pcStar,test,train
294,Phanta,train,train
295,"pHluorin, ecliptic",val,train
296,pHmScarlet,val,train
297,pH-tdGFP,train,test
298,pHuji,train,train
299,pmimGFP1,val,train
300,pmimGFP2,train,val
301,PROSS-eGFP,train,train
302,PS-CFP,train,train
303,PSmOrange,val,train
304,PSmOrange2,train,val
305,RDSmCherry1,train,train
306,RRvT,train,val
307,rsEGFP,train,train
308,rsEGFP2,train,train
309,rsFolder,test,train
310,rsFolder2,train,train
311,rsFusionRed1,train,train
312,rsFusionRed2,val,train
313,rsFusionRed3,val,train
314,rsGreen1,train,train
315,rsTagRFP,train,train
316,Rtms5,train,train
317,Sapphire,train,test
318,SBFP2,train,val
319,SCFP1,train,val
320,SCFP2,train,val
321,SCFP3A,train,val
322,SCFP3B,train,val
323,SEYFP,train,val
324,SGFP1,test,train
325,SGFP2,train,train
326,SGFP2(206A),train,train
327,SGFP2(E222Q),train,train
328,SGFP2(T65G),test,train
329,Sirius,val,train
330,SiriusGFP,train,val
331,Skylan-NS,train,train
332,SPOON,train,train
333,StayGold,train,val
334,StayGold-E138D,train,test
335,superecliptic pHluorin,val,train
336,SYFP2,test,train
337,TagBFP,test,train
338,TagCFP,train,test
339,TagGFP,test,train
340,TagGFP2,test,train
341,TagRFP,train,train
342,TagRFP657,train,val
343,TagRFP658,val,train
344,TagRFP675,train,train
345,TagRFP-T,test,train
346,TagYFP,train,test
347,tdimer2(12),train,train
348,tdKatushka2,val,train
349,tdLanYFP,train,train
350,tdTomato,train,train
351,tKeima,train,train
352,T-Sapphire,train,train
353,TurboFP602,test,train
354,TurboGFP,val,train
355,TurboRFP,val,train
356,TurboYFP,train,test
357,Venus,test,train
358,vsfGFP-0,test,train
359,vsfGFP-9,test,train
360,WasCFP,train,train
361,YFP3,train,train
362,YPet,test,train
363,YuzuFP,train,val
