index,slug,name,seq_group,cluster,cluster_size
45,rsfusionred1,rsFusionRed1,44,2,56
46,mgold,mGold,45,0,165
47,htfunclib_sffast3,htFuncLib_sf:fast.3,46,0,165
48,mrouge,mRouge,47,1,71
49,htfunclib_sfacid5,htFuncLib_sf:acid.5,48,0,165
50,mchartreuse,mChartreuse,49,0,165
51,mkalama1,mKalama1,50,0,165
52,meosem,mEosEM,51,3,51
53,meosem,mEosEM,51,3,51
54,mneptune25,mNeptune2.5,52,2,56
55,katushka2s,Katushka2S,53,2,56
56,tdimer212,tdimer2(12),54,1,71
57,mrojob,mRojoB,55,1,71
58,mirfp2,miRFP2,56,8,6
59,htfunclib_thermo6,htFuncLib_thermo.6,57,0,165
60,htfunclib_mid2,htFuncLib_mid.2,58,0,165
61,mirfp,miRFP,59,8,6
62,mruby2,mRuby2,60,2,56
63,htfunclib_acid2,htFuncLib_acid.2,61,0,165
64,htfunclib_slow2,htFuncLib_slow.2,62,0,165
65,mgarnet2,mGarnet2,63,2,56
66,mgrape3,mGrape3,64,1,71
67,htfunclib_fast3,htFuncLib_fast.3,65,0,165
68,irfp670,iRFP670,66,13,3
69,taggfp,TagGFP,67,0,165
70,skylan-ns,Skylan-NS,68,3,51
71,dreiklang,Dreiklang,69,0,165
72,bdfp18,BDFP1.8,70,1,71
73,turbofp602,TurboFP602,71,2,56
74,unag,UnaG,72,33,1
75,mcherry_i202y,mCherry_I202Y,73,1,71
76,topaz,Topaz,74,0,165
77,mapple,mApple,75,1,71
78,anm2cp,anm2CP,76,6,8
79,hmgfp,hmGFP,77,34,1
80,citrine2,Citrine2,78,0,165
81,tagcfp,TagCFP,79,0,165
82,mkeima,mKeima,80,1,71
83,aausfp4,AausFP4,81,14,3
84,aausfp4,AausFP4,81,14,3
85,mkate,mKate,82,2,56
86,emirfp670,emiRFP670,83,8,6
87,mvenus,mVenus,84,0,165
88,htfunclib_sfacid3,htFuncLib_sf:acid.3,85,0,165
89,htfunclib_thermo3,htFuncLib_thermo.3,86,0,165
90,creilov,CreiLOV,87,35,1
91,aausfp1,AausFP1,88,21,2
92,sandercyanin,Sandercyanin,89,36,1
93,shadowg,ShadowG,90,0,165
94,egfp,EGFP,91,0,165
95,siriusgfp,SiriusGFP,92,0,165
96,turborfp,TurboRFP,93,2,56
97,sapphire,Sapphire,94,0,165
98,mirfp670-2,miRFP670-2,95,13,3
99,killerred,KillerRed,96,6,8
100,acgfp1,AcGFP1,97,0,165
101,htfunclib_sfacid4,htFuncLib_sf:acid.4,98,0,165
102,htfunclib_photostable2,htFuncLib_photostable.2,99,0,165
103,rsfastlime,rsFastLime,100,3,51
104,mscarlet3-s2,mScarlet3-S2,101,1,71
105,lssmcherry1,LSSmCherry1,102,1,71
106,cfp,CFP,103,0,165
107,killerorange,KillerOrange,104,6,8
108,venus,Venus,105,0,165
109,htfunclib_acid1,htFuncLib_acid.1,106,0,165
110,oxgfp,oxGFP,107,0,165
111,darkvenus,DarkVenus,108,0,165
112,htfunclib_mid4,htFuncLib_mid.4,109,0,165
113,p4,P4,110,0,165
114,mcherry-xl,mCherry-XL,111,1,71
115,mcyrfp1,mCyRFP1,112,2,56
116,mstaygold,mStayGold,113,10,5
117,dsred,DsRed,114,1,71
118,eqfp670,eqFP670,115,2,56
119,mkikgr,mKikGR,116,3,51
120,mkikgr,mKikGR,116,3,51
121,irfp702,iRFP702,117,13,3
122,dsred-max,DsRed-Max,118,1,71
123,ps-cfp2,PS-CFP2,119,0,165
124,ps-cfp2,PS-CFP2,119,0,165
125,tripartitegfp,TripartiteGFP,120,0,165
126,secbfp2,secBFP2,121,2,56
127,htfunclib_bleach2,htFuncLib_bleach.2,122,0,165
128,mstaygold2,mStayGold2,123,10,5
129,ifp20,iFP2.0,124,12,3
130,pamcherry1,PAmCherry1,125,1,71
131,htfunclib_mid11,htFuncLib_mid.11,126,0,165
132,htfunclib_sfem-blue-shift1,htFuncLib_sf:em-blue-shift.1,127,0,165
133,micy,MiCy,128,15,3
134,kfp1,KFP1,129,16,3
135,nirfast-hpar-35dom,"nirFAST  + HPAR-3,5DOM",130,37,1
136,htfunclib_basic2,htFuncLib_basic.2,131,0,165
137,alphagfp,αGFP,132,0,165
138,htfunclib_sfphotostable2,htFuncLib_sf:photostable.2,133,0,165
139,htfunclib_mid7,htFuncLib_mid.7,134,0,165
140,htfunclib_thermo5,htFuncLib_thermo.5,135,0,165
141,melecfp,meleCFP,136,3,51
142,mscarlet-i3-ncwt,mScarlet-I3-NCwt,137,1,71
143,mirfp680,miRFP680,138,5,9
144,mmaroon1,mMaroon1,139,2,56
145,aq14,AQ14,140,22,2
146,mtfp1,mTFP1,141,3,51
147,hcred,HcRed,142,7,7
148,mirfp670nano3,miRFP670nano3,143,18,2
149,htfunclib_bleach4,htFuncLib_bleach.4,144,0,165
150,mrojoa,mRojoA,145,1,71
151,ebfp2,EBFP2,146,0,165
152,gfpe222g,GFP(E222G),147,0,165
153,kikgr1,KikGR1,148,3,51
154,kikgr1,KikGR1,148,3,51
155,tdsmurfp,TDsmURFP,149,23,2
156,shbfp,shBFP,150,7,7
157,avgfp,avGFP,151,0,165
158,hcred7,HcRed7,152,7,7
159,ecgp123,eCGP123,153,3,51
160,htfunclib_em-blue-shift1,htFuncLib_em-blue-shift.1,154,0,165
161,mavicfp1,mAvicFP1,155,0,165
162,mametrine,mAmetrine,156,0,165
163,irfp682,iRFP682,157,5,9
164,gdt,GdT,158,1,71
165,tagrfp657,TagRFP657,159,2,56
166,htfunclib_sfmid11,htFuncLib_sf:mid.11,160,0,165
167,gfpmut2,GFPmut2,161,0,165
168,nowgfp,NowGFP,162,0,165
169,ccgfp-e6,ccGFP E6,163,24,2
170,mbaojin,mBaoJin,164,10,5
171,rtms5,Rtms5,165,1,71
172,mrhubarb720,mRhubarb720,166,5,9
173,mscarlet-220a,mScarlet-220A,167,1,71
174,phiyfp,phiYFP,168,38,1
175,mruby3,mRuby3,169,2,56
176,meos2,mEos2,170,3,51
177,meos2,mEos2,170,3,51
178,mcerulean3,mCerulean3,171,0,165
179,htfunclib_mid9,htFuncLib_mid.9,172,0,165
180,dronpa,Dronpa,173,3,51
181,taggfp2,TagGFP2,174,0,165
182,lssa12,LSSA12,175,0,165
183,tkeima,tKeima,176,1,71
184,mjuniper,mJuniper,177,0,165
185,mirfp720,miRFP720,178,5,9
186,mkelly1,mKelly1,179,2,56
187,rscherryrev14,rsCherryRev1.4,180,1,71
188,adred,AdRed,181,11,5
189,htfunclib_thermo9,htFuncLib_thermo.9,182,0,165
190,avicfp1,AvicFP1,183,0,165
191,mgarnet,mGarnet,184,2,56
192,cyrfp1,CyRFP1,185,2,56
193,htfunclib_sfmid12,htFuncLib_sf:mid.12,186,0,165
194,mgold2s,mGold2s,187,0,165
195,htfunclib_sfmid10,htFuncLib_sf:mid.10,188,0,165
196,syfp2,SYFP2,189,0,165
197,tagrfp658,TagRFP658,190,2,56
198,htfunclib_mid12,htFuncLib_mid.12,191,0,165
199,htfunclib_mid6,htFuncLib_mid.6,192,0,165
200,htfunclib_photostable1,htFuncLib_photostable.1,193,0,165
201,eyfp,EYFP,194,0,165
202,tagbfp,TagBFP,195,2,56
203,mtagbfp2,mTagBFP2,196,2,56
204,pamkate,PAmKate,197,2,56
205,gamillus,Gamillus,198,25,2
206,mmaple3,mMaple3,199,3,51
207,mmaple3,mMaple3,199,3,51
208,mneptune,mNeptune,200,2,56
209,kaede,Kaede,201,3,51
210,kaede,Kaede,201,3,51
211,meos31,mEos3.1,202,3,51
212,meos31,mEos3.1,202,3,51
213,supernova2,SuperNova2,203,6,8
214,htfunclib_thermo4,htFuncLib_thermo.4,204,0,165
215,bdfp16,BDFP1.6,205,1,71
216,mscarlet-2a-84w,mScarlet-2A-84W,206,1,71
217,aq143,AQ143,207,22,2
218,mlumin,mLumin,208,2,56
219,pcstar,pcStar,209,3,51
220,pcstar,pcStar,209,3,51
221,minigfp2,miniGFP2,210,4,9
222,skylan-s,Skylan-S,211,3,51
223,br1,BR1,212,4,9
224,htfunclib_em-blue-shift2,htFuncLib_em-blue-shift.2,213,0,165
225,htfunclib_thermo1,htFuncLib_thermo.1,214,0,165
226,patagrfp,PATagRFP,215,2,56
227,morange,mOrange,216,1,71
228,shadowy,ShadowY,217,0,165
229,mmicy,mMiCy,218,15,3
230,dendra2-t69a,Dendra2-T69A,219,3,51
231,dendra2-t69a,Dendra2-T69A,219,3,51
232,tagrfp,TagRFP,220,2,56
233,mkate-s158c,mKate S158C,221,2,56
234,htfunclib_fast4,htFuncLib_fast.4,222,0,165
235,mcherry2,mCherry2,223,1,71
236,fusionred,FusionRed,224,2,56
237,mruby,mRuby,225,2,56
238,supernova-green,SuperNova Green,226,6,8
239,mscarlet-i-220a,mScarlet-I-220A,227,1,71
240,htfunclib_sfbleach2,htFuncLib_sf:bleach.2,228,0,165
241,mscarlet3,mScarlet3,229,1,71
242,sirius,Sirius,230,0,165
243,staygold-e138d,StayGold-E138D,231,10,5
244,rscherryrev,rsCherryRev,232,1,71
245,htfunclib_thermo8,htFuncLib_thermo.8,233,0,165
246,morange2,mOrange2,234,1,71
247,asred2,AsRed2,235,16,3
248,mtangerine,mTangerine,236,1,71
249,mirfp709,miRFP709,237,8,6
250,ccalofp1,ccalOFP1,238,24,2
251,ebfp,EBFP,239,0,165
252,usgfp,usGFP,240,0,165
253,nu,Nữ,241,0,165
254,azamired10,AzamiRed1.0,242,3,51
255,dsred2,DsRed2,243,1,71
256,bdfp20,BDFP2.0,244,1,71
257,htfunclib_mid10,htFuncLib_mid.10,245,0,165
258,shcp-e63ly64h,shCP-E63L/Y64H,246,7,7
259,htfunclib_sfbleach3,htFuncLib_sf:bleach.3,247,0,165
260,mrubyft,mRubyFT,248,2,56
261,mrubyft,mRubyFT,248,2,56
262,mcardinal,mCardinal,249,2,56
263,e2-orange,E2-Orange,250,1,71
264,htfunclib_thermo2,htFuncLib_thermo.2,251,0,165
265,mturquoise2,mTurquoise2,252,0,165
266,dlanyfp,dLanYFP,253,26,2
267,cgftagrfp,cgfTagRFP,254,2,56
268,supernova-red,SuperNova Red,255,6,8
269,mmaple,mMaple,256,3,51
270,mmaple,mMaple,256,3,51
271,electra1,Electra1,257,2,56
272,htfunclib_acid3,htFuncLib_acid.3,258,0,165
273,mmaple2,mMaple2,259,3,51
274,mmaple2,mMaple2,259,3,51
275,asulcp,asulCP,260,16,3
276,mirfp703,miRFP703,261,8,6
277,yuzufp,YuzuFP,262,0,165
278,mturquoise2-1710,mTurquoise2-1710,263,0,165
279,mecfp,mECFP,264,0,165
280,mscarlet-i,mScarlet-I,265,1,71
281,htfunclib_fast1,htFuncLib_fast.1,266,0,165
282,mbanana,mBanana,267,1,71
283,mko2,mKO2,268,9,6
284,hyperfolder-yfp,Hyperfolder YFP,269,0,165
285,mars1,mARs1,270,3,51
286,mscarlet,mScarlet,271,1,71
287,shardonnay,SHardonnay,272,0,165
288,htfunclib_bleach1,htFuncLib_bleach.1,273,0,165
289,lss-mkate1,LSS-mKate1,274,2,56
290,mplum,mPlum,275,1,71
291,grvt,GRvT,276,1,71
292,mberfp,mBeRFP,277,2,56
293,mscarlet-h,mScarlet-H,278,1,71
294,htfunclib_slow4,htFuncLib_slow.4,279,0,165
295,htfunclib_sfem-blue-shift2,htFuncLib_sf:em-blue-shift.2,280,0,165
296,rsfusionred2,rsFusionRed2,281,2,56
297,amilgfp,amilGFP,282,15,3
298,moxcerulean3,moxCerulean3,283,0,165
299,rsfusionred3,rsFusionRed3,284,2,56
300,memerald,mEmerald,285,0,165
301,citrine,Citrine,286,0,165
302,minisog2,miniSOG2,287,4,9
303,mirfp713,miRFP713,288,5,9
304,mginger2,mGinger2,289,7,7
305,htfunclib_mid5,htFuncLib_mid.5,290,0,165
306,lime,Lime,291,0,165
307,jred,Jred,292,6,8
308,moxmaple3,moxMaple3,293,3,51
309,moxmaple3,moxMaple3,293,3,51
310,azaleab5,AzaleaB5,294,17,2
311,lumazine-binding-protein,Lumazine binding protein,295,39,1
312,htfunclib_sfphotostable1,htFuncLib_sf:photostable.1,296,0,165
313,oxbfp,oxBFP,297,0,165
314,mturquoise,mTurquoise,298,0,165
315,vsfgfp-0,vsfGFP-0,299,0,165
316,fold6,FOLD6,300,0,165
317,mpapaya,mPapaya,301,11,5
318,philov21,phiLOV2.1,302,4,9
319,mrfp1,mRFP1,303,1,71
320,sforange,sfOrange,304,1,71
321,tagyfp,TagYFP,305,0,165
322,mcerulean,mCerulean,306,0,165
323,pa-gfp,PA-GFP,307,0,165
324,mkelly2,mKelly2,308,2,56
325,cagfbfp,CagFbFP,309,40,1
326,smurfp,smURFP,310,23,2
327,tagrfp-t,TagRFP-T,311,2,56
328,p4-3e,P4-3E,312,0,165
329,moxgfp,moxGFP,313,0,165
330,aquamarine,Aquamarine,314,0,165
331,dfgfp,dfGFP,315,25,2
332,mcherry_i202t,mCherry_I202T,316,1,71
333,dsred-express,DsRed-Express,317,1,71
334,mko,mKO,318,9,6
335,htfunclib_slow1,htFuncLib_slow.1,319,0,165
336,lucy,LucY,320,41,1
337,montipora-sp-20-9115,Montipora sp. #20-9115,321,1,71
338,car-geco1,CAR-GECO1,322,27,2
339,car-geco1,CAR-GECO1,322,27,2
340,megfp,mEGFP,323,0,165
341,mwasabi,mWasabi,324,3,51
342,cerulean,Cerulean,325,0,165
343,meos4a,mEos4a,326,3,51
344,meos4a,mEos4a,326,3,51
345,psmorange,PSmOrange,327,1,71
346,psmorange,PSmOrange,327,1,71
347,mkate2,mKate2,328,2,56
348,htfunclib_sfthermo2,htFuncLib_sf:thermo.2,329,0,165
349,htfunclib_acid6,htFuncLib_acid.6,330,0,165
350,tdtomato,tdTomato,331,1,71
351,htfunclib_bleach6,htFuncLib_bleach.6,332,0,165
352,adred-c148s,AdRed-C148S,333,11,5
353,efascfp,efasCFP,334,42,1
354,var1,Var1,335,0,165
355,moxdendra2,moxDendra2,336,3,51
356,moxdendra2,moxDendra2,336,3,51
357,dtfp02,dTFP0.2,337,3,51
358,dkeima570,dKeima570,338,1,71
359,htfunclib_bleach3,htFuncLib_bleach.3,339,0,165
360,padron09,Padron0.9,340,3,51
361,mugfp,muGFP,341,0,165
362,mgold2t,mGold2t,342,0,165
363,pplugfp2,ppluGFP2,343,19,2
364,amfp486,amFP486,344,20,2
365,zsgreen,ZsGreen,345,11,5
366,mcherry_m10l,mCherry_M10L,346,1,71
367,mlemon,mLemon,347,0,165
368,mneptune681,mNeptune681,348,2,56
369,mwatermelon,mWatermelon,349,1,71
370,eqfp611,eqFP611,350,2,56
371,htfunclib_sfmid5,htFuncLib_sf:mid.5,351,0,165
372,irfp713,iRFP713,352,5,9
373,wascfp,WasCFP,353,0,165
374,mcherry,mCherry,354,1,71
375,reach1,REACh1,355,0,165
376,rsfolder2,rsFolder2,356,0,165
377,mhoneydew,mHoneydew,357,1,71
378,meffcfp,meffCFP,358,43,1
379,ecfp,ECFP,359,0,165
380,mcitrine,mCitrine,360,0,165
381,ypet,YPet,361,0,165
382,aausgfp,AausGFP,362,0,165
383,dsredm1,DsRed.M1,363,1,71
384,htfunclib_basic1,htFuncLib_basic.1,364,0,165
385,eforcp,eforCP,365,44,1
386,mukg,mUkG,366,3,51
387,mrhubarb713,mRhubarb713,367,5,9
388,mclover3,mClover3,368,0,165
389,monomeric-hyperfolder-yfp,Monomeric hyperfolder YFP,369,0,165
390,htfunclib_basic3,htFuncLib_basic.3,370,0,165
391,clover,Clover,371,0,165
392,meos32,mEos3.2,372,3,51
393,meos32,mEos3.2,372,3,51
394,ko,KO,373,9,6
395,dkeima,dKeima,374,1,71
396,bruslee,BrUSLEE,375,0,165
397,mstable,mStable,376,2,56
398,dimvenus,DimVenus,377,0,165
399,htfunclib_mid8,htFuncLib_mid.8,378,0,165
400,dtomato,dTomato,379,1,71
401,mkate-s158a,mKate S158A,380,2,56
402,rsfolder,rsFolder,381,0,165
403,shbfp-n158sl173i,shBFP-N158S/L173I,382,7,7
404,neptune,Neptune,383,2,56
405,mginger1,mGinger1,384,7,7
406,htfunclib_sfthermo9,htFuncLib_sf:thermo.9,385,0,165
407,superfolder-gfp,Superfolder GFP,386,0,165
408,rdsmcherry1,RDSmCherry1,387,1,71
409,rsegfp2,rsEGFP2,388,0,165
410,eqfp650,eqFP650,389,2,56
411,htfunclib_sfmid9,htFuncLib_sf:mid.9,390,0,165
412,sopp3,SOPP3,391,4,9
413,mazamigreen,mAzamiGreen,392,3,51
414,e2-crimson,E2-Crimson,393,1,71
415,mrfp12,mRFP1.2,394,1,71
416,lssmscarlet,LSSmScarlet,395,1,71
417,avicfp4,AvicFP4,396,21,2
418,htfunclib_sfmid7,htFuncLib_sf:mid.7,397,0,165
419,vsfgfp-9,vsfGFP-9,398,0,165
420,snifp,SNIFP,399,12,3
421,avicfp2,AvicFP2,400,14,3
422,htfunclib_basic4,htFuncLib_basic.4,401,0,165
423,staygold,StayGold,402,10,5
424,mcrispred,mCRISPRed,403,2,56
425,phuji,pHuji,404,1,71
426,meos4b,mEos4b,405,3,51
427,meos4b,mEos4b,405,3,51
428,t-sapphire,T-Sapphire,406,0,165
429,htfunclib_mid3,htFuncLib_mid.3,407,0,165
430,sumire,Sumire,408,0,165
431,htfunclib_slow3,htFuncLib_slow.3,409,0,165
432,mturquoise2_t203y,mTurquoise2_T203Y,410,0,165
433,mcarmine,mCarmine,411,2,56
434,lss-mkate2,LSS-mKate2,412,2,56
435,mkillerorange,mKillerOrange,413,6,8
436,mk-go,mK-GO,414,9,6
437,mk-go,mK-GO,414,9,6
438,mraspberry,mRaspberry,415,1,71
439,zsyellow1,ZsYellow1,416,11,5
440,htfunclib_bleach5,htFuncLib_bleach.5,417,0,165
441,minisog,miniSOG,418,4,9
442,htfunclib_mid13,htFuncLib_mid.13,419,0,165
443,h2-3,h2-3,420,45,1
444,reach2,REACh2,421,0,165
445,scfp3a,SCFP3A,422,0,165
446,lssmgfp,LSSmGFP,423,0,165
447,azamigreen,AzamiGreen,424,3,51
448,sopp,SOPP,425,4,9
449,mkokappa,mKOκ,426,9,6
450,fusionred-mqv,FusionRed-MQV,427,2,56
451,mneongreen,mNeonGreen,428,26,2
452,lssmapple,LSSmApple,429,1,71
