index,name,role
105,htFuncLib_mid.6,train
106,htFuncLib_mid.7,val
107,htFuncLib_mid.8,val
108,htFuncLib_mid.9,train
109,htFuncLib_photostable.1,test
110,htFuncLib_photostable.2,train
111,htFuncLib_sf:acid.3,val
112,htFuncLib_sf:acid.4,train
113,htFuncLib_sf:acid.5,train
114,htFuncLib_sf:bleach.1,val
115,htFuncLib_sf:bleach.2,train
116,htFuncLib_sf:bleach.3,val
117,htFuncLib_sf:em-blue-shift.1,val
118,htFuncLib_sf:em-blue-shift.2,train
119,htFuncLib_sf:fast.3,val
120,htFuncLib_sf:mid.10,train
121,htFuncLib_sf:mid.11,train
122,htFuncLib_sf:mid.12,train
123,htFuncLib_sf:mid.5,val
124,htFuncLib_sf:mid.7,test
125,htFuncLib_sf:mid.9,train
126,htFuncLib_sf:photostable.1,test
127,htFuncLib_sf:photostable.2,train
128,htFuncLib_sf:thermo.2,test
129,htFuncLib_sf:thermo.9,train
130,htFuncLib_slow.1,train
131,htFuncLib_slow.2,train
132,htFuncLib_slow.3,train
133,htFuncLib_slow.4,train
134,htFuncLib_thermo.1,train
135,htFuncLib_thermo.2,train
136,htFuncLib_thermo.3,train
137,htFuncLib_thermo.4,train
138,htFuncLib_thermo.5,train
139,htFuncLib_thermo.6,train
140,htFuncLib_thermo.8,train
141,htFuncLib_thermo.9,train
142,Hyperfolder YFP,train
143,IrisFP,train
144,IrisFP-M159A,val
145,Kaede,val
146,Katushka2S,train
147,KikG,test
148,KikGR1,test
149,KO,train
150,Kohinoor,test
151,lanRFP-ΔS83l,train
152,LanYFP,train
153,laRFP,val
154,Lime,train
155,LSSA12,val
156,LSSmApple,train
157,LSSmCherry1,train
158,LSSmGFP,train
159,LSS-mKate1,test
160,LSS-mKate2,test
161,LSSmOrange,val
162,LSSmScarlet,train
163,LSSmScarlet2,train
164,LSSmScarlet3,train
165,mAmetrine,train
166,mApple,train
167,mAvicFP1,train
168,mAzamiGreen,train
169,mBanana,train
170,mBaoJin,train
171,mBeRFP,train
172,mBlueberry2,train
173,mCardinal,train
174,mCarmine,train
175,mCerulean2,train
176,mCerulean2.N,train
177,mCerulean3,train
178,mChartreuse,train
179,mCherry,train
180,mCherry2,train
181,mCherry-XL,train
182,mClavGR2,test
183,mClover3,train
184,mCRISPRed,train
185,mCyRFP1,train
186,mEGFP,val
187,mEmerald,train
188,mEos2,train
189,mEos2-A69T,test
190,mEos3.1,test
191,mEos3.2,train
192,mEos4a,train
193,mEos4b,train
194,mEos4b-L93M,train
195,mEos4Fast1,train
196,mEos4Fast2,test
197,mEosEM,val
198,mEosFP,train
199,mEosFP-F173S,val
200,mEosFP-M159A,train
201,mGarnet,train
202,mGarnet2,test
203,mGeos-C,val
204,mGeos-E,val
205,mGeos-F,train
206,mGeos-L,val
207,mGeos-M,train
208,mGeos-S,test
209,mGinger1,train
210,mGinger2,train
211,mGold,train
212,mGold2s,test
213,mGold2t,train
214,mGrape1,train
215,mGrape2,train
216,mGrape3,train
217,mGreenLantern,train
218,mHoneydew,train
219,MiCy,test
220,mIrisFP,test
221,mJuniper,val
222,mKalama1,test
223,mKate,train
224,mKate2,train
225,mKate S158A,train
226,mKeima,train
227,mKelly1,train
228,mKelly2,train
229,mK-GO,test
230,mKikGR,train
231,mKO,train
232,mKO2,train
233,mKOκ,train
234,mLemon,test
235,mLumin,train
236,mLychee,val
237,mMaple,train
238,mMaroon1,train
239,mMiCy,train
240,mNectarine,train
241,mNeonGreen,train
242,mNeptune,val
243,mNeptune2,test
244,mNeptune2.5,val
245,mNeptune681,train
246,mNeptune684,train
247,Monomeric hyperfolder YFP,val
248,mOrange,train
249,mOrange2,train
250,mPapaya,val
251,mPapaya0.7,val
252,mPlum,train
253,mPlum-E16P,train
254,mRFP1,val
255,mRojoA,train
256,mRojoB,train
257,mRouge,train
258,mRuby,train
259,mRuby2,train
260,mRuby3,train
261,mRubyFT,train
262,mScarlet,train
263,mScarlet3,train
264,mScarlet3-H,train
265,mScarlet3-S2,val
266,mScarlet-H,val
267,mScarlet-I,train
268,mScarlet-I3,train
269,mStayGold,train
270,mStayGold2,train
271,mStrawberry,train
272,mTagBFP2,train
273,mTangerine,test
274,mTFP1,train
275,mT-Sapphire,train
276,mTurquoise,train
277,mTurquoise2,val
278,mTurquoise2-1710,test
279,mTurquoise2_T203Y,test
280,mUkG,train
281,mVenus,train
282,mWasabi,train
283,mWatermelon,train
284,Neptune,test
285,NijiFP,val
286,NowGFP,val
287,Padron2,train
288,PAmCherry1,train
289,PAmCherry2,train
290,PAmCherry3,val
291,PAmKate,train
292,PATagRFP,train
293,pcDronpa,train
294,pcDronpa2,val
295,pcStar,train
296,Phanta,val
297,pHluorin4,test
298,"pHluorin, ecliptic",test
299,pHmScarlet,val
300,pH-tdGFP,val
301,pHuji,train
302,pmimGFP1,train
303,pmimGFP2,train
304,PROSS-eGFP,train
305,PS-CFP,train
306,PSLSSmKate,val
307,PSmOrange,train
308,PSmOrange2,train
309,RDSmCherry1,train
310,RRvT,train
311,rsEGFP,train
312,rsEGFP2,train
313,rsFolder,val
314,rsFolder2,train
315,rsFusionRed1,train
316,rsFusionRed2,test
317,rsFusionRed3,train
318,rsGreen1,train
319,rsTagRFP,train
320,Rtms5,train
321,Sapphire,val
322,SBFP2,test
323,SCFP1,train
324,SCFP2,train
325,SCFP3A,train
326,SCFP3B,train
327,SEYFP,train
328,SGFP1,test
329,SGFP2,train
330,SGFP2(206A),train
331,SGFP2(E222Q),val
332,SGFP2(T65G),train
333,Sirius,train
334,SiriusGFP,train
335,Skylan-NS,train
336,SPOON,train
337,StayGold,train
338,StayGold-E138D,train
339,superecliptic pHluorin,test
340,SYFP2,train
341,TagBFP,train
342,TagCFP,train
343,TagGFP,val
344,TagGFP2,test
345,TagRFP,val
346,TagRFP657,train
347,TagRFP658,test
348,TagRFP675,train
349,TagRFP-T,test
350,TagYFP,train
351,tdimer2(12),train
352,tdKatushka2,train
353,tdLanYFP,train
354,tdTomato,train
355,tKeima,test
356,T-Sapphire,test
357,TurboFP602,test
358,TurboGFP,train
359,TurboRFP,val
360,TurboYFP,train
361,Venus,test
362,vsfGFP-0,test
363,vsfGFP-9,train
364,WasCFP,train
365,YFP3,train
366,YPet,train
367,YuzuFP,train
