index,name,role
107,ECFP,train
108,ECFP H148D,train
109,ECGFP,test
110,eCGP123,train
111,eechGFP1,test
112,eechGFP2,train
113,eechGFP3,train
114,eechRFP,train
115,efasCFP,train
116,efasGFP,train
117,eforCP,val
118,EGFP,train
119,Electra1,test
120,Electra2,val
121,Emerald,train
122,EosFP,val
123,eqFP578,test
124,eqFP611,test
125,eqFP611 V124T,train
126,eqFP650,test
127,eqFP670,val
128,EYFP,train
129,EYFP-Q69K,train
130,eYGFP,train
131,eYGFPuv,train
132,eYGPdp,train
133,fabdGFP,test
134,ffDronpa,train
135,FOLD6,train
136,Folding Reporter GFP,val
137,FR-1,train
138,frSkylan-S,train
139,FusionRed,train
140,FusionRed-M,test
141,FusionRed-MQV,train
142,G1,val
143,G2,train
144,G3,train
145,Gamillus,test
146,Gamillus0.1,train
147,Gamillus0.2,val
148,Gamillus0.3,train
149,Gamillus0.4,train
150,GdT,train
151,gfasGFP,train
152,GFPmut2,train
153,GFPmut3,test
154,GFP (S65T),train
155,GGvT,val
156,h2-3,train
157,H9,train
158,HcRed,train
159,HcRed7,train
160,HcRed-Tandem,val
161,hmKeima8.5,val
162,Hyperfolder YFP,test
163,iq-mEmerald,train
164,IrisFP,test
165,IrisFP-M159A,train
166,Jred,test
167,Kaede,train
168,Katushka,train
169,Katushka2S,train
170,KCY,train
171,KCY-G4219,train
172,KCY-R1,train
173,KFP1,train
174,KikG,train
175,KikGR1,train
176,KillerOrange,train
177,KillerRed,train
178,KO,train
179,Kohinoor,train
180,Kohinoor2.0,train
181,LanFP1,train
182,LanFP2,test
183,lanRFP-ΔS83l,train
184,LanYFP,train
185,laRFP,train
186,Lime,val
187,LSSA12,train
188,LSSmApple,train
189,LSSmCherry1,test
190,LSSmGFP,train
191,LSS-mKate1,train
192,LSS-mKate2,train
193,LSSmOrange,train
194,LSSmScarlet,train
195,LSSmScarlet2,val
196,LSSmScarlet3,train
197,M355NA,train
198,mAmetrine,test
199,mApple,train
200,Maroon0.1,train
201,mARs1,train
202,mAvicFP1,train
203,mAzamiGreen,train
204,mBanana,train
205,mBaoJin,train
206,mBaoJin-T55S,test
207,mBeRFP,train
208,mBlueberry1,train
209,mBlueberry2,val
210,mCardinal,train
211,mCarmine,train
212,mCerulean,val
213,mCerulean2,train
214,mCerulean2.D3,test
215,mCerulean2.N,train
216,mCerulean2.N(T65S),train
217,mCerulean3,train
218,mCerulean.B,train
219,mCerulean.B2,train
220,mCerulean.B24,train
221,mChartreuse,val
222,mCherry,val
223,mCherry2,val
224,mCherry-XL,train
225,mCitrine,train
226,mClavGR2,train
227,mClover3,test
228,mCRISPRed,train
229,mCyRFP1,train
230,mECFP,train
231,meffCFP,train
232,meffGFP,test
233,meffRFP,train
234,mEGFP,train
235,meleCFP,val
236,meleRFP,train
237,mEmerald,train
238,mEos2,train
239,mEos2-A69T,train
240,mEos3.1,train
241,mEos3.2,train
242,mEos4a,test
243,mEos4b,train
244,mEos4b-L93M,val
245,mEos4Fast1,train
246,mEos4Fast2,train
247,mEosEM,train
248,mEosFP,train
249,mEosFP-F173S,train
250,mEosFP-M159A,test
251,mEYFP,train
252,mGarnet,test
253,mGarnet2,test
254,mGeos-C,val
255,mGeos-E,val
256,mGeos-F,val
257,mGeos-L,train
258,mGeos-M,train
259,mGeos-S,train
260,mGFPmut3,train
261,mGinger1,test
262,mGinger2,val
263,mGold,test
264,mGold2s,train
265,mGold2t,train
266,mGrape1,val
267,mGrape2,train
268,mGrape3,train
269,mGreenLantern,test
270,mHoneydew,train
271,MiCy,train
272,mIrisFP,train
273,mJuniper,train
274,mKalama1,train
275,mKate,train
276,mKate2,train
277,mKate M41G S158C,test
278,mKate S158A,train
279,mKate S158C,train
280,mKelly1,train
281,mKelly2,train
282,mKikGR,train
283,mKillerOrange,train
284,mKO,train
285,mKO2,train
286,mKOκ,train
287,mLemon,train
288,mLumin,train
289,mLychee,train
290,mMaple,test
291,mMaple3,val
292,mMaroon1,test
293,mMiCy,train
294,mmilCFP,train
295,mNectarine,val
296,mNeonGreen,train
297,mNeptune,train
298,mNeptune2,train
299,mNeptune2.5,train
300,mNeptune681,train
301,mNeptune684,train
302,Monomeric hyperfolder YFP,train
303,mOrange,train
304,mOrange2,train
305,moxBFP,train
306,moxCerulean3,val
307,moxDendra2,train
308,moxGFP,train
309,moxMaple3,train
310,moxNeonGreen,test
311,moxVenus,train
312,mPapaya,train
313,mPapaya0.7,train
314,mPlum,train
315,mRaspberry,train
316,mRFP1,train
317,mRFP1-Q66C,train
318,mRFP1-Q66S,train
319,mRFP1-Q66T,train
320,mRojoA,train
321,mRojoB,test
322,mRouge,train
323,mRtms5,train
324,mRuby,train
325,mRuby2,val
326,mRuby3,train
327,mRubyFT,train
328,mSandy2,train
329,mScarlet,val
330,mScarlet-220A,train
331,mScarlet-2A,val
332,mScarlet-2A-84W,train
333,mScarlet3,train
334,mScarlet3-H,train
335,mScarlet3-S2,train
336,mScarlet-H,val
337,mScarlet-I,train
338,mScarlet-I-220A,train
339,mScarlet-I3,train
340,mScarlet-I3-NCwt,test
341,msGFP2,train
342,mStable,train
343,mStayGold,train
344,mStayGold2,train
345,mStrawberry,train
346,mTagBFP2,test
347,mTangerine,train
348,mTFP0.3,train
349,mTFP0.7,train
350,mTFP1,test
351,mTFP1-Y67W,train
352,mT-Sapphire,train
353,mTurquoise,val
354,mTurquoise2,train
355,mTurquoise2-1710,val
356,mTurquoise2_T203Y,val
357,muGFP,train
358,mUkG,train
359,mVenus,train
360,mVenus-Q69M,train
361,mVFP,val
362,mVFP1,val
363,mWasabi,train
364,mWatermelon,train
365,Neptune,test
366,NijiFP,train
367,NowGFP,val
368,Nữ,train
369,obeCFP,train
370,obeGFP,train
371,obeYFP,train
372,OFP,train
373,oxBFP,test
374,oxGFP,test
375,oxStayGold,val
376,oxVenus,train
377,P4,train
378,P4-1,test
379,P4-3E,val
380,Padron,val
381,Padron0.9,train
382,Padron2,test
383,PA-GFP,test
384,PAmCherry1,train
385,PAmCherry2,train
386,PAmCherry3,train
387,PAmKate,val
388,PATagRFP,val
389,PATagRFP1297,train
390,PATagRFP1314,train
391,pcDronpa,train
392,pcDronpa2,train
393,pcStar,train
394,pdae1GFP,test
395,Phanta,train
396,phiYFP,val
397,phiYFPv,train
398,pHluorin4,val
399,pHuji,train
400,plamGFP,train
401,plobRFP,train
402,pmeaGFP1,test
403,pmeaGFP2,train
404,pmimGFP1,train
405,pmimGFP2,test
406,ppluGFP1,train
407,ppluGFP2,train
408,pporGFP,train
409,pporRFP,train
410,psamCFP,train
411,PS-CFP,test
412,PS-CFP2,train
413,PSLSSmKate,val
414,PSmOrange,train
415,PSmOrange2,train
416,RDSmCherry0.1,train
417,RDSmCherry0.2,train
418,RDSmCherry0.5,train
419,RDSmCherry1,train
420,RFP611,test
421,RFP630,train
422,RFP637,train
423,RFP639,val
424,Rosmarinus,val
425,RRvT,train
426,rsCherry,train
427,rsCherryRev,train
428,rsEGFP,test
429,rsEGFP2,train
430,rsFastLime,train
431,rsFolder,train
432,rsFolder2,train
433,rsFusionRed1,val
434,rsFusionRed2,train
435,rsFusionRed3,val
436,rsGreen1,val
437,rsKame,train
438,rsTagRFP,test
439,Rtms5,train
440,Sapphire,train
441,sarcGFP,train
442,SBFP1,train
443,SBFP2,train
444,SCFP1,train
445,SCFP2,train
446,SCFP3A,train
447,SCFP3B,train
448,scubRFP,train
449,SEYFP,train
450,sg11,train
451,sg12,train
452,sg25,val
453,sg42,train
454,sg50,train
455,SGFP1,test
456,SGFP2,train
457,SGFP2(206A),val
458,SGFP2(E222Q),test
459,SGFP2(T65G),train
460,ShadowG,train
461,ShadowY,train
462,SHardonnay,train
463,shBFP,test
464,shBFP-N158K/L173I,test
465,shBFP-N158S/L173I,train
466,shCP-E63L/Y64H,train
467,Sirius,train
468,SiriusGFP,train
469,Skylan-NS,test
470,Skylan-S,train
471,SPOON,train
472,sREACh1,test
473,sREACh2,train
474,StayGold,train
475,StayGold-E138D,train
476,stylGFP,train
477,Sumire,test
478,superecliptic pHluorin,train
479,Superfolder GFP,train
480,SuperNova Green,train
481,SuperNova Red,train
482,super-TagRFP,test
483,SYFP2,test
484,TagBFP,val
485,TagCFP,train
486,TagGFP,train
487,TagGFP2,train
488,TagRFP,train
489,TagRFP657,train
490,TagRFP658,val
491,TagRFP675,val
492,TagRFP-T,val
493,TagYFP,val
494,td5oxStayGold,train
495,td5StayGold,train
496,td8oxStayGold,train
497,tdimer2(12),test
498,tdKatushka2,test
499,tdLanYFP,train
500,td-RFP611,train
501,td-RFP639,test
502,tdStayGold,val
503,tdTomato,train
504,Thermostable Green Protein,train
505,tKeima,train
506,Topaz,train
507,T-Sapphire,val
508,TurboFP602,train
509,TurboGFP,train
510,TurboRFP,train
511,TurboYFP,train
512,Turquoise-GL,train
513,Ultramarine,val
514,usGFP,train
515,Var1,train
516,Venus,train
517,VFP,val
518,vsfGFP-0,train
519,vsfGFP-9,train
520,W1C,test
521,W2,train
522,W7,train
523,WasCFP,test
524,YFP3,train
525,YGFPdp,train
526,YGFPuv,train
527,YPet,train
528,YuzuFP,test
529,zFP538,train
530,ZsGreen,train
531,ZsYellow1,train
532,αGFP,train
