index,slug,name,surrogate_role,oracle_role
127,htfunclib_bleach2,htFuncLib_bleach.2,train,train
128,mstaygold2,mStayGold2,val,train
129,ifp20,iFP2.0,train,train
130,pamcherry1,PAmCherry1,train,test
131,htfunclib_mid11,htFuncLib_mid.11,train,test
132,htfunclib_sfem-blue-shift1,htFuncLib_sf:em-blue-shift.1,train,val
133,micy,MiCy,val,train
134,kfp1,KFP1,train,val
135,nirfast-hpar-35dom,"nirFAST  + HPAR-3,5DOM",train,train
136,htfunclib_basic2,htFuncLib_basic.2,test,train
137,alphagfp,αGFP,test,train
138,htfunclib_sfphotostable2,htFuncLib_sf:photostable.2,train,test
139,htfunclib_mid7,htFuncLib_mid.7,train,train
140,htfunclib_thermo5,htFuncLib_thermo.5,train,train
141,melecfp,meleCFP,train,val
142,mscarlet-i3-ncwt,mScarlet-I3-NCwt,test,train
143,mirfp680,miRFP680,train,train
144,mmaroon1,mMaroon1,train,train
145,aq14,AQ14,train,test
146,mtfp1,mTFP1,train,val
147,hcred,HcRed,test,train
148,mirfp670nano3,miRFP670nano3,val,train
149,htfunclib_bleach4,htFuncLib_bleach.4,train,train
150,mrojoa,mRojoA,train,val
151,ebfp2,EBFP2,train,test
152,gfpe222g,GFP(E222G),train,val
153,kikgr1,KikGR1,val,train
154,kikgr1,KikGR1,train,train
155,tdsmurfp,TDsmURFP,val,train
156,shbfp,shBFP,train,train
157,avgfp,avGFP,train,train
158,hcred7,HcRed7,train,train
159,ecgp123,eCGP123,test,train
160,htfunclib_em-blue-shift1,htFuncLib_em-blue-shift.1,val,train
161,mavicfp1,mAvicFP1,train,test
162,mametrine,mAmetrine,train,val
163,irfp682,iRFP682,train,val
164,gdt,GdT,val,train
165,tagrfp657,TagRFP657,train,val
166,htfunclib_sfmid11,htFuncLib_sf:mid.11,train,train
167,gfpmut2,GFPmut2,test,train
168,nowgfp,NowGFP,train,train
169,ccgfp-e6,ccGFP E6,train,train
170,mbaojin,mBaoJin,train,train
171,rtms5,Rtms5,train,test
172,mrhubarb720,mRhubarb720,train,test
173,mscarlet-220a,mScarlet-220A,train,train
174,phiyfp,phiYFP,train,train
175,mruby3,mRuby3,train,train
176,meos2,mEos2,train,test
177,meos2,mEos2,train,test
178,mcerulean3,mCerulean3,train,train
179,htfunclib_mid9,htFuncLib_mid.9,train,val
180,dronpa,Dronpa,train,train
181,taggfp2,TagGFP2,test,train
182,lssa12,LSSA12,train,train
183,tkeima,tKeima,train,val
184,mjuniper,mJuniper,train,test
185,mirfp720,miRFP720,train,train
186,mkelly1,mKelly1,train,val
187,rscherryrev14,rsCherryRev1.4,train,train
188,adred,AdRed,train,test
189,htfunclib_thermo9,htFuncLib_thermo.9,train,train
190,avicfp1,AvicFP1,train,train
191,mgarnet,mGarnet,train,train
192,cyrfp1,CyRFP1,train,train
193,htfunclib_sfmid12,htFuncLib_sf:mid.12,train,train
194,mgold2s,mGold2s,train,train
195,htfunclib_sfmid10,htFuncLib_sf:mid.10,val,train
196,syfp2,SYFP2,train,train
197,tagrfp658,TagRFP658,train,val
198,htfunclib_mid12,htFuncLib_mid.12,test,train
199,htfunclib_mid6,htFuncLib_mid.6,test,train
200,htfunclib_photostable1,htFuncLib_photostable.1,train,train
201,eyfp,EYFP,val,train
202,tagbfp,TagBFP,test,train
203,mtagbfp2,mTagBFP2,train,train
204,pamkate,PAmKate,train,val
205,gamillus,Gamillus,test,train
206,mmaple3,mMaple3,val,train
207,mmaple3,mMaple3,train,train
208,mneptune,mNeptune,val,train
209,kaede,Kaede,train,test
210,kaede,Kaede,test,train
211,meos31,mEos3.1,train,train
212,meos31,mEos3.1,test,train
213,supernova2,SuperNova2,train,train
214,htfunclib_thermo4,htFuncLib_thermo.4,val,train
215,bdfp16,BDFP1.6,train,train
216,mscarlet-2a-84w,mScarlet-2A-84W,test,train
217,aq143,AQ143,train,test
218,mlumin,mLumin,train,train
219,pcstar,pcStar,train,val
220,pcstar,pcStar,train,test
221,minigfp2,miniGFP2,train,train
222,skylan-s,Skylan-S,train,test
223,br1,BR1,test,train
224,htfunclib_em-blue-shift2,htFuncLib_em-blue-shift.2,train,test
225,htfunclib_thermo1,htFuncLib_thermo.1,val,train
226,patagrfp,PATagRFP,train,train
227,morange,mOrange,train,train
228,shadowy,ShadowY,train,val
229,mmicy,mMiCy,test,train
230,dendra2-t69a,Dendra2-T69A,train,test
231,dendra2-t69a,Dendra2-T69A,train,train
232,tagrfp,TagRFP,train,train
233,mkate-s158c,mKate S158C,train,train
234,htfunclib_fast4,htFuncLib_fast.4,val,train
235,mcherry2,mCherry2,test,train
236,fusionred,FusionRed,train,val
237,mruby,mRuby,train,test
238,supernova-green,SuperNova Green,train,train
239,mscarlet-i-220a,mScarlet-I-220A,train,train
240,htfunclib_sfbleach2,htFuncLib_sf:bleach.2,train,train
241,mscarlet3,mScarlet3,train,train
242,sirius,Sirius,train,test
243,staygold-e138d,StayGold-E138D,train,train
244,rscherryrev,rsCherryRev,train,val
245,htfunclib_thermo8,htFuncLib_thermo.8,train,test
246,morange2,mOrange2,val,train
247,asred2,AsRed2,train,val
248,mtangerine,mTangerine,train,test
249,mirfp709,miRFP709,train,val
250,ccalofp1,ccalOFP1,test,train
251,ebfp,EBFP,train,test
252,usgfp,usGFP,val,train
253,nu,Nữ,test,train
254,azamired10,AzamiRed1.0,test,train
255,dsred2,DsRed2,train,test
256,bdfp20,BDFP2.0,train,train
257,htfunclib_mid10,htFuncLib_mid.10,train,val
258,shcp-e63ly64h,shCP-E63L/Y64H,train,train
259,htfunclib_sfbleach3,htFuncLib_sf:bleach.3,train,train
260,mrubyft,mRubyFT,train,train
261,mrubyft,mRubyFT,val,train
262,mcardinal,mCardinal,train,train
263,e2-orange,E2-Orange,train,train
264,htfunclib_thermo2,htFuncLib_thermo.2,train,val
265,mturquoise2,mTurquoise2,train,test
266,dlanyfp,dLanYFP,train,train
267,cgftagrfp,cgfTagRFP,train,val
268,supernova-red,SuperNova Red,train,val
269,mmaple,mMaple,val,train
270,mmaple,mMaple,train,train
271,electra1,Electra1,train,train
272,htfunclib_acid3,htFuncLib_acid.3,train,train
273,mmaple2,mMaple2,train,val
274,mmaple2,mMaple2,train,train
275,asulcp,asulCP,train,test
276,mirfp703,miRFP703,train,train
277,yuzufp,YuzuFP,test,train
278,mturquoise2-1710,mTurquoise2-1710,test,train
279,mecfp,mECFP,train,val
280,mscarlet-i,mScarlet-I,train,val
281,htfunclib_fast1,htFuncLib_fast.1,test,train
282,mbanana,mBanana,train,train
283,mko2,mKO2,train,val
284,hyperfolder-yfp,Hyperfolder YFP,val,train
285,mars1,mARs1,val,train
286,mscarlet,mScarlet,test,train
287,shardonnay,SHardonnay,train,train
288,htfunclib_bleach1,htFuncLib_bleach.1,train,train
289,lss-mkate1,LSS-mKate1,train,train
290,mplum,mPlum,train,test
291,grvt,GRvT,test,train
292,mberfp,mBeRFP,train,train
293,mscarlet-h,mScarlet-H,train,train
294,htfunclib_slow4,htFuncLib_slow.4,train,train
295,htfunclib_sfem-blue-shift2,htFuncLib_sf:em-blue-shift.2,train,train
296,rsfusionred2,rsFusionRed2,test,train
297,amilgfp,amilGFP,train,train
298,moxcerulean3,moxCerulean3,val,train
299,rsfusionred3,rsFusionRed3,val,train
300,memerald,mEmerald,train,train
301,citrine,Citrine,train,train
302,minisog2,miniSOG2,train,test
303,mirfp713,miRFP713,test,train
304,mginger2,mGinger2,train,train
305,htfunclib_mid5,htFuncLib_mid.5,test,train
306,lime,Lime,train,train
307,jred,Jred,train,val
308,moxmaple3,moxMaple3,val,train
309,moxmaple3,moxMaple3,train,test
310,azaleab5,AzaleaB5,train,test
311,lumazine-binding-protein,Lumazine binding protein,train,train
312,htfunclib_sfphotostable1,htFuncLib_sf:photostable.1,train,train
313,oxbfp,oxBFP,test,train
314,mturquoise,mTurquoise,train,train
315,vsfgfp-0,vsfGFP-0,train,test
316,fold6,FOLD6,test,train
317,mpapaya,mPapaya,train,train
318,philov21,phiLOV2.1,train,train
319,mrfp1,mRFP1,train,train
320,sforange,sfOrange,val,train
321,tagyfp,TagYFP,train,train
322,mcerulean,mCerulean,train,train
323,pa-gfp,PA-GFP,train,train
324,mkelly2,mKelly2,train,val
325,cagfbfp,CagFbFP,train,train
326,smurfp,smURFP,val,train
327,tagrfp-t,TagRFP-T,val,train
328,p4-3e,P4-3E,train,train
329,moxgfp,moxGFP,train,val
330,aquamarine,Aquamarine,train,test
331,dfgfp,dfGFP,test,train
332,mcherry_i202t,mCherry_I202T,train,test
333,dsred-express,DsRed-Express,train,train
334,mko,mKO,train,train
335,htfunclib_slow1,htFuncLib_slow.1,train,train
336,lucy,LucY,test,train
337,montipora-sp-20-9115,Montipora sp. #20-9115,val,train
338,car-geco1,CAR-GECO1,val,train
339,car-geco1,CAR-GECO1,val,train
340,megfp,mEGFP,train,test
341,mwasabi,mWasabi,train,val
342,cerulean,Cerulean,train,train
343,meos4a,mEos4a,val,train
344,meos4a,mEos4a,train,test
345,psmorange,PSmOrange,test,train
346,psmorange,PSmOrange,val,train
347,mkate2,mKate2,test,train
348,htfunclib_sfthermo2,htFuncLib_sf:thermo.2,val,train
349,htfunclib_acid6,htFuncLib_acid.6,val,train
350,tdtomato,tdTomato,val,train
351,htfunclib_bleach6,htFuncLib_bleach.6,train,train
352,adred-c148s,AdRed-C148S,train,val
353,efascfp,efasCFP,train,train
354,var1,Var1,val,train
355,moxdendra2,moxDendra2,train,val
356,moxdendra2,moxDendra2,train,val
357,dtfp02,dTFP0.2,train,test
358,dkeima570,dKeima570,train,train
359,htfunclib_bleach3,htFuncLib_bleach.3,train,test
360,padron09,Padron0.9,test,train
361,mugfp,muGFP,train,train
362,mgold2t,mGold2t,train,train
363,pplugfp2,ppluGFP2,train,test
364,amfp486,amFP486,val,train
365,zsgreen,ZsGreen,test,train
366,mcherry_m10l,mCherry_M10L,val,train
367,mlemon,mLemon,test,train
368,mneptune681,mNeptune681,train,train
369,mwatermelon,mWatermelon,train,test
370,eqfp611,eqFP611,train,test
371,htfunclib_sfmid5,htFuncLib_sf:mid.5,train,train
372,irfp713,iRFP713,test,train
373,wascfp,WasCFP,train,train
374,mcherry,mCherry,val,train
375,reach1,REACh1,val,train
376,rsfolder2,rsFolder2,train,val
377,mhoneydew,mHoneydew,train,train
378,meffcfp,meffCFP,test,train
379,ecfp,ECFP,train,train
380,mcitrine,mCitrine,train,val
381,ypet,YPet,train,train
382,aausgfp,AausGFP,train,train
383,dsredm1,DsRed.M1,train,train
384,htfunclib_basic1,htFuncLib_basic.1,train,train
385,eforcp,eforCP,train,train
386,mukg,mUkG,train,train
387,mrhubarb713,mRhubarb713,val,train
388,mclover3,mClover3,test,train
389,monomeric-hyperfolder-yfp,Monomeric hyperfolder YFP,train,train
390,htfunclib_basic3,htFuncLib_basic.3,train,train
391,clover,Clover,train,train
392,meos32,mEos3.2,train,test
393,meos32,mEos3.2,test,train
394,ko,KO,train,train
395,dkeima,dKeima,val,train
396,bruslee,BrUSLEE,val,train
397,mstable,mStable,train,train
398,dimvenus,DimVenus,train,val
399,htfunclib_mid8,htFuncLib_mid.8,test,train
400,dtomato,dTomato,test,train
401,mkate-s158a,mKate S158A,train,train
402,rsfolder,rsFolder,train,train
403,shbfp-n158sl173i,shBFP-N158S/L173I,train,train
404,neptune,Neptune,test,train
405,mginger1,mGinger1,train,train
406,htfunclib_sfthermo9,htFuncLib_sf:thermo.9,val,train
407,superfolder-gfp,Superfolder GFP,train,train
408,rdsmcherry1,RDSmCherry1,train,train
409,rsegfp2,rsEGFP2,val,train
410,eqfp650,eqFP650,val,train
411,htfunclib_sfmid9,htFuncLib_sf:mid.9,test,train
412,sopp3,SOPP3,test,train
413,mazamigreen,mAzamiGreen,train,test
414,e2-crimson,E2-Crimson,train,test
415,mrfp12,mRFP1.2,test,train
416,lssmscarlet,LSSmScarlet,train,test
417,avicfp4,AvicFP4,train,test
418,htfunclib_sfmid7,htFuncLib_sf:mid.7,train,train
419,vsfgfp-9,vsfGFP-9,train,train
420,snifp,SNIFP,test,train
421,avicfp2,AvicFP2,train,train
422,htfunclib_basic4,htFuncLib_basic.4,train,train
423,staygold,StayGold,val,train
424,mcrispred,mCRISPRed,train,val
425,phuji,pHuji,train,train
426,meos4b,mEos4b,val,train
427,meos4b,mEos4b,train,test
428,t-sapphire,T-Sapphire,train,train
429,htfunclib_mid3,htFuncLib_mid.3,test,train
430,sumire,Sumire,train,train
431,htfunclib_slow3,htFuncLib_slow.3,train,train
432,mturquoise2_t203y,mTurquoise2_T203Y,train,test
433,mcarmine,mCarmine,train,train
434,lss-mkate2,LSS-mKate2,train,train
435,mkillerorange,mKillerOrange,train,train
436,mk-go,mK-GO,train,test
437,mk-go,mK-GO,train,test
438,mraspberry,mRaspberry,train,val
439,zsyellow1,ZsYellow1,train,test
440,htfunclib_bleach5,htFuncLib_bleach.5,val,train
441,minisog,miniSOG,train,val
442,htfunclib_mid13,htFuncLib_mid.13,train,val
443,h2-3,h2-3,train,train
444,reach2,REACh2,train,test
445,scfp3a,SCFP3A,test,train
446,lssmgfp,LSSmGFP,train,test
447,azamigreen,AzamiGreen,test,train
448,sopp,SOPP,train,test
449,mkokappa,mKOκ,test,train
450,fusionred-mqv,FusionRed-MQV,train,train
451,mneongreen,mNeonGreen,train,train
452,lssmapple,LSSmApple,train,train
