index,slug,name,cluster,cluster_size,ex_max,em_max,seq_len,surrogate_split,oracle_split
44,htfunclib_basic6,htFuncLib_basic.6,0,165,487.0,506.0,248,train,train
45,rsfusionred1,rsFusionRed1,2,56,577.0,605.0,232,train,test
46,mgold,mGold,0,165,515.0,531.0,239,train,train
47,htfunclib_sffast3,htFuncLib_sf:fast.3,0,165,488.0,509.0,249,train,train
48,mrouge,mRouge,1,71,600.0,637.0,236,train,train
49,htfunclib_sfacid5,htFuncLib_sf:acid.5,0,165,487.0,510.0,249,train,train
50,mchartreuse,mChartreuse,0,165,487.0,510.0,238,train,train
51,mkalama1,mKalama1,0,165,385.0,456.0,239,train,train
52,meosem,mEosEM,3,51,503.0,511.0,227,val,train
53,meosem,mEosEM,3,51,569.0,579.0,227,val,train
54,mneptune25,mNeptune2.5,2,56,599.0,643.0,244,train,test
55,katushka2s,Katushka2S,2,56,588.0,633.0,235,train,test
56,tdimer212,tdimer2(12),1,71,552.0,579.0,464,train,train
57,mrojob,mRojoB,1,71,598.0,631.0,236,train,train
58,mirfp2,miRFP2,8,6,676.0,706.0,313,test,test
59,htfunclib_thermo6,htFuncLib_thermo.6,0,165,398.0,510.0,248,train,train
60,htfunclib_mid2,htFuncLib_mid.2,0,165,476.0,510.0,248,train,train
61,mirfp,miRFP,8,6,674.0,703.0,313,test,test
62,mruby2,mRuby2,2,56,559.0,600.0,237,train,test
63,htfunclib_acid2,htFuncLib_acid.2,0,165,489.0,509.0,248,train,train
64,htfunclib_slow2,htFuncLib_slow.2,0,165,483.0,507.0,248,train,train
65,mgarnet2,mGarnet2,2,56,598.0,671.0,227,train,test
66,mgrape3,mGrape3,1,71,608.0,646.0,236,train,train
67,htfunclib_fast3,htFuncLib_fast.3,0,165,470.0,503.0,248,train,train
68,irfp670,iRFP670,13,3,643.0,670.0,311,train,train
69,taggfp,TagGFP,0,165,482.0,505.0,238,train,train
70,skylan-ns,Skylan-NS,3,51,499.0,511.0,226,val,train
71,dreiklang,Dreiklang,0,165,511.0,529.0,239,train,train
72,bdfp18,BDFP1.8,1,71,678.0,702.0,152,train,train
73,turbofp602,TurboFP602,2,56,574.0,602.0,235,train,test
74,unag,UnaG,33,1,498.0,527.0,139,val,val
75,mcherry_i202y,mCherry_I202Y,1,71,592.0,620.0,236,train,train
76,topaz,Topaz,0,165,514.0,527.0,238,train,train
77,mapple,mApple,1,71,568.0,592.0,236,train,train
78,anm2cp,anm2CP,6,8,572.0,597.0,232,test,test
79,hmgfp,hmGFP,34,1,490.0,510.0,228,val,train
80,citrine2,Citrine2,0,165,509.0,522.0,239,train,train
81,tagcfp,TagCFP,0,165,458.0,480.0,238,train,train
82,mkeima,mKeima,1,71,440.0,620.0,222,train,train
83,aausfp4,AausFP4,14,3,477.0,513.0,232,test,train
84,aausfp4,AausFP4,14,3,338.0,514.0,232,test,train
85,mkate,mKate,2,56,588.0,635.0,231,train,test
86,emirfp670,emiRFP670,8,6,642.0,670.0,310,test,test
87,mvenus,mVenus,0,165,515.0,527.0,239,train,train
88,htfunclib_sfacid3,htFuncLib_sf:acid.3,0,165,474.0,504.0,249,train,train
89,htfunclib_thermo3,htFuncLib_thermo.3,0,165,508.0,524.0,248,train,train
90,creilov,CreiLOV,35,1,450.0,495.0,119,train,val
91,aausfp1,AausFP1,21,2,504.0,510.0,232,val,val
92,sandercyanin,Sandercyanin,36,1,375.0,675.0,170,val,train
93,shadowg,ShadowG,0,165,486.0,510.0,239,train,train
94,egfp,EGFP,0,165,488.0,507.0,239,train,train
95,siriusgfp,SiriusGFP,0,165,504.0,516.0,239,train,train
96,turborfp,TurboRFP,2,56,553.0,574.0,231,train,test
97,sapphire,Sapphire,0,165,399.0,511.0,238,train,train
98,mirfp670-2,miRFP670-2,13,3,643.0,670.0,311,train,train
99,killerred,KillerRed,6,8,585.0,610.0,237,test,test
100,acgfp1,AcGFP1,0,165,475.0,505.0,239,train,train
101,htfunclib_sfacid4,htFuncLib_sf:acid.4,0,165,490.0,512.0,249,train,train
102,htfunclib_photostable2,htFuncLib_photostable.2,0,165,507.0,515.0,248,train,train
103,rsfastlime,rsFastLime,3,51,496.0,518.0,224,val,train
104,mscarlet3-s2,mScarlet3-S2,1,71,550.0,587.0,229,train,train
105,lssmcherry1,LSSmCherry1,1,71,450.0,610.0,236,train,train
106,cfp,CFP,0,165,456.0,480.0,238,train,train
107,killerorange,KillerOrange,6,8,455.0,555.0,237,test,test
108,venus,Venus,0,165,515.0,528.0,239,train,train
109,htfunclib_acid1,htFuncLib_acid.1,0,165,486.0,508.0,248,train,train
110,oxgfp,oxGFP,0,165,486.0,510.0,239,train,train
111,darkvenus,DarkVenus,0,165,515.0,525.0,239,train,train
112,htfunclib_mid4,htFuncLib_mid.4,0,165,498.0,512.0,248,train,train
113,p4,P4,0,165,382.0,448.0,238,train,train
114,mcherry-xl,mCherry-XL,1,71,558.0,589.0,236,train,train
115,mcyrfp1,mCyRFP1,2,56,528.0,594.0,234,train,test
116,mstaygold,mStayGold,10,5,499.0,510.0,226,test,val
117,dsred,DsRed,1,71,558.0,583.0,225,train,train
118,eqfp670,eqFP670,2,56,605.0,670.0,234,train,test
119,mkikgr,mKikGR,3,51,505.0,515.0,232,val,train
120,mkikgr,mKikGR,3,51,580.0,591.0,232,val,train
121,irfp702,iRFP702,13,3,673.0,702.0,311,train,train
122,dsred-max,DsRed-Max,1,71,560.0,589.0,225,train,train
123,ps-cfp2,PS-CFP2,0,165,400.0,468.0,238,train,train
124,ps-cfp2,PS-CFP2,0,165,490.0,511.0,238,train,train
125,tripartitegfp,TripartiteGFP,0,165,480.0,514.0,237,train,train
126,secbfp2,secBFP2,2,56,399.0,456.0,234,train,test
127,htfunclib_bleach2,htFuncLib_bleach.2,0,165,471.0,504.0,248,train,train
128,mstaygold2,mStayGold2,10,5,499.0,509.0,233,test,val
129,ifp20,iFP2.0,12,3,690.0,711.0,321,train,val
130,pamcherry1,PAmCherry1,1,71,564.0,595.0,236,train,train
131,htfunclib_mid11,htFuncLib_mid.11,0,165,488.0,509.0,248,train,train
132,htfunclib_sfem-blue-shift1,htFuncLib_sf:em-blue-shift.1,0,165,473.0,506.0,249,train,train
133,micy,MiCy,15,3,472.0,495.0,232,val,val
134,kfp1,KFP1,16,3,580.0,600.0,232,test,val
135,nirfast-hpar-35dom,"nirFAST  + HPAR-3,5DOM",37,1,636.0,713.0,125,test,train
136,htfunclib_basic2,htFuncLib_basic.2,0,165,496.0,512.0,248,train,train
137,alphagfp,αGFP,0,165,397.0,506.0,238,train,train
138,htfunclib_sfphotostable2,htFuncLib_sf:photostable.2,0,165,496.0,511.0,249,train,train
139,htfunclib_mid7,htFuncLib_mid.7,0,165,491.0,511.0,248,train,train
140,htfunclib_thermo5,htFuncLib_thermo.5,0,165,397.0,510.0,248,train,train
141,melecfp,meleCFP,3,51,454.0,485.0,227,val,train
142,mscarlet-i3-ncwt,mScarlet-I3-NCwt,1,71,567.0,592.0,232,train,train
143,mirfp680,miRFP680,5,9,661.0,680.0,316,test,test
144,mmaroon1,mMaroon1,2,56,609.0,657.0,244,train,test
145,aq14,AQ14,22,2,595.0,663.0,231,test,val
146,mtfp1,mTFP1,3,51,462.0,492.0,236,val,train
147,hcred,HcRed,7,7,592.0,645.0,227,test,test
148,mirfp670nano3,miRFP670nano3,18,2,645.0,670.0,147,test,val
149,htfunclib_bleach4,htFuncLib_bleach.4,0,165,480.0,505.0,248,train,train
150,mrojoa,mRojoA,1,71,597.0,633.0,236,train,train
151,ebfp2,EBFP2,0,165,383.0,448.0,239,train,train
152,gfpe222g,GFP(E222G),0,165,481.0,506.0,238,train,train
153,kikgr1,KikGR1,3,51,507.0,517.0,227,val,train
154,kikgr1,KikGR1,3,51,583.0,593.0,227,val,train
155,tdsmurfp,TDsmURFP,23,2,642.0,670.0,289,train,train
156,shbfp,shBFP,7,7,401.0,458.0,227,test,test
157,avgfp,avGFP,0,165,395.0,509.0,238,train,train
158,hcred7,HcRed7,7,7,592.0,645.0,227,test,test
159,ecgp123,eCGP123,3,51,495.0,505.0,225,val,train
160,htfunclib_em-blue-shift1,htFuncLib_em-blue-shift.1,0,165,465.0,502.0,248,train,train
161,mavicfp1,mAvicFP1,0,165,480.0,503.0,238,train,train
162,mametrine,mAmetrine,0,165,406.0,526.0,239,train,train
163,irfp682,iRFP682,5,9,663.0,682.0,316,test,test
164,gdt,GdT,1,71,476.0,500.0,234,train,train
165,tagrfp657,TagRFP657,2,56,611.0,657.0,233,train,test
166,htfunclib_sfmid11,htFuncLib_sf:mid.11,0,165,488.0,509.0,249,train,train
167,gfpmut2,GFPmut2,0,165,485.0,508.0,238,train,train
168,nowgfp,NowGFP,0,165,494.0,502.0,239,train,train
169,ccgfp-e6,ccGFP E6,24,2,501.0,520.0,221,val,train
170,mbaojin,mBaoJin,10,5,500.0,508.0,234,test,val
171,rtms5,Rtms5,1,71,592.0,626.0,221,train,train
172,mrhubarb720,mRhubarb720,5,9,701.0,720.0,316,test,test
173,mscarlet-220a,mScarlet-220A,1,71,568.0,594.0,232,train,train
174,phiyfp,phiYFP,38,1,525.0,537.0,234,train,train
175,mruby3,mRuby3,2,56,558.0,592.0,237,train,test
176,meos2,mEos2,3,51,506.0,519.0,226,val,train
177,meos2,mEos2,3,51,573.0,584.0,226,val,train
178,mcerulean3,mCerulean3,0,165,433.0,475.0,239,train,train
179,htfunclib_mid9,htFuncLib_mid.9,0,165,493.0,511.0,248,train,train
180,dronpa,Dronpa,3,51,503.0,518.0,224,val,train
181,taggfp2,TagGFP2,0,165,483.0,506.0,238,train,train
182,lssa12,LSSA12,0,165,398.0,511.0,239,train,train
183,tkeima,tKeima,1,71,440.0,616.0,222,train,train
184,mjuniper,mJuniper,0,165,434.0,475.0,238,train,train
185,mirfp720,miRFP720,5,9,702.0,720.0,316,test,test
186,mkelly1,mKelly1,2,56,596.0,656.0,219,train,test
187,rscherryrev14,rsCherryRev1.4,1,71,572.0,609.0,236,train,train
188,adred,AdRed,11,5,567.0,612.0,231,train,val
189,htfunclib_thermo9,htFuncLib_thermo.9,0,165,503.0,519.0,248,train,train
190,avicfp1,AvicFP1,0,165,481.0,503.0,238,train,train
191,mgarnet,mGarnet,2,56,598.0,670.0,227,train,test
192,cyrfp1,CyRFP1,2,56,529.0,588.0,234,train,test
193,htfunclib_sfmid12,htFuncLib_sf:mid.12,0,165,488.0,508.0,249,train,train
194,mgold2s,mGold2s,0,165,517.0,529.0,239,train,train
195,htfunclib_sfmid10,htFuncLib_sf:mid.10,0,165,488.0,509.0,249,train,train
196,syfp2,SYFP2,0,165,515.0,527.0,239,train,train
197,tagrfp658,TagRFP658,2,56,611.0,658.0,233,train,test
198,htfunclib_mid12,htFuncLib_mid.12,0,165,470.0,504.0,248,train,train
199,htfunclib_mid6,htFuncLib_mid.6,0,165,501.0,514.0,248,train,train
200,htfunclib_photostable1,htFuncLib_photostable.1,0,165,394.0,505.0,248,train,train
201,eyfp,EYFP,0,165,513.0,527.0,239,train,train
202,tagbfp,TagBFP,2,56,402.0,457.0,233,train,test
203,mtagbfp2,mTagBFP2,2,56,399.0,454.0,237,train,test
204,pamkate,PAmKate,2,56,586.0,628.0,233,train,test
205,gamillus,Gamillus,25,2,504.0,519.0,239,train,val
206,mmaple3,mMaple3,3,51,491.0,506.0,237,val,train
207,mmaple3,mMaple3,3,51,568.0,583.0,237,val,train
208,mneptune,mNeptune,2,56,600.0,650.0,244,train,test
209,kaede,Kaede,3,51,508.0,518.0,225,val,train
210,kaede,Kaede,3,51,572.0,580.0,225,val,train
211,meos31,mEos3.1,3,51,505.0,513.0,226,val,train
212,meos31,mEos3.1,3,51,570.0,580.0,226,val,train
213,supernova2,SuperNova2,6,8,579.0,610.0,239,test,test
214,htfunclib_thermo4,htFuncLib_thermo.4,0,165,396.0,507.0,248,train,train
215,bdfp16,BDFP1.6,1,71,642.0,666.0,152,train,train
216,mscarlet-2a-84w,mScarlet-2A-84W,1,71,568.0,592.0,232,train,train
217,aq143,AQ143,22,2,595.0,655.0,231,test,val
218,mlumin,mLumin,2,56,587.0,621.0,231,train,test
219,pcstar,pcStar,3,51,505.0,515.0,226,val,train
220,pcstar,pcStar,3,51,567.0,579.0,226,val,train
221,minigfp2,miniGFP2,4,9,450.0,499.0,110,test,test
222,skylan-s,Skylan-S,3,51,499.0,511.0,226,val,train
223,br1,BR1,4,9,450.0,495.0,111,test,test
224,htfunclib_em-blue-shift2,htFuncLib_em-blue-shift.2,0,165,469.0,503.0,248,train,train
225,htfunclib_thermo1,htFuncLib_thermo.1,0,165,509.0,523.0,248,train,train
226,patagrfp,PATagRFP,2,56,562.0,595.0,231,train,test
227,morange,mOrange,1,71,548.0,562.0,236,train,train
228,shadowy,ShadowY,0,165,519.0,531.0,239,train,train
229,mmicy,mMiCy,15,3,470.0,496.0,232,val,val
230,dendra2-t69a,Dendra2-T69A,3,51,502.0,518.0,230,val,train
231,dendra2-t69a,Dendra2-T69A,3,51,563.0,578.0,230,val,train
232,tagrfp,TagRFP,2,56,555.0,584.0,231,train,test
233,mkate-s158c,mKate S158C,2,56,586.0,630.0,231,train,test
234,htfunclib_fast4,htFuncLib_fast.4,0,165,477.0,506.0,248,train,train
235,mcherry2,mCherry2,1,71,589.0,610.0,236,train,train
236,fusionred,FusionRed,2,56,580.0,608.0,232,train,test
237,mruby,mRuby,2,56,558.0,605.0,227,train,test
238,supernova-green,SuperNova Green,6,8,440.0,510.0,237,test,test
239,mscarlet-i-220a,mScarlet-I-220A,1,71,568.0,594.0,232,train,train
240,htfunclib_sfbleach2,htFuncLib_sf:bleach.2,0,165,488.0,508.0,249,train,train
241,mscarlet3,mScarlet3,1,71,569.0,592.0,229,train,train
242,sirius,Sirius,0,165,355.0,424.0,239,train,train
243,staygold-e138d,StayGold-E138D,10,5,497.0,504.0,217,test,val
244,rscherryrev,rsCherryRev,1,71,572.0,608.0,236,train,train
245,htfunclib_thermo8,htFuncLib_thermo.8,0,165,400.0,510.0,248,train,train
246,morange2,mOrange2,1,71,549.0,565.0,236,train,train
247,asred2,AsRed2,16,3,576.0,592.0,231,test,val
248,mtangerine,mTangerine,1,71,568.0,585.0,225,train,train
249,mirfp709,miRFP709,8,6,683.0,709.0,315,test,test
250,ccalofp1,ccalOFP1,24,2,508.0,561.0,226,val,train
251,ebfp,EBFP,0,165,380.0,440.0,239,train,train
252,usgfp,usGFP,0,165,490.0,508.0,238,train,train
253,nu,Nữ,0,165,517.0,531.0,239,train,train
254,azamired10,AzamiRed1.0,3,51,571.0,606.0,226,val,train
255,dsred2,DsRed2,1,71,561.0,587.0,225,train,train
256,bdfp20,BDFP2.0,1,71,587.0,666.0,401,train,train
257,htfunclib_mid10,htFuncLib_mid.10,0,165,489.0,508.0,248,train,train
258,shcp-e63ly64h,shCP-E63L/Y64H,7,7,403.0,451.0,227,test,test
259,htfunclib_sfbleach3,htFuncLib_sf:bleach.3,0,165,493.0,511.0,249,train,train
260,mrubyft,mRubyFT,2,56,408.0,457.0,236,train,test
261,mrubyft,mRubyFT,2,56,582.0,624.0,236,train,test
262,mcardinal,mCardinal,2,56,604.0,659.0,244,train,test
263,e2-orange,E2-Orange,1,71,540.0,561.0,225,train,train
264,htfunclib_thermo2,htFuncLib_thermo.2,0,165,511.0,525.0,248,train,train
265,mturquoise2,mTurquoise2,0,165,434.0,474.0,239,train,train
266,dlanyfp,dLanYFP,26,2,513.0,524.0,236,val,val
267,cgftagrfp,cgfTagRFP,2,56,555.0,584.0,231,train,test
268,supernova-red,SuperNova Red,6,8,579.0,610.0,237,test,test
269,mmaple,mMaple,3,51,489.0,505.0,237,val,train
270,mmaple,mMaple,3,51,566.0,583.0,237,val,train
271,electra1,Electra1,2,56,402.0,454.0,237,train,test
272,htfunclib_acid3,htFuncLib_acid.3,0,165,472.0,502.0,248,train,train
273,mmaple2,mMaple2,3,51,492.0,506.0,237,val,train
274,mmaple2,mMaple2,3,51,570.0,582.0,237,val,train
275,asulcp,asulCP,16,3,572.0,595.0,232,test,val
276,mirfp703,miRFP703,8,6,674.0,703.0,315,test,test
277,yuzufp,YuzuFP,0,165,492.0,511.0,247,train,train
278,mturquoise2-1710,mTurquoise2-1710,0,165,482.0,519.0,239,train,train
279,mecfp,mECFP,0,165,433.0,475.0,239,train,train
280,mscarlet-i,mScarlet-I,1,71,569.0,593.0,232,train,train
281,htfunclib_fast1,htFuncLib_fast.1,0,165,465.0,500.0,248,train,train
282,mbanana,mBanana,1,71,540.0,553.0,236,train,train
283,mko2,mKO2,9,6,551.0,565.0,218,test,test
284,hyperfolder-yfp,Hyperfolder YFP,0,165,514.0,529.0,239,train,train
285,mars1,mARs1,3,51,571.0,598.0,219,val,train
286,mscarlet,mScarlet,1,71,569.0,594.0,232,train,train
287,shardonnay,SHardonnay,0,165,511.0,530.0,239,train,train
288,htfunclib_bleach1,htFuncLib_bleach.1,0,165,483.0,508.0,248,train,train
289,lss-mkate1,LSS-mKate1,2,56,463.0,624.0,233,train,test
290,mplum,mPlum,1,71,590.0,649.0,226,train,train
291,grvt,GRvT,1,71,557.0,583.0,472,train,train
292,mberfp,mBeRFP,2,56,446.0,611.0,235,train,test
293,mscarlet-h,mScarlet-H,1,71,551.0,592.0,232,train,train
294,htfunclib_slow4,htFuncLib_slow.4,0,165,393.0,509.0,248,train,train
295,htfunclib_sfem-blue-shift2,htFuncLib_sf:em-blue-shift.2,0,165,476.0,506.0,249,train,train
296,rsfusionred2,rsFusionRed2,2,56,580.0,607.0,232,train,test
297,amilgfp,amilGFP,15,3,503.0,512.0,231,val,val
298,moxcerulean3,moxCerulean3,0,165,434.0,474.0,239,train,train
299,rsfusionred3,rsFusionRed3,2,56,580.0,607.0,232,train,test
300,memerald,mEmerald,0,165,487.0,509.0,239,train,train
301,citrine,Citrine,0,165,516.0,529.0,239,train,train
302,minisog2,miniSOG2,4,9,429.0,507.0,106,test,test
303,mirfp713,miRFP713,5,9,690.0,713.0,316,test,test
304,mginger2,mGinger2,7,7,578.0,631.0,219,test,test
305,htfunclib_mid5,htFuncLib_mid.5,0,165,501.0,513.0,248,train,train
306,lime,Lime,0,165,488.0,510.0,239,train,train
307,jred,Jred,6,8,584.0,610.0,268,test,test
308,moxmaple3,moxMaple3,3,51,490.0,506.0,237,val,train
309,moxmaple3,moxMaple3,3,51,569.0,584.0,237,val,train
310,azaleab5,AzaleaB5,17,2,574.0,596.0,230,train,train
311,lumazine-binding-protein,Lumazine binding protein,39,1,420.0,470.0,186,val,val
312,htfunclib_sfphotostable1,htFuncLib_sf:photostable.1,0,165,488.0,508.0,249,train,train
313,oxbfp,oxBFP,0,165,385.0,448.0,239,train,train
314,mturquoise,mTurquoise,0,165,434.0,474.0,239,train,train
315,vsfgfp-0,vsfGFP-0,0,165,485.0,510.0,344,train,train
316,fold6,FOLD6,0,165,505.0,515.0,239,train,train
317,mpapaya,mPapaya,11,5,530.0,541.0,237,train,val
318,philov21,phiLOV2.1,4,9,451.0,501.0,110,test,test
319,mrfp1,mRFP1,1,71,584.0,607.0,225,train,train
320,sforange,sfOrange,1,71,546.0,560.0,236,train,train
321,tagyfp,TagYFP,0,165,508.0,524.0,239,train,train
322,mcerulean,mCerulean,0,165,433.0,475.0,239,train,train
323,pa-gfp,PA-GFP,0,165,504.0,517.0,239,train,train
324,mkelly2,mKelly2,2,56,598.0,649.0,219,train,test
325,cagfbfp,CagFbFP,40,1,447.0,497.0,107,val,train
326,smurfp,smURFP,23,2,642.0,670.0,133,train,train
327,tagrfp-t,TagRFP-T,2,56,555.0,584.0,244,train,test
328,p4-3e,P4-3E,0,165,384.0,448.0,238,train,train
329,moxgfp,moxGFP,0,165,486.0,510.0,239,train,train
330,aquamarine,Aquamarine,0,165,430.0,474.0,239,train,train
331,dfgfp,dfGFP,25,2,505.0,524.0,232,train,val
332,mcherry_i202t,mCherry_I202T,1,71,587.0,617.0,236,train,train
333,dsred-express,DsRed-Express,1,71,554.0,586.0,225,train,train
334,mko,mKO,9,6,548.0,559.0,218,test,test
335,htfunclib_slow1,htFuncLib_slow.1,0,165,506.0,522.0,248,train,train
336,lucy,LucY,41,1,460.0,528.0,309,train,train
337,montipora-sp-20-9115,Montipora sp. #20-9115,1,71,580.0,606.0,222,train,train
338,car-geco1,CAR-GECO1,27,2,576.0,629.0,417,test,train
339,car-geco1,CAR-GECO1,27,2,562.0,609.0,417,test,train
340,megfp,mEGFP,0,165,488.0,507.0,239,train,train
341,mwasabi,mWasabi,3,51,493.0,509.0,236,val,train
342,cerulean,Cerulean,0,165,433.0,475.0,239,train,train
343,meos4a,mEos4a,3,51,505.0,515.0,227,val,train
344,meos4a,mEos4a,3,51,571.0,580.0,227,val,train
345,psmorange,PSmOrange,1,71,548.0,565.0,236,train,train
346,psmorange,PSmOrange,1,71,634.0,662.0,236,train,train
347,mkate2,mKate2,2,56,588.0,633.0,232,train,test
348,htfunclib_sfthermo2,htFuncLib_sf:thermo.2,0,165,509.0,516.0,249,train,train
349,htfunclib_acid6,htFuncLib_acid.6,0,165,489.0,509.0,248,train,train
350,tdtomato,tdTomato,1,71,554.0,581.0,476,train,train
351,htfunclib_bleach6,htFuncLib_bleach.6,0,165,500.0,513.0,248,train,train
352,adred-c148s,AdRed-C148S,11,5,560.0,599.0,231,train,val
353,efascfp,efasCFP,42,1,466.0,490.0,229,train,val
354,var1,Var1,0,165,484.0,508.0,238,train,train
355,moxdendra2,moxDendra2,3,51,490.0,504.0,230,val,train
356,moxdendra2,moxDendra2,3,51,551.0,571.0,230,val,train
357,dtfp02,dTFP0.2,3,51,456.0,486.0,240,val,train
358,dkeima570,dKeima570,1,71,440.0,570.0,222,train,train
359,htfunclib_bleach3,htFuncLib_bleach.3,0,165,502.0,514.0,248,train,train
360,padron09,Padron0.9,3,51,505.0,522.0,224,val,train
361,mugfp,muGFP,0,165,490.0,508.0,238,train,train
362,mgold2t,mGold2t,0,165,515.0,527.0,239,train,train
363,pplugfp2,ppluGFP2,19,2,482.0,502.0,222,train,val
364,amfp486,amFP486,20,2,458.0,486.0,229,val,train
365,zsgreen,ZsGreen,11,5,496.0,506.0,231,train,val
366,mcherry_m10l,mCherry_M10L,1,71,583.0,611.0,236,train,train
367,mlemon,mLemon,0,165,514.0,526.0,238,train,train
368,mneptune681,mNeptune681,2,56,604.0,681.0,244,train,test
369,mwatermelon,mWatermelon,1,71,504.0,515.0,232,train,train
370,eqfp611,eqFP611,2,56,559.0,611.0,231,train,test
371,htfunclib_sfmid5,htFuncLib_sf:mid.5,0,165,498.0,512.0,249,train,train
372,irfp713,iRFP713,5,9,690.0,713.0,316,test,test
373,wascfp,WasCFP,0,165,494.0,505.0,239,train,train
374,mcherry,mCherry,1,71,587.0,610.0,236,train,train
375,reach1,REACh1,0,165,495.0,530.0,239,train,train
376,rsfolder2,rsFolder2,0,165,478.0,503.0,239,train,train
377,mhoneydew,mHoneydew,1,71,487.0,562.0,225,train,train
378,meffcfp,meffCFP,43,1,467.0,492.0,232,train,train
379,ecfp,ECFP,0,165,434.0,477.0,239,train,train
380,mcitrine,mCitrine,0,165,516.0,529.0,239,train,train
381,ypet,YPet,0,165,517.0,530.0,239,train,train
382,aausgfp,AausGFP,0,165,398.0,503.0,241,train,train
383,dsredm1,DsRed.M1,1,71,558.0,587.0,225,train,train
384,htfunclib_basic1,htFuncLib_basic.1,0,165,467.0,507.0,248,train,train
385,eforcp,eforCP,44,1,589.0,609.0,227,test,val
386,mukg,mUkG,3,51,483.0,499.0,224,val,train
387,mrhubarb713,mRhubarb713,5,9,690.0,713.0,316,test,test
388,mclover3,mClover3,0,165,506.0,518.0,239,train,train
389,monomeric-hyperfolder-yfp,Monomeric hyperfolder YFP,0,165,515.0,529.0,239,train,train
390,htfunclib_basic3,htFuncLib_basic.3,0,165,476.0,503.0,248,train,train
391,clover,Clover,0,165,505.0,515.0,239,train,train
392,meos32,mEos3.2,3,51,507.0,516.0,226,val,train
393,meos32,mEos3.2,3,51,572.0,580.0,226,val,train
394,ko,KO,9,6,548.0,561.0,217,test,test
395,dkeima,dKeima,1,71,440.0,616.0,222,train,train
396,bruslee,BrUSLEE,0,165,487.0,509.0,239,train,train
397,mstable,mStable,2,56,597.0,633.0,232,train,test
398,dimvenus,DimVenus,0,165,508.0,525.0,239,train,train
399,htfunclib_mid8,htFuncLib_mid.8,0,165,484.0,508.0,248,train,train
400,dtomato,dTomato,1,71,554.0,581.0,234,train,train
401,mkate-s158a,mKate S158A,2,56,585.0,630.0,231,train,test
402,rsfolder,rsFolder,0,165,477.0,503.0,239,train,train
403,shbfp-n158sl173i,shBFP-N158S/L173I,7,7,375.0,458.0,227,test,test
