index,slug,name,surrogate_role,oracle_role
117,d1eosfp,d1EosFP,val,train
118,d1eosfp,d1EosFP,train,test
119,d2eosfp,d2EosFP,train,train
120,d2eosfp,d2EosFP,train,train
121,darkvenus,DarkVenus,test,train
122,dcyofp2s,dCyOFP2s,train,train
123,dcyrfp2s,dCyRFP2s,val,train
124,degfp1,deGFP1,train,test
125,degfp2,deGFP2,train,train
126,degfp3,deGFP3,test,train
127,degfp4,deGFP4,train,val
128,dendfp,dendFP,train,val
129,dendfp,dendFP,train,train
130,dendra,Dendra,train,test
131,dendra,Dendra,train,train
132,dendra2,Dendra2,train,train
133,dendra2,Dendra2,train,test
134,dendra2-m159a,Dendra2-M159A,train,test
135,dendra2-m159a,Dendra2-M159A,train,val
136,dendra2-t69a,Dendra2-T69A,val,train
137,dendra2-t69a,Dendra2-T69A,train,train
138,dfgfp,dfGFP,val,train
139,dimer1,dimer1,train,train
140,dimer2,dimer2,val,train
141,dimvenus,DimVenus,test,train
142,diogenes,Diogenes,val,train
143,dis2rfp,dis2RFP,train,train
144,dis3gfp,dis3GFP,test,train
145,dkeima,dKeima,train,train
146,dkeima570,dKeima570,train,train
147,dlanyfp,dLanYFP,val,train
148,drcbd,DrCBD,train,test
149,dreiklang,Dreiklang,train,val
150,d-rfp618,d-RFP618,val,train
151,dronpa,Dronpa,train,test
152,dronpa-2,Dronpa-2,train,test
153,dronpa-3,Dronpa-3,val,train
154,dsfp483,dsFP483,train,train
155,dspr1,DspR1,train,train
156,dsred,DsRed,train,train
157,dsred2,DsRed2,train,train
158,dsred-express,DsRed-Express,val,train
159,dsred-express2,DsRed-Express2,train,train
160,dsredm1,DsRed.M1,val,train
161,dsred-max,DsRed-Max,val,train
162,dsred-nf,DsRed-NF,test,train
163,dsredt3,DsRed.T3,val,train
164,dsredt4,DsRed.T4,test,train
165,dstc1,DstC1,val,train
166,dtfp01,dTFP0.1,train,train
167,dtfp02,dTFP0.2,train,train
168,dtomato,dTomato,val,train
169,dvfp,dVFP,train,train
170,e2-crimson,E2-Crimson,train,train
171,e2-orange,E2-Orange,train,val
172,e2-redgreen,E2-Red/Green,train,val
173,eagfp,EaGFP,test,train
174,ebfp,EBFP,train,val
175,ebfp12,EBFP1.2,train,test
176,ebfp15,EBFP1.5,train,train
177,ebfp2,EBFP2,train,val
178,ecfp,ECFP,train,test
179,ecfp-h148d,ECFP H148D,train,test
180,ecgfp,ECGFP,train,train
181,ecgp123,eCGP123,test,train
182,eechgfp1,eechGFP1,train,train
183,eechgfp2,eechGFP2,train,train
184,eechgfp3,eechGFP3,train,val
185,eechrfp,eechRFP,train,train
186,efascfp,efasCFP,train,val
187,efasgfp,efasGFP,train,train
188,eforcp,eforCP,train,train
189,egfp,EGFP,val,train
190,egfp203c,eGFP203C,train,val
191,egfp205c,eGFP205C,train,train
192,electra1,Electra1,train,train
193,electra2,Electra2,train,test
194,emerald,Emerald,val,train
195,emirfp670,emiRFP670,test,train
196,emirfp703,emiRFP703,train,train
197,enhanced-cyan-emitting-gfp,Enhanced Cyan-Emitting GFP,train,train
198,eosfp,EosFP,test,train
199,eosfp,EosFP,test,train
200,eqfp578,eqFP578,train,val
201,eqfp611,eqFP611,test,train
202,eqfp611-v124t,eqFP611 V124T,train,train
203,eqfp650,eqFP650,train,train
204,eqfp670,eqFP670,train,val
205,eyfp,EYFP,train,train
206,eyfp-q69k,EYFP-Q69K,test,train
207,eygfp,eYGFP,train,train
208,eygfpuv,eYGFPuv,test,train
209,eygpdp,eYGPdp,val,train
210,fabdgfp,fabdGFP,train,val
211,ffdronpa,ffDronpa,train,train
212,fold6,FOLD6,val,train
213,folding-reporter-gfp,Folding Reporter GFP,train,test
214,fp586,FP586,train,test
215,fr-1,FR-1,train,val
216,free-use-gfp,Free Use GFP,val,train
217,frfast,frFAST,train,val
218,frskylan-s,frSkylan-S,train,train
219,fusionred,FusionRed,train,test
220,fusionred-m,FusionRed-M,test,train
221,fusionred-mqv,FusionRed-MQV,test,train
222,fwyellow,fwYellow,test,train
223,g1,G1,test,train
224,g2,G2,train,train
225,g3,G3,train,train
226,g3gfp,G3GFP,train,train
227,gamillus,Gamillus,train,train
228,gamillus01,Gamillus0.1,train,train
229,gamillus02,Gamillus0.2,train,val
230,gamillus03,Gamillus0.3,train,train
231,gamillus04,Gamillus0.4,train,test
232,gcamp2,GCaMP2,train,test
233,gdt,GdT,train,val
234,gfasgfp,gfasGFP,test,train
235,gfp-151pytyrcu,GFP-151pyTyrCu,train,train
236,gfpe222g,GFP(E222G),train,train
237,gfpmut2,GFPmut2,train,val
238,gfpmut3,GFPmut3,test,train
239,gfp-s65t,GFP (S65T),train,train
240,gfp-tyr151pyz,GFP-Tyr151pyz,train,train
241,gfpxm16,GFPxm16,train,val
242,gfpxm161,GFPxm161,train,train
243,gfpxm162,GFPxm162,train,train
244,gfpxm163,GFPxm163,train,val
245,gfpxm18,GFPxm18,test,train
246,gfpxm181uv,GFPxm181uv,train,train
247,gfpxm18uv,GFPxm18uv,train,train
248,gfpxm19,GFPxm19,train,train
249,gfpxm191uv,GFPxm191uv,train,test
250,gfpxm19uv,GFPxm19uv,train,test
251,ggvt,GGvT,val,train
252,grvt,GRvT,train,val
253,grvt,GRvT,val,train
254,h2-3,h2-3,train,test
255,h9,H9,train,train
256,hcred,HcRed,train,train
257,hcred1-blue,HcRed1-Blue,train,train
258,hcred7,HcRed7,train,train
259,hcred-tandem,HcRed-Tandem,train,test
260,hcrigfp,hcriGFP,train,train
261,hmgfp,hmGFP,test,train
262,hmkeima85,hmKeima8.5,train,train
263,hricfp,HriCFP,train,train
264,hrigfp,HriGFP,val,train
265,htfunclib_acid1,htFuncLib_acid.1,train,train
266,htfunclib_acid2,htFuncLib_acid.2,train,train
267,htfunclib_acid3,htFuncLib_acid.3,train,train
268,htfunclib_acid4,htFuncLib_acid.4,train,train
269,htfunclib_acid5,htFuncLib_acid.5,val,train
270,htfunclib_acid6,htFuncLib_acid.6,val,train
271,htfunclib_basic1,htFuncLib_basic.1,train,test
272,htfunclib_basic2,htFuncLib_basic.2,train,train
273,htfunclib_basic3,htFuncLib_basic.3,val,train
274,htfunclib_basic4,htFuncLib_basic.4,val,train
275,htfunclib_basic6,htFuncLib_basic.6,train,test
276,htfunclib_bleach1,htFuncLib_bleach.1,train,train
277,htfunclib_bleach2,htFuncLib_bleach.2,test,train
278,htfunclib_bleach3,htFuncLib_bleach.3,train,train
279,htfunclib_bleach4,htFuncLib_bleach.4,train,val
280,htfunclib_bleach5,htFuncLib_bleach.5,train,train
281,htfunclib_bleach6,htFuncLib_bleach.6,val,train
282,htfunclib_em-blue-shift1,htFuncLib_em-blue-shift.1,train,val
283,htfunclib_em-blue-shift2,htFuncLib_em-blue-shift.2,train,val
284,htfunclib_fast1,htFuncLib_fast.1,val,train
285,htfunclib_fast2,htFuncLib_fast.2,train,train
286,htfunclib_fast3,htFuncLib_fast.3,train,val
287,htfunclib_fast4,htFuncLib_fast.4,train,val
288,htfunclib_mid10,htFuncLib_mid.10,train,train
289,htfunclib_mid11,htFuncLib_mid.11,train,train
290,htfunclib_mid12,htFuncLib_mid.12,train,val
291,htfunclib_mid13,htFuncLib_mid.13,val,train
292,htfunclib_mid2,htFuncLib_mid.2,val,train
293,htfunclib_mid3,htFuncLib_mid.3,train,train
294,htfunclib_mid4,htFuncLib_mid.4,train,train
295,htfunclib_mid5,htFuncLib_mid.5,train,val
296,htfunclib_mid6,htFuncLib_mid.6,test,train
297,htfunclib_mid7,htFuncLib_mid.7,val,train
298,htfunclib_mid8,htFuncLib_mid.8,train,train
299,htfunclib_mid9,htFuncLib_mid.9,train,val
300,htfunclib_photostable1,htFuncLib_photostable.1,train,val
301,htfunclib_photostable2,htFuncLib_photostable.2,train,val
302,htfunclib_sfacid3,htFuncLib_sf:acid.3,train,val
303,htfunclib_sfacid4,htFuncLib_sf:acid.4,val,train
304,htfunclib_sfacid5,htFuncLib_sf:acid.5,val,train
305,htfunclib_sfbleach1,htFuncLib_sf:bleach.1,train,val
306,htfunclib_sfbleach2,htFuncLib_sf:bleach.2,train,train
307,htfunclib_sfbleach3,htFuncLib_sf:bleach.3,train,train
308,htfunclib_sfem-blue-shift1,htFuncLib_sf:em-blue-shift.1,train,train
309,htfunclib_sfem-blue-shift2,htFuncLib_sf:em-blue-shift.2,train,test
310,htfunclib_sffast3,htFuncLib_sf:fast.3,train,val
311,htfunclib_sfmid10,htFuncLib_sf:mid.10,train,test
312,htfunclib_sfmid11,htFuncLib_sf:mid.11,train,test
313,htfunclib_sfmid12,htFuncLib_sf:mid.12,train,train
314,htfunclib_sfmid5,htFuncLib_sf:mid.5,val,train
315,htfunclib_sfmid7,htFuncLib_sf:mid.7,train,train
316,htfunclib_sfmid9,htFuncLib_sf:mid.9,train,train
317,htfunclib_sfphotostable1,htFuncLib_sf:photostable.1,train,test
318,htfunclib_sfphotostable2,htFuncLib_sf:photostable.2,val,train
319,htfunclib_sfthermo2,htFuncLib_sf:thermo.2,train,train
320,htfunclib_sfthermo9,htFuncLib_sf:thermo.9,train,test
321,htfunclib_slow1,htFuncLib_slow.1,test,train
322,htfunclib_slow2,htFuncLib_slow.2,train,train
323,htfunclib_slow3,htFuncLib_slow.3,train,val
324,htfunclib_slow4,htFuncLib_slow.4,train,test
325,htfunclib_thermo1,htFuncLib_thermo.1,val,train
326,htfunclib_thermo2,htFuncLib_thermo.2,val,train
327,htfunclib_thermo3,htFuncLib_thermo.3,train,test
328,htfunclib_thermo4,htFuncLib_thermo.4,train,val
329,htfunclib_thermo5,htFuncLib_thermo.5,val,train
330,htfunclib_thermo6,htFuncLib_thermo.6,train,train
331,htfunclib_thermo8,htFuncLib_thermo.8,train,val
332,htfunclib_thermo9,htFuncLib_thermo.9,train,train
333,hyperfolder-yfp,Hyperfolder YFP,train,train
334,ifp14,iFP1.4,val,train
335,ifp20,iFP2.0,train,train
336,ilov,iLov,train,train
337,iq-memerald,iq-mEmerald,test,train
338,irfp670,iRFP670,train,train
339,irfp682,iRFP682,train,val
340,irfp702,iRFP702,train,train
341,irfp713,iRFP713,train,train
342,irfp713v256c,iRFP713/V256C,train,train
343,irfp720,iRFP720,val,train
344,irisfp,IrisFP,test,train
345,irisfp,IrisFP,train,train
346,irisfp-m159a,IrisFP-M159A,test,train
347,jred,Jred,train,train
348,kaede,Kaede,train,train
349,kaede,Kaede,train,test
350,katushka,Katushka,val,train
351,katushka2s,Katushka2S,train,train
352,katushka-9-5,Katushka-9-5,train,train
353,kcy,KCY,val,train
354,kcy-g4219,KCY-G4219,test,train
355,kcy-g4219-38l,KCY-G4219-38L,train,train
356,kcy-r1,KCY-R1,test,train
357,kcy-r1-158a,KCY-R1-158A,val,train
358,kcy-r1-38h,KCY-R1-38H,train,train
359,kcy-r1-38l,KCY-R1-38L,train,train
360,kfp1,KFP1,train,test
361,kfp1,KFP1,train,test
362,kikg,KikG,train,train
363,kikgr1,KikGR1,val,train
364,kikgr1,KikGR1,train,train
365,killerorange,KillerOrange,test,train
366,killerred,KillerRed,test,train
367,ko,KO,val,train
368,kofp-7,KOFP-7,train,train
369,kohinoor,Kohinoor,train,train
370,kohinoor20,Kohinoor2.0,train,train
371,laesgfp,laesGFP,val,train
372,lagfp,laGFP,train,train
373,lanfp1,LanFP1,train,train
374,lanfp2,LanFP2,train,test
375,lanrfp-deltas83l,lanRFP-ΔS83l,train,train
376,lanyfp,LanYFP,val,train
377,larfp,laRFP,train,val
378,lime,Lime,train,train
379,lssa12,LSSA12,train,train
380,lssmapple,LSSmApple,val,train
381,lssmcherry1,LSSmCherry1,val,train
382,lssmgfp,LSSmGFP,test,train
383,lss-mkate1,LSS-mKate1,train,train
384,lss-mkate2,LSS-mKate2,test,train
385,lssmorange,LSSmOrange,train,test
386,lssmscarlet,LSSmScarlet,train,test
387,lssmscarlet2,LSSmScarlet2,test,train
388,lssmscarlet3,LSSmScarlet3,train,test
389,lucy,LucY,test,train
390,lumazine-binding-protein,Lumazine binding protein,train,test
391,m355na,M355NA,val,train
392,mametrine,mAmetrine,train,train
393,mapple,mApple,train,test
394,maroon01,Maroon0.1,train,train
395,mars1,mARs1,val,train
396,mavicfp1,mAvicFP1,train,train
397,mazamigreen,mAzamiGreen,train,train
398,mbanana,mBanana,test,train
399,mbaojin,mBaoJin,train,train
400,mbaojin-t55s,mBaoJin-T55S,test,train
401,mberfp,mBeRFP,train,train
402,mblueberry1,mBlueberry1,train,test
403,mblueberry2,mBlueberry2,train,test
404,mc1,mc1,train,train
405,mc2,mc2,train,train
406,mc3,mc3,train,train
407,mc4,mc4,train,val
408,mc5,mc5,train,train
409,mc6,mc6,train,test
410,mcag1,McaG1,train,val
411,mcag1ea,McaG1ea,train,val
412,mcag2,McaG2,val,train
413,mcardinal,mCardinal,train,train
414,mcarmine,mCarmine,train,train
415,mcavfp,mcavFP,train,train
416,mcavgfp,mcavGFP,val,train
417,mcavrfp,mcavRFP,train,train
418,mccfp,mcCFP,test,train
419,mcerulean,mCerulean,train,train
420,mcerulean2,mCerulean2,train,train
421,mcerulean2d3,mCerulean2.D3,val,train
422,mcerulean2n,mCerulean2.N,test,train
423,mcerulean2nt65s,mCerulean2.N(T65S),train,train
424,mcerulean3,mCerulean3,train,train
425,mceruleanb,mCerulean.B,train,train
426,mceruleanb2,mCerulean.B2,train,train
427,mceruleanb24,mCerulean.B24,train,train
428,mchartreuse,mChartreuse,train,val
429,mcherry,mCherry,train,test
430,mcherry2,mCherry2,train,train
431,mcherry_i202t,mCherry_I202T,train,train
432,mcherry_i202y,mCherry_I202Y,test,train
433,mcherry_m10l,mCherry_M10L,test,train
434,mcherry-xl,mCherry-XL,train,test
435,mcitrine,mCitrine,train,train
436,mclavgr2,mClavGR2,train,train
437,mclavgr2,mClavGR2,val,train
438,mclover3,mClover3,val,train
439,mcrispred,mCRISPRed,train,val
440,mcyrfp1,mCyRFP1,train,train
441,mecfp,mECFP,train,val
442,meffcfp,meffCFP,train,train
443,meffgfp,meffGFP,val,train
444,meffrfp,meffRFP,train,train
445,megfp,mEGFP,train,val
446,melecfp,meleCFP,test,train
447,melerfp,meleRFP,val,train
448,memerald,mEmerald,test,train
449,meos2,mEos2,train,train
450,meos2,mEos2,train,train
451,meos2-a69t,mEos2-A69T,test,train
452,meos2-a69t,mEos2-A69T,val,train
453,meos31,mEos3.1,train,test
454,meos31,mEos3.1,train,train
455,meos32,mEos3.2,train,test
456,meos32,mEos3.2,train,train
457,meos4a,mEos4a,train,train
458,meos4a,mEos4a,train,train
459,meos4b,mEos4b,val,train
460,meos4b,mEos4b,train,val
461,meos4b-l93m,mEos4b-L93M,train,train
462,meos4b-l93m,mEos4b-L93M,val,train
463,meos4fast1,mEos4Fast1,train,test
464,meos4fast1,mEos4Fast1,val,train
465,meos4fast2,mEos4Fast2,train,train
466,meos4fast2,mEos4Fast2,train,train
467,meosem,mEosEM,train,train
468,meosem,mEosEM,train,val
469,meosfp,mEosFP,train,test
470,meosfp,mEosFP,train,train
471,meosfp-f173s,mEosFP-F173S,val,train
472,meosfp-f173s,mEosFP-F173S,train,val
473,meosfp-m159a,mEosFP-M159A,train,train
474,meyfp,mEYFP,train,train
475,mfag1,MfaG1,train,val
476,mgarnet,mGarnet,train,val
477,mgarnet2,mGarnet2,train,test
478,mgeos-c,mGeos-C,train,test
479,mgeos-e,mGeos-E,test,train
480,mgeos-f,mGeos-F,train,train
481,mgeos-l,mGeos-L,train,train
482,mgeos-m,mGeos-M,test,train
483,mgeos-s,mGeos-S,train,test
484,mgfpmut3,mGFPmut3,train,val
485,mginger1,mGinger1,train,train
486,mginger2,mGinger2,train,test
487,mgold,mGold,train,train
488,mgold2s,mGold2s,train,train
489,mgold2t,mGold2t,train,train
490,mgrape1,mGrape1,train,train
491,mgrape2,mGrape2,train,val
492,mgrape3,mGrape3,train,val
493,mgreenlantern,mGreenLantern,test,train
494,mhoneydew,mHoneydew,test,train
495,micy,MiCy,test,train
496,mifp,mIFP,train,val
497,minigfp1,miniGFP1,train,train
498,minigfp2,miniGFP2,train,train
499,minisog,miniSOG,train,train
500,minisog2,miniSOG2,val,train
501,minisog-q103v,miniSOG Q103V,train,val
502,mirfp,miRFP,test,train
503,mirfp2,miRFP2,train,train
504,mirfp670,miRFP670,train,train
505,mirfp670-2,miRFP670-2,test,train
506,mirfp670nano,miRFP670nano,test,train
507,mirfp670nano3,miRFP670nano3,train,test
508,mirfp670v1,miRFP670v1,train,train
509,mirfp680,miRFP680,train,val
510,mirfp682,miRFP682,train,train
511,mirfp702,miRFP702,val,train
512,mirfp703,miRFP703,train,val
513,mirfp709,miRFP709,train,train
514,mirfp713,miRFP713,train,test
515,mirfp720,miRFP720,val,train
516,mirisfp,mIrisFP,train,test
517,mirisfp,mIrisFP,test,train
518,mjuniper,mJuniper,test,train
519,mkalama1,mKalama1,train,train
520,mkate,mKate,train,val
521,mkate2,mKate2,train,val
522,mkate-m41g-s158c,mKate M41G S158C,val,train
523,mkate-s158a,mKate S158A,train,val
524,mkate-s158c,mKate S158C,train,test
525,mkeima,mKeima,train,train
526,mkeima,mKeima,train,val
527,mkeima,mKeima,train,val
528,mkeima,mKeima,train,train
529,mkeima,mKeima,val,train
530,mkelly1,mKelly1,test,train
531,mkelly2,mKelly2,train,test
532,mkg,mKG,train,train
533,mk-go,mK-GO,train,val
534,mk-go,mK-GO,train,test
535,mkikgr,mKikGR,train,val
536,mkikgr,mKikGR,train,train
537,mkillerorange,mKillerOrange,train,test
538,mko,mKO,train,train
539,mko2,mKO2,train,val
540,mkokappa,mKOκ,train,val
541,mlemon,mLemon,train,train
542,mlumin,mLumin,train,train
543,mlychee,mLychee,train,test
544,mmaple,mMaple,train,test
545,mmaple,mMaple,train,test
546,mmaple2,mMaple2,train,train
547,mmaple2,mMaple2,train,train
548,mmaple3,mMaple3,train,train
549,mmaple3,mMaple3,train,val
550,mmaroon1,mMaroon1,test,train
551,mmgfp,mmGFP,train,train
552,mmicy,mMiCy,train,val
553,mmilcfp,mmilCFP,train,val
554,mnectarine,mNectarine,train,train
555,mneongreen,mNeonGreen,train,test
556,mneptune,mNeptune,train,train
557,mneptune2,mNeptune2,val,train
558,mneptune25,mNeptune2.5,train,train
559,mneptune681,mNeptune681,train,train
560,mneptune684,mNeptune684,test,train
561,monomeric-hyperfolder-yfp,Monomeric hyperfolder YFP,train,train
562,montipora-sp-20-9115,Montipora sp. #20-9115,train,train
563,morange,mOrange,train,test
564,morange2,mOrange2,train,test
565,moxbfp,moxBFP,train,val
566,moxcerulean3,moxCerulean3,train,test
567,moxdendra2,moxDendra2,train,train
568,moxdendra2,moxDendra2,train,train
569,moxgfp,moxGFP,train,test
570,moxmaple3,moxMaple3,train,train
571,moxmaple3,moxMaple3,train,train
572,moxneongreen,moxNeonGreen,train,val
573,moxvenus,moxVenus,train,val
574,mpapaya,mPapaya,train,val
575,mpapaya07,mPapaya0.7,train,test
576,mplum,mPlum,val,train
577,mplum-e16p,mPlum-E16P,train,train
578,mraspberry,mRaspberry,val,train
579,mred7,mRed7,train,train
580,mred7q1,mRed7Q1,test,train
581,mred7q1s1,mRed7Q1S1,train,train
582,mred7q1s1bm,mRed7Q1S1BM,train,test
583,mrfp1,mRFP1,test,train
584,mrfp11,mRFP1.1,val,train
585,mrfp12,mRFP1.2,train,val
586,mrfp1_magenta,mRFP1_Magenta,train,val
587,mrfp1_pink,mRFP1_Pink,val,train
588,mrfp1-q66c,mRFP1-Q66C,train,train
589,mrfp1-q66s,mRFP1-Q66S,test,train
590,mrfp1-q66t,mRFP1-Q66T,train,val
591,mrfp1_violet,mRFP1_Violet,train,test
592,mrhubarb713,mRhubarb713,train,train
593,mrhubarb719,mRhubarb719,train,train
594,mrhubarb720,mRhubarb720,test,train
595,mrojoa,mRojoA,val,train
596,mrojob,mRojoB,train,val
597,mrouge,mRouge,train,val
598,mrtms5,mRtms5,train,train
599,mruby,mRuby,val,train
600,mruby2,mRuby2,val,train
601,mruby3,mRuby3,test,train
602,mrubyft,mRubyFT,val,train
603,mrubyft,mRubyFT,test,train
604,msandy2,mSandy2,test,train
605,mscarlet,mScarlet,train,train
606,mscarlet-220a,mScarlet-220A,train,train
607,mscarlet-2a,mScarlet-2A,train,train
608,mscarlet-2a-84w,mScarlet-2A-84W,train,train
609,mscarlet3,mScarlet3,test,train
610,mscarlet3-h,mScarlet3-H,train,test
611,mscarlet3-s2,mScarlet3-S2,val,train
612,mscarlet-h,mScarlet-H,train,test
613,mscarlet-i,mScarlet-I,train,train
614,mscarlet-i-220a,mScarlet-I-220A,train,train
615,mscarlet-i3,mScarlet-I3,train,val
616,mscarlet-i3-ncwt,mScarlet-I3-NCwt,train,test
617,msgfp2,msGFP2,train,train
618,mstable,mStable,train,train
619,mstaygold,mStayGold,test,train
620,mstaygold2,mStayGold2,test,train
621,mstrawberry,mStrawberry,train,train
622,mtagbfp2,mTagBFP2,train,test
623,mtangerine,mTangerine,test,train
624,mtfp,mTFP*,train,train
625,mtfp03,mTFP0.3,train,train
626,mtfp07,mTFP0.7,train,train
627,mtfp1,mTFP1,train,train
628,mtfp1-y67w,mTFP1-Y67W,test,train
629,mt-sapphire,mT-Sapphire,val,train
630,mturquoise,mTurquoise,train,train
631,mturquoise2,mTurquoise2,train,test
632,mturquoise2-1710,mTurquoise2-1710,train,train
633,mturquoise2_t203y,mTurquoise2_T203Y,test,train
634,mugfp,muGFP,train,test
635,mukg,mUkG,val,train
636,mvenus,mVenus,train,train
637,mvenus-q69m,mVenus-Q69M,train,train
638,mvfp,mVFP,train,train
639,mvfp1,mVFP1,train,train
640,mwasabi,mWasabi,test,train
641,mwatermelon,mWatermelon,train,val
642,n1oxstaygold,(n1)oxStayGold,train,val
643,n1staygold,(n1)StayGold,val,train
644,nanoluc,nanoLuc,train,val
645,neptune,Neptune,train,train
646,nijifp,NijiFP,train,val
647,nijifp,NijiFP,train,val
648,nirfast-hpar-35dom,"nirFAST  + HPAR-3,5DOM",train,test
649,nowgfp,NowGFP,test,train
650,nu,Nữ,train,train
651,obecfp,obeCFP,train,train
652,obegfp,obeGFP,train,train
653,obeyfp,obeYFP,val,train
654,ofp,OFP,train,val
655,ofpxm,OFPxm,train,test
656,oxbfp,oxBFP,test,train
657,oxgfp,oxGFP,train,val
658,oxstaygold,oxStayGold,train,val
659,oxvenus,oxVenus,train,test
660,p11,P11,train,train
661,p4,P4,train,test
662,p4-1,P4-1,test,train
663,p4-3e,P4-3E,train,val
664,p9,P9,train,train
665,padron,Padron,train,train
666,padron09,Padron0.9,test,train
667,padron2,Padron2,test,train
668,padronstar,Padron(star),train,test
669,pa-gfp,PA-GFP,test,train
670,pamcherry1,PAmCherry1,train,train
671,pamcherry2,PAmCherry2,train,test
672,pamcherry3,PAmCherry3,val,train
673,pamkate,PAmKate,train,train
674,patagrfp,PATagRFP,train,train
675,patagrfp1297,PATagRFP1297,train,train
676,patagrfp1314,PATagRFP1314,train,train
677,pcdronpa,pcDronpa,train,val
678,pcdronpa,pcDronpa,val,train
679,pcdronpa2,pcDronpa2,train,test
680,pcdronpa2,pcDronpa2,train,train
681,pcstar,pcStar,train,train
682,pcstar,pcStar,train,train
683,pdac1,PdaC1,test,train
684,pdae1gfp,pdae1GFP,val,train
685,phanta,Phanta,val,train
686,philov21,phiLOV2.1,val,train
687,philov3,phiLOV3,train,train
688,phiyfp,phiYFP,train,val
