index,name,surrogate_role,oracle_role
166,eechGFP3,test,train
167,eechRFP,test,train
168,efasCFP,train,test
169,efasGFP,train,test
170,eforCP,test,train
171,EGFP,train,train
172,eGFP203C,val,train
173,eGFP205C,train,test
174,Electra1,train,train
175,Electra2,test,train
176,Emerald,train,train
177,Enhanced Cyan-Emitting GFP,train,val
178,EosFP,train,test
179,eqFP578,train,train
180,eqFP611,train,train
181,eqFP611 V124T,train,test
182,eqFP650,train,train
183,eqFP670,train,val
184,EYFP,train,train
185,EYFP-Q69K,train,train
186,eYGFP,train,test
187,eYGFPuv,train,val
188,eYGPdp,train,test
189,fabdGFP,train,val
190,ffDronpa,train,test
191,FOLD6,train,train
192,Folding Reporter GFP,train,test
193,FP586,train,train
194,FR-1,train,test
195,Free Use GFP,train,val
196,frSkylan-S,train,train
197,FusionRed,test,train
198,FusionRed-M,val,train
199,FusionRed-MQV,train,train
200,fwYellow,train,val
201,G1,test,train
202,G2,val,train
203,G3,train,train
204,G3GFP,val,train
205,Gamillus,train,train
206,Gamillus0.1,train,train
207,Gamillus0.2,train,train
208,Gamillus0.3,val,train
209,Gamillus0.4,train,test
210,GCaMP2,train,train
211,GdT,test,train
212,gfasGFP,test,train
213,GFP-151pyTyrCu,train,val
214,GFP(E222G),train,train
215,GFPmut2,test,train
216,GFPmut3,train,train
217,GFP (S65T),train,test
218,GFP-Tyr151pyz,train,train
219,GFPxm16,val,train
220,GFPxm161,train,train
221,GFPxm162,train,train
222,GFPxm163,train,train
223,GFPxm18,train,test
224,GFPxm181uv,val,train
225,GFPxm18uv,val,train
226,GFPxm19,val,train
227,GFPxm191uv,train,test
228,GFPxm19uv,train,val
229,GGvT,train,test
230,h2-3,test,train
231,H9,train,val
232,HcRed,train,train
233,HcRed1-Blue,train,train
234,HcRed7,train,train
235,HcRed-Tandem,train,train
236,hcriGFP,train,train
237,hmGFP,train,val
238,hmKeima8.5,train,train
239,HriCFP,train,train
240,HriGFP,train,test
241,htFuncLib_acid.1,train,val
242,htFuncLib_acid.2,train,train
243,htFuncLib_acid.3,train,train
244,htFuncLib_acid.4,train,val
245,htFuncLib_acid.5,train,test
246,htFuncLib_acid.6,train,val
247,htFuncLib_basic.1,train,train
248,htFuncLib_basic.2,train,train
249,htFuncLib_basic.3,test,train
250,htFuncLib_basic.4,train,train
251,htFuncLib_basic.6,train,train
252,htFuncLib_bleach.1,train,train
253,htFuncLib_bleach.2,test,train
254,htFuncLib_bleach.3,test,train
255,htFuncLib_bleach.4,train,train
256,htFuncLib_bleach.5,test,train
257,htFuncLib_bleach.6,train,val
258,htFuncLib_em-blue-shift.1,train,train
259,htFuncLib_em-blue-shift.2,train,train
260,htFuncLib_fast.1,train,train
261,htFuncLib_fast.2,train,train
262,htFuncLib_fast.3,train,train
263,htFuncLib_fast.4,train,train
264,htFuncLib_mid.10,test,train
265,htFuncLib_mid.11,train,train
266,htFuncLib_mid.12,train,train
267,htFuncLib_mid.13,val,train
268,htFuncLib_mid.2,train,train
269,htFuncLib_mid.3,train,test
270,htFuncLib_mid.4,train,val
271,htFuncLib_mid.5,train,train
272,htFuncLib_mid.6,train,val
273,htFuncLib_mid.7,train,train
274,htFuncLib_mid.8,train,val
275,htFuncLib_mid.9,train,val
276,htFuncLib_photostable.1,test,train
277,htFuncLib_photostable.2,test,train
278,htFuncLib_sf:acid.3,train,test
279,htFuncLib_sf:acid.4,train,test
280,htFuncLib_sf:acid.5,val,train
281,htFuncLib_sf:bleach.1,test,train
282,htFuncLib_sf:bleach.2,train,test
283,htFuncLib_sf:bleach.3,train,train
284,htFuncLib_sf:em-blue-shift.1,train,val
285,htFuncLib_sf:em-blue-shift.2,train,train
286,htFuncLib_sf:fast.3,train,train
287,htFuncLib_sf:mid.10,val,train
288,htFuncLib_sf:mid.11,train,train
289,htFuncLib_sf:mid.12,train,train
290,htFuncLib_sf:mid.5,train,val
291,htFuncLib_sf:mid.7,train,train
292,htFuncLib_sf:mid.9,train,train
293,htFuncLib_sf:photostable.1,val,train
294,htFuncLib_sf:photostable.2,train,train
295,htFuncLib_sf:thermo.2,test,train
296,htFuncLib_sf:thermo.9,train,train
297,htFuncLib_slow.1,train,test
298,htFuncLib_slow.2,train,train
299,htFuncLib_slow.3,val,train
300,htFuncLib_slow.4,test,train
301,htFuncLib_thermo.1,train,train
302,htFuncLib_thermo.2,train,test
303,htFuncLib_thermo.3,train,val
304,htFuncLib_thermo.4,train,train
305,htFuncLib_thermo.5,train,train
306,htFuncLib_thermo.6,train,test
307,htFuncLib_thermo.8,val,train
308,htFuncLib_thermo.9,val,train
309,Hyperfolder YFP,train,test
310,iq-mEmerald,train,val
311,IrisFP,train,train
312,IrisFP-M159A,train,train
313,Jred,test,train
314,Kaede,train,val
315,Katushka,train,train
316,Katushka2S,train,val
317,Katushka-9-5,train,train
318,KCY,train,val
319,KCY-G4219,train,train
320,KCY-G4219-38L,train,train
321,KCY-R1,val,train
322,KCY-R1-158A,train,train
323,KCY-R1-38H,val,train
324,KCY-R1-38L,val,train
325,KFP1,train,val
326,KikG,test,train
327,KikGR1,train,train
328,KillerOrange,test,train
329,KillerRed,train,val
330,KO,train,train
331,Kohinoor,train,test
332,Kohinoor2.0,test,train
333,laesGFP,test,train
334,laGFP,val,train
335,LanFP1,train,train
336,LanFP2,train,test
337,lanRFP-ΔS83l,train,test
338,LanYFP,test,train
339,laRFP,train,train
340,Lime,val,train
341,LSSA12,train,test
342,LSSmApple,train,test
343,LSSmCherry1,train,train
344,LSSmGFP,train,val
345,LSS-mKate1,train,train
346,LSS-mKate2,train,train
347,LSSmOrange,train,train
348,LSSmScarlet,train,train
349,LSSmScarlet2,test,train
350,LSSmScarlet3,train,train
351,M355NA,train,test
352,mAmetrine,train,train
353,mApple,train,train
354,Maroon0.1,train,val
355,mARs1,train,val
356,mAvicFP1,train,train
357,mAzamiGreen,test,train
358,mBanana,train,train
359,mBaoJin,train,val
360,mBaoJin-T55S,train,val
361,mBeRFP,test,train
362,mBlueberry1,test,train
363,mBlueberry2,train,train
364,mc1,val,train
365,mc2,train,train
366,mc3,val,train
367,mc4,train,train
368,mc5,test,train
369,mc6,train,test
370,McaG1,train,test
371,McaG1ea,train,train
372,McaG2,train,train
373,mCardinal,test,train
374,mCarmine,test,train
375,mcavFP,test,train
376,mcavGFP,train,val
377,mcavRFP,train,test
378,mcCFP,train,train
379,mCerulean,val,train
380,mCerulean2,train,train
381,mCerulean2.D3,train,train
382,mCerulean2.N,train,val
383,mCerulean2.N(T65S),train,test
384,mCerulean3,train,train
385,mCerulean.B,train,val
386,mCerulean.B2,train,train
387,mCerulean.B24,train,test
388,mChartreuse,train,train
389,mCherry,train,train
390,mCherry2,train,train
391,mCherry_I202T,train,train
392,mCherry_I202Y,train,test
393,mCherry_M10L,train,test
394,mCherry-XL,train,test
395,mCitrine,val,train
396,mClavGR2,train,val
397,mClover3,test,train
398,mCRISPRed,train,test
399,mCyRFP1,train,train
400,mECFP,train,train
401,meffCFP,train,test
402,meffGFP,train,train
403,meffRFP,val,train
404,mEGFP,train,val
405,meleCFP,val,train
406,meleRFP,test,train
407,mEmerald,train,train
408,mEos2,val,train
409,mEos2-A69T,train,val
410,mEos3.1,test,train
411,mEos3.2,train,val
412,mEos4a,val,train
413,mEos4b,train,train
414,mEos4b-L93M,train,train
415,mEos4Fast1,val,train
416,mEos4Fast2,train,train
417,mEosEM,train,train
418,mEosFP,train,train
419,mEosFP-F173S,test,train
420,mEosFP-M159A,test,train
421,mEYFP,train,val
422,MfaG1,train,test
423,mGarnet,train,test
424,mGarnet2,train,train
425,mGeos-C,train,test
426,mGeos-E,val,train
427,mGeos-F,train,test
428,mGeos-L,train,test
429,mGeos-M,val,train
430,mGeos-S,train,test
431,mGFPmut3,train,val
432,mGinger1,train,train
433,mGinger2,train,val
434,mGold,val,train
435,mGold2s,train,val
436,mGold2t,train,val
437,mGrape1,train,test
438,mGrape2,train,train
439,mGrape3,train,test
440,mGreenLantern,train,val
441,mHoneydew,train,val
442,MiCy,train,train
443,mIrisFP,train,train
444,mJuniper,val,train
445,mKalama1,train,val
446,mKate,test,train
447,mKate2,train,val
448,mKate M41G S158C,train,train
449,mKate S158A,train,train
450,mKate S158C,train,train
451,mKelly1,train,train
452,mKelly2,train,train
453,mKG,test,train
454,mK-GO,test,train
455,mKikGR,train,train
456,mKillerOrange,val,train
457,mKO,train,train
458,mKO2,test,train
459,mKOκ,test,train
460,mLemon,val,train
461,mLumin,test,train
462,mLychee,train,train
463,mMaple,val,train
464,mMaple2,test,train
465,mMaple3,val,train
466,mMaroon1,train,train
467,mmGFP,train,val
468,mMiCy,train,val
469,mmilCFP,train,train
470,mNectarine,val,train
471,mNeonGreen,train,test
472,mNeptune,train,test
473,mNeptune2,train,train
474,mNeptune2.5,train,train
475,mNeptune681,train,val
476,mNeptune684,train,train
477,Monomeric hyperfolder YFP,test,train
478,Montipora sp. #20-9115,val,train
479,mOrange,train,train
480,mOrange2,train,train
481,moxBFP,test,train
482,moxCerulean3,train,val
483,moxDendra2,train,train
484,moxGFP,train,val
485,moxMaple3,val,train
486,moxNeonGreen,train,val
487,moxVenus,train,train
488,mPapaya,test,train
489,mPapaya0.7,val,train
490,mPlum,train,train
491,mPlum-E16P,train,val
492,mRaspberry,test,train
493,mRed7,val,train
494,mRed7Q1,train,val
495,mRed7Q1S1,train,train
496,mRed7Q1S1BM,train,val
497,mRFP1,test,train
498,mRFP1.1,train,val
499,mRFP1.2,test,train
500,mRFP1_Magenta,train,train
501,mRFP1_Pink,train,train
502,mRFP1-Q66C,train,train
503,mRFP1-Q66S,train,val
504,mRFP1-Q66T,train,train
505,mRFP1_Violet,train,test
506,mRojoA,train,train
507,mRojoB,train,train
508,mRouge,test,train
509,mRtms5,train,train
510,mRuby,test,train
511,mRuby2,val,train
512,mRuby3,train,train
513,mRubyFT,train,train
514,mSandy2,train,train
515,mScarlet,train,train
516,mScarlet-220A,train,train
517,mScarlet-2A,train,train
518,mScarlet-2A-84W,train,test
519,mScarlet3,train,val
520,mScarlet3-H,val,train
521,mScarlet3-S2,train,train
522,mScarlet-H,train,train
523,mScarlet-I,train,train
524,mScarlet-I-220A,val,train
525,mScarlet-I3,train,train
526,mScarlet-I3-NCwt,val,train
527,msGFP2,val,train
528,mStable,train,val
529,mStayGold,train,train
530,mStayGold2,val,train
531,mStrawberry,train,val
532,mTagBFP2,train,train
533,mTangerine,test,train
534,mTFP*,train,train
535,mTFP0.3,train,train
536,mTFP0.7,train,train
537,mTFP1,train,train
538,mTFP1-Y67W,train,train
539,mT-Sapphire,train,train
540,mTurquoise,train,train
541,mTurquoise2,train,val
542,mTurquoise2-1710,val,train
543,mTurquoise2_T203Y,train,test
544,muGFP,train,train
545,mUkG,train,test
546,mVenus,train,test
547,mVenus-Q69M,val,train
548,mVFP,test,train
549,mVFP1,train,train
550,mWasabi,train,train
551,mWatermelon,train,train
552,(n1)oxStayGold,train,train
553,(n1)StayGold,train,val
554,Neptune,train,val
555,NijiFP,train,train
556,NowGFP,train,train
557,Nữ,train,train
558,obeCFP,train,train
559,obeGFP,val,train
560,obeYFP,train,train
561,OFP,train,val
562,OFPxm,train,train
563,oxBFP,train,val
564,oxGFP,train,val
565,oxStayGold,train,test
566,oxVenus,train,train
567,P11,val,train
568,P4,val,train
569,P4-1,test,train
570,P4-3E,train,train
571,P9,train,train
572,Padron,train,train
573,Padron0.9,val,train
574,Padron2,train,test
575,Padron(star),train,test
576,PA-GFP,train,val
577,PAmCherry1,train,train
578,PAmCherry2,val,train
579,PAmCherry3,train,train
580,PAmKate,train,val
581,PATagRFP,train,train
582,PATagRFP1297,val,train
583,PATagRFP1314,train,train
584,pcDronpa,test,train
585,pcDronpa2,test,train
586,pcStar,test,train
587,PdaC1,val,train
588,pdae1GFP,train,train
589,Phanta,val,train
590,phiYFP,train,val
591,phiYFPv,train,train
592,"pHluorin, ecliptic",train,train
593,pH-tdGFP,train,train
594,pHuji,train,val
595,plamGFP,val,train
596,plobRFP,train,train
597,pmeaGFP1,val,train
598,pmeaGFP2,train,train
599,pmimGFP1,test,train
600,pmimGFP2,train,train
601,ppluGFP1,train,train
602,ppluGFP2,train,train
603,pporGFP,val,train
604,pporRFP,val,train
605,PROSS-eGFP,train,train
606,psamCFP,val,train
607,PS-CFP,train,val
608,PS-CFP2,train,train
609,PSmOrange,train,test
610,PSmOrange2,test,train
611,ptilGFP,train,test
612,QC2-6,test,train
613,RCaMP,train,train
614,RDSmCherry0.1,train,train
615,RDSmCherry0.2,train,test
616,RDSmCherry0.5,train,val
617,RDSmCherry1,train,train
618,REACh1,train,train
619,REACh2,test,train
620,rfloGFP,train,val
621,RFP611,train,train
622,RFP618,train,val
623,RFP630,val,train
624,RFP637,val,train
625,RFP639,train,train
626,roGFP1,train,test
627,roGFP1-R1,val,train
628,roGFP1-R8,train,train
629,roGFP2,train,test
630,Rosmarinus,val,train
631,rrenGFP,train,train
632,RRvT,train,train
633,rsCherry,train,test
634,rsCherryRev,train,train
635,rsCherryRev1.4,train,train
636,rsEGFP,train,val
637,rsEGFP2,train,test
638,rsFastLime,train,train
639,rsFolder,val,train
640,rsFolder2,train,train
641,rsFusionRed1,train,train
642,rsFusionRed2,val,train
643,rsFusionRed3,train,test
644,rsGreen1,val,train
645,rsKame,train,test
646,rsTagRFP,train,val
647,Rtms5,train,val
648,SAASoti,train,train
649,Sapphire,train,train
650,sarcGFP,train,test
651,SBFP1,val,train
652,SBFP2,train,val
653,SCFP1,train,train
654,SCFP2,train,test
655,SCFP3A,train,val
656,SCFP3B,val,train
657,scubRFP,train,val
658,secBFP2,train,train
659,SEYFP,train,val
660,sfOrange,test,train
661,sg11,train,train
662,sg12,train,test
663,sg25,train,val
664,sg42,test,train
665,sg50,train,test
666,SGFP1,train,train
667,SGFP2,train,train
668,SGFP2(206A),train,val
669,SGFP2(E222Q),train,train
670,SGFP2(T65G),val,train
671,ShadowG,train,train
672,ShadowY,train,train
673,SHardonnay,train,train
674,shBFP,test,train
675,shBFP-N158K/L173I,train,train
676,shBFP-N158S/L173I,train,train
677,shCP-E63L/Y64H,train,train
678,ShG24,train,train
679,ShyRFP,train,val
680,Sirius,test,train
681,SiriusGFP,val,train
682,Skylan-NS,val,train
683,Skylan-S,train,test
684,SPOON,train,train
685,sREACh1,train,test
686,sREACh2,test,train
687,StayGold,test,train
688,StayGold-E138D,train,train
689,stylGFP,train,train
690,Sumire,train,train
691,superecliptic pHluorin,train,val
692,Superfolder BFP,train,test
693,Superfolder CFP,train,val
694,Superfolder GFP,train,test
695,Superfolder mTurquoise2,train,train
696,Superfolder mTurquoise2 ox,train,train
697,Superfolder YFP,train,train
698,SuperNova2,train,val
699,SuperNova Green,train,train
700,SuperNova Red,train,train
701,super-TagRFP,train,test
702,SYFP2,train,train
703,TagBFP,val,train
704,TagCFP,test,train
705,TagGFP,val,train
706,TagGFP2,test,train
707,TagRFP,val,train
708,TagRFP657,train,test
709,TagRFP658,train,val
710,TagRFP675,train,train
711,TagRFP-T,train,train
712,TagYFP,train,test
713,td5oxStayGold,val,train
714,td5StayGold,val,train
715,td8oxStayGold,train,test
716,tdimer2(12),test,train
717,tdKatushka2,train,test
718,tdLanYFP,train,train
719,tdoxStayGold,test,train
720,td-RFP611,test,train
721,td-RFP639,test,train
722,tdStayGold,train,val
723,tdTomato,train,train
724,Thermostable Green Protein,test,train
725,tKeima,test,train
726,Topaz,train,train
727,TripartiteGFP,train,train
728,T-Sapphire,train,train
729,TurboFP602,val,train
730,TurboGFP,test,train
731,TurboGFP-V197L,train,train
732,TurboRFP,train,train
733,TurboYFP,test,train
734,Turquoise-GL,train,test
735,Ultramarine,train,train
736,usGFP,test,train
737,V127T SAASoti,val,train
738,Var1,train,train
739,Venus,train,train
740,VFP,train,test
741,vsfGFP-0,test,train
742,vsfGFP-9,test,train
743,W1C,test,train
744,W2,train,train
745,W7,train,train
746,WasCFP,train,train
747,YFP3,train,train
748,YGFPdp,test,train
749,YGFPuv,val,train
750,YPet,train,test
751,YuzuFP,train,train
752,zFP538,train,train
753,zoan2RFP,train,train
754,ZsGreen,test,train
755,ZsGreen1,train,test
756,ZsYellow1,train,train
757,αGFP,train,train
