index,name,cluster_id,cluster_size
163,eCGP123,1,113
164,eechGFP1,1,113
165,eechGFP2,1,113
166,eechGFP3,1,113
167,eechRFP,1,113
168,efasCFP,46,1
169,efasGFP,47,1
170,eforCP,48,1
171,EGFP,0,273
172,eGFP203C,0,273
173,eGFP205C,0,273
174,Electra1,3,83
175,Electra2,3,83
176,Emerald,0,273
177,Enhanced Cyan-Emitting GFP,0,273
178,EosFP,1,113
179,eqFP578,3,83
180,eqFP611,3,83
181,eqFP611 V124T,3,83
182,eqFP650,3,83
183,eqFP670,3,83
184,EYFP,0,273
185,EYFP-Q69K,0,273
186,eYGFP,14,6
187,eYGFPuv,14,6
188,eYGPdp,14,6
189,fabdGFP,1,113
190,ffDronpa,1,113
191,FOLD6,0,273
192,Folding Reporter GFP,0,273
193,FP586,2,100
194,FR-1,3,83
195,Free Use GFP,0,273
196,frSkylan-S,1,113
197,FusionRed,3,83
198,FusionRed-M,3,83
199,FusionRed-MQV,3,83
200,fwYellow,20,4
201,G1,1,113
202,G2,1,113
203,G3,1,113
204,G3GFP,0,273
205,Gamillus,15,6
206,Gamillus0.1,15,6
207,Gamillus0.2,15,6
208,Gamillus0.3,15,6
209,Gamillus0.4,15,6
210,GCaMP2,0,273
211,GdT,2,100
212,gfasGFP,1,113
213,GFP-151pyTyrCu,0,273
214,GFP(E222G),0,273
215,GFPmut2,0,273
216,GFPmut3,0,273
217,GFP (S65T),0,273
218,GFP-Tyr151pyz,0,273
219,GFPxm16,0,273
220,GFPxm161,0,273
221,GFPxm162,0,273
222,GFPxm163,0,273
223,GFPxm18,0,273
224,GFPxm181uv,0,273
225,GFPxm18uv,0,273
226,GFPxm19,0,273
227,GFPxm191uv,0,273
228,GFPxm19uv,0,273
229,GGvT,2,100
230,h2-3,49,1
231,H9,0,273
232,HcRed,7,10
233,HcRed1-Blue,7,10
234,HcRed7,7,10
235,HcRed-Tandem,7,10
236,hcriGFP,30,2
237,hmGFP,30,2
238,hmKeima8.5,9,8
239,HriCFP,31,2
240,HriGFP,31,2
241,htFuncLib_acid.1,0,273
242,htFuncLib_acid.2,0,273
243,htFuncLib_acid.3,0,273
244,htFuncLib_acid.4,0,273
245,htFuncLib_acid.5,0,273
246,htFuncLib_acid.6,0,273
247,htFuncLib_basic.1,0,273
248,htFuncLib_basic.2,0,273
249,htFuncLib_basic.3,0,273
250,htFuncLib_basic.4,0,273
251,htFuncLib_basic.6,0,273
252,htFuncLib_bleach.1,0,273
253,htFuncLib_bleach.2,0,273
254,htFuncLib_bleach.3,0,273
255,htFuncLib_bleach.4,0,273
256,htFuncLib_bleach.5,0,273
257,htFuncLib_bleach.6,0,273
258,htFuncLib_em-blue-shift.1,0,273
259,htFuncLib_em-blue-shift.2,0,273
260,htFuncLib_fast.1,0,273
261,htFuncLib_fast.2,0,273
262,htFuncLib_fast.3,0,273
263,htFuncLib_fast.4,0,273
264,htFuncLib_mid.10,0,273
265,htFuncLib_mid.11,0,273
266,htFuncLib_mid.12,0,273
267,htFuncLib_mid.13,0,273
268,htFuncLib_mid.2,0,273
269,htFuncLib_mid.3,0,273
270,htFuncLib_mid.4,0,273
271,htFuncLib_mid.5,0,273
272,htFuncLib_mid.6,0,273
273,htFuncLib_mid.7,0,273
274,htFuncLib_mid.8,0,273
275,htFuncLib_mid.9,0,273
276,htFuncLib_photostable.1,0,273
277,htFuncLib_photostable.2,0,273
278,htFuncLib_sf:acid.3,0,273
279,htFuncLib_sf:acid.4,0,273
280,htFuncLib_sf:acid.5,0,273
281,htFuncLib_sf:bleach.1,0,273
282,htFuncLib_sf:bleach.2,0,273
283,htFuncLib_sf:bleach.3,0,273
284,htFuncLib_sf:em-blue-shift.1,0,273
285,htFuncLib_sf:em-blue-shift.2,0,273
286,htFuncLib_sf:fast.3,0,273
287,htFuncLib_sf:mid.10,0,273
288,htFuncLib_sf:mid.11,0,273
289,htFuncLib_sf:mid.12,0,273
290,htFuncLib_sf:mid.5,0,273
291,htFuncLib_sf:mid.7,0,273
292,htFuncLib_sf:mid.9,0,273
293,htFuncLib_sf:photostable.1,0,273
294,htFuncLib_sf:photostable.2,0,273
295,htFuncLib_sf:thermo.2,0,273
296,htFuncLib_sf:thermo.9,0,273
297,htFuncLib_slow.1,0,273
298,htFuncLib_slow.2,0,273
299,htFuncLib_slow.3,0,273
300,htFuncLib_slow.4,0,273
301,htFuncLib_thermo.1,0,273
302,htFuncLib_thermo.2,0,273
303,htFuncLib_thermo.3,0,273
304,htFuncLib_thermo.4,0,273
305,htFuncLib_thermo.5,0,273
306,htFuncLib_thermo.6,0,273
307,htFuncLib_thermo.8,0,273
308,htFuncLib_thermo.9,0,273
309,Hyperfolder YFP,0,273
310,iq-mEmerald,0,273
311,IrisFP,1,113
312,IrisFP-M159A,1,113
313,Jred,8,9
314,Kaede,1,113
315,Katushka,3,83
316,Katushka2S,3,83
317,Katushka-9-5,3,83
318,KCY,12,7
319,KCY-G4219,12,7
320,KCY-G4219-38L,12,7
321,KCY-R1,12,7
322,KCY-R1-158A,12,7
323,KCY-R1-38H,12,7
324,KCY-R1-38L,12,7
325,KFP1,17,5
326,KikG,1,113
327,KikGR1,1,113
328,KillerOrange,8,9
329,KillerRed,8,9
330,KO,16,6
331,Kohinoor,1,113
332,Kohinoor2.0,1,113
333,laesGFP,18,5
334,laGFP,10,8
335,LanFP1,27,2
336,LanFP2,50,1
337,lanRFP-ΔS83l,10,8
338,LanYFP,10,8
339,laRFP,10,8
340,Lime,0,273
341,LSSA12,0,273
342,LSSmApple,2,100
343,LSSmCherry1,2,100
344,LSSmGFP,0,273
345,LSS-mKate1,3,83
346,LSS-mKate2,3,83
347,LSSmOrange,2,100
348,LSSmScarlet,2,100
349,LSSmScarlet2,2,100
350,LSSmScarlet3,2,100
351,M355NA,17,5
352,mAmetrine,0,273
353,mApple,2,100
354,Maroon0.1,3,83
355,mARs1,1,113
356,mAvicFP1,0,273
357,mAzamiGreen,1,113
358,mBanana,2,100
359,mBaoJin,5,16
360,mBaoJin-T55S,5,16
361,mBeRFP,3,83
362,mBlueberry1,2,100
363,mBlueberry2,2,100
364,mc1,1,113
365,mc2,1,113
366,mc3,1,113
367,mc4,1,113
368,mc5,1,113
369,mc6,1,113
370,McaG1,1,113
371,McaG1ea,1,113
372,McaG2,1,113
373,mCardinal,3,83
374,mCarmine,3,83
375,mcavFP,1,113
376,mcavGFP,1,113
377,mcavRFP,1,113
378,mcCFP,1,113
379,mCerulean,0,273
380,mCerulean2,0,273
381,mCerulean2.D3,0,273
382,mCerulean2.N,0,273
383,mCerulean2.N(T65S),0,273
384,mCerulean3,0,273
385,mCerulean.B,0,273
386,mCerulean.B2,0,273
387,mCerulean.B24,0,273
388,mChartreuse,0,273
389,mCherry,2,100
390,mCherry2,2,100
391,mCherry_I202T,2,100
392,mCherry_I202Y,2,100
393,mCherry_M10L,2,100
394,mCherry-XL,2,100
395,mCitrine,0,273
396,mClavGR2,1,113
397,mClover3,0,273
398,mCRISPRed,3,83
399,mCyRFP1,3,83
400,mECFP,0,273
401,meffCFP,32,2
402,meffGFP,6,13
403,meffRFP,6,13
404,mEGFP,0,273
405,meleCFP,1,113
406,meleRFP,1,113
407,mEmerald,0,273
408,mEos2,1,113
409,mEos2-A69T,1,113
410,mEos3.1,1,113
411,mEos3.2,1,113
412,mEos4a,1,113
413,mEos4b,1,113
414,mEos4b-L93M,1,113
415,mEos4Fast1,1,113
416,mEos4Fast2,1,113
417,mEosEM,1,113
418,mEosFP,1,113
419,mEosFP-F173S,1,113
420,mEosFP-M159A,1,113
421,mEYFP,0,273
422,MfaG1,1,113
423,mGarnet,3,83
424,mGarnet2,3,83
425,mGeos-C,1,113
426,mGeos-E,1,113
427,mGeos-F,1,113
428,mGeos-L,1,113
429,mGeos-M,1,113
430,mGeos-S,1,113
431,mGFPmut3,0,273
432,mGinger1,7,10
433,mGinger2,7,10
434,mGold,0,273
435,mGold2s,0,273
436,mGold2t,0,273
437,mGrape1,2,100
438,mGrape2,2,100
439,mGrape3,2,100
440,mGreenLantern,0,273
441,mHoneydew,2,100
442,MiCy,4,17
443,mIrisFP,1,113
444,mJuniper,0,273
445,mKalama1,0,273
446,mKate,3,83
447,mKate2,3,83
448,mKate M41G S158C,3,83
449,mKate S158A,3,83
450,mKate S158C,3,83
451,mKelly1,3,83
452,mKelly2,3,83
453,mKG,16,6
454,mK-GO,16,6
455,mKikGR,1,113
456,mKillerOrange,8,9
457,mKO,16,6
458,mKO2,16,6
459,mKOκ,16,6
460,mLemon,0,273
461,mLumin,3,83
462,mLychee,2,100
463,mMaple,1,113
464,mMaple2,1,113
465,mMaple3,1,113
466,mMaroon1,3,83
467,mmGFP,51,1
468,mMiCy,4,17
469,mmilCFP,32,2
470,mNectarine,2,100
471,mNeonGreen,10,8
472,mNeptune,3,83
473,mNeptune2,3,83
474,mNeptune2.5,3,83
475,mNeptune681,3,83
476,mNeptune684,3,83
477,Monomeric hyperfolder YFP,0,273
478,Montipora sp. #20-9115,9,8
479,mOrange,2,100
480,mOrange2,2,100
481,moxBFP,0,273
482,moxCerulean3,0,273
483,moxDendra2,1,113
484,moxGFP,0,273
485,moxMaple3,1,113
486,moxNeonGreen,10,8
487,moxVenus,0,273
488,mPapaya,6,13
489,mPapaya0.7,6,13
490,mPlum,2,100
491,mPlum-E16P,2,100
492,mRaspberry,2,100
493,mRed7,2,100
494,mRed7Q1,2,100
495,mRed7Q1S1,2,100
496,mRed7Q1S1BM,2,100
497,mRFP1,2,100
498,mRFP1.1,2,100
499,mRFP1.2,2,100
500,mRFP1_Magenta,2,100
501,mRFP1_Pink,2,100
502,mRFP1-Q66C,2,100
503,mRFP1-Q66S,2,100
504,mRFP1-Q66T,2,100
505,mRFP1_Violet,2,100
506,mRojoA,2,100
507,mRojoB,2,100
508,mRouge,2,100
509,mRtms5,9,8
510,mRuby,3,83
511,mRuby2,3,83
512,mRuby3,3,83
513,mRubyFT,3,83
514,mSandy2,2,100
515,mScarlet,2,100
516,mScarlet-220A,2,100
517,mScarlet-2A,2,100
518,mScarlet-2A-84W,2,100
519,mScarlet3,2,100
520,mScarlet3-H,2,100
521,mScarlet3-S2,2,100
522,mScarlet-H,2,100
523,mScarlet-I,2,100
524,mScarlet-I-220A,2,100
525,mScarlet-I3,2,100
526,mScarlet-I3-NCwt,2,100
527,msGFP2,0,273
528,mStable,3,83
529,mStayGold,5,16
530,mStayGold2,5,16
531,mStrawberry,2,100
532,mTagBFP2,3,83
533,mTangerine,2,100
534,mTFP*,1,113
535,mTFP0.3,1,113
536,mTFP0.7,1,113
537,mTFP1,1,113
538,mTFP1-Y67W,1,113
539,mT-Sapphire,0,273
540,mTurquoise,0,273
541,mTurquoise2,0,273
542,mTurquoise2-1710,0,273
543,mTurquoise2_T203Y,0,273
544,muGFP,0,273
545,mUkG,1,113
546,mVenus,0,273
547,mVenus-Q69M,0,273
548,mVFP,1,113
549,mVFP1,1,113
550,mWasabi,1,113
551,mWatermelon,2,100
552,(n1)oxStayGold,5,16
553,(n1)StayGold,5,16
554,Neptune,3,83
555,NijiFP,1,113
556,NowGFP,0,273
557,Nữ,0,273
558,obeCFP,22,3
559,obeGFP,22,3
560,obeYFP,22,3
561,OFP,28,2
562,OFPxm,0,273
563,oxBFP,0,273
564,oxGFP,0,273
565,oxStayGold,5,16
566,oxVenus,0,273
567,P11,0,273
568,P4,0,273
569,P4-1,0,273
570,P4-3E,0,273
571,P9,0,273
572,Padron,1,113
573,Padron0.9,1,113
574,Padron2,1,113
575,Padron(star),1,113
576,PA-GFP,0,273
577,PAmCherry1,2,100
578,PAmCherry2,2,100
579,PAmCherry3,2,100
580,PAmKate,3,83
581,PATagRFP,3,83
582,PATagRFP1297,3,83
583,PATagRFP1314,3,83
584,pcDronpa,1,113
585,pcDronpa2,1,113
586,pcStar,1,113
587,PdaC1,11,7
588,pdae1GFP,19,5
589,Phanta,1,113
590,phiYFP,20,4
591,phiYFPv,20,4
592,"pHluorin, ecliptic",0,273
593,pH-tdGFP,0,273
594,pHuji,2,100
595,plamGFP,1,113
596,plobRFP,21,3
597,pmeaGFP1,18,5
598,pmeaGFP2,18,5
599,pmimGFP1,18,5
600,pmimGFP2,18,5
601,ppluGFP1,19,5
602,ppluGFP2,19,5
603,pporGFP,52,1
604,pporRFP,21,3
605,PROSS-eGFP,0,273
606,psamCFP,53,1
607,PS-CFP,0,273
608,PS-CFP2,0,273
609,PSmOrange,2,100
610,PSmOrange2,2,100
611,ptilGFP,54,1
612,QC2-6,5,16
613,RCaMP,55,1
614,RDSmCherry0.1,2,100
615,RDSmCherry0.2,2,100
616,RDSmCherry0.5,2,100
617,RDSmCherry1,2,100
618,REACh1,0,273
619,REACh2,0,273
620,rfloGFP,29,2
621,RFP611,3,83
622,RFP618,3,83
623,RFP630,3,83
624,RFP637,3,83
625,RFP639,3,83
626,roGFP1,0,273
627,roGFP1-R1,0,273
628,roGFP1-R8,0,273
629,roGFP2,0,273
630,Rosmarinus,1,113
631,rrenGFP,56,1
632,RRvT,2,100
633,rsCherry,2,100
634,rsCherryRev,2,100
635,rsCherryRev1.4,2,100
636,rsEGFP,0,273
637,rsEGFP2,0,273
638,rsFastLime,1,113
639,rsFolder,0,273
640,rsFolder2,0,273
641,rsFusionRed1,3,83
642,rsFusionRed2,3,83
643,rsFusionRed3,3,83
644,rsGreen1,0,273
645,rsKame,1,113
646,rsTagRFP,3,83
647,Rtms5,9,8
648,SAASoti,33,2
649,Sapphire,0,273
650,sarcGFP,1,113
651,SBFP1,0,273
652,SBFP2,0,273
653,SCFP1,0,273
654,SCFP2,0,273
655,SCFP3A,0,273
656,SCFP3B,0,273
657,scubRFP,1,113
658,secBFP2,3,83
659,SEYFP,0,273
660,sfOrange,2,100
661,sg11,0,273
662,sg12,0,273
663,sg25,0,273
664,sg42,0,273
665,sg50,0,273
666,SGFP1,0,273
667,SGFP2,0,273
668,SGFP2(206A),0,273
669,SGFP2(E222Q),0,273
670,SGFP2(T65G),0,273
671,ShadowG,0,273
672,ShadowY,0,273
673,SHardonnay,0,273
674,shBFP,7,10
675,shBFP-N158K/L173I,7,10
676,shBFP-N158S/L173I,7,10
677,shCP-E63L/Y64H,7,10
678,ShG24,0,273
679,ShyRFP,2,100
680,Sirius,0,273
681,SiriusGFP,0,273
682,Skylan-NS,1,113
683,Skylan-S,1,113
684,SPOON,0,273
685,sREACh1,0,273
686,sREACh2,0,273
687,StayGold,5,16
688,StayGold-E138D,5,16
689,stylGFP,11,7
690,Sumire,0,273
691,superecliptic pHluorin,0,273
692,Superfolder BFP,0,273
693,Superfolder CFP,0,273
694,Superfolder GFP,0,273
695,Superfolder mTurquoise2,0,273
696,Superfolder mTurquoise2 ox,0,273
697,Superfolder YFP,0,273
698,SuperNova2,8,9
699,SuperNova Green,8,9
700,SuperNova Red,8,9
701,super-TagRFP,3,83
702,SYFP2,0,273
703,TagBFP,3,83
704,TagCFP,0,273
705,TagGFP,0,273
706,TagGFP2,0,273
707,TagRFP,3,83
708,TagRFP657,3,83
709,TagRFP658,3,83
710,TagRFP675,3,83
711,TagRFP-T,3,83
712,TagYFP,0,273
713,td5oxStayGold,5,16
714,td5StayGold,5,16
715,td8oxStayGold,5,16
716,tdimer2(12),2,100
717,tdKatushka2,3,83
718,tdLanYFP,10,8
719,tdoxStayGold,5,16
720,td-RFP611,3,83
721,td-RFP639,3,83
722,tdStayGold,5,16
723,tdTomato,2,100
724,Thermostable Green Protein,1,113
725,tKeima,9,8
726,Topaz,0,273
727,TripartiteGFP,0,273
728,T-Sapphire,0,273
729,TurboFP602,3,83
730,TurboGFP,19,5
731,TurboGFP-V197L,19,5
732,TurboRFP,3,83
733,TurboYFP,20,4
734,Turquoise-GL,0,273
735,Ultramarine,9,8
736,usGFP,0,273
737,V127T SAASoti,33,2
738,Var1,0,273
739,Venus,0,273
740,VFP,1,113
741,vsfGFP-0,0,273
742,vsfGFP-9,0,273
743,W1C,0,273
744,W2,0,273
745,W7,0,273
746,WasCFP,0,273
747,YFP3,0,273
748,YGFPdp,14,6
749,YGFPuv,14,6
750,YPet,0,273
751,YuzuFP,0,273
752,zFP538,6,13
753,zoan2RFP,6,13
754,ZsGreen,6,13
755,ZsGreen1,6,13
756,ZsYellow1,6,13
757,αGFP,0,273
