index,name,cluster_id,cluster_size
271,htFuncLib_mid.5,0,254
272,htFuncLib_mid.6,0,254
273,htFuncLib_mid.7,0,254
274,htFuncLib_mid.8,0,254
275,htFuncLib_mid.9,0,254
276,htFuncLib_photostable.1,0,254
277,htFuncLib_photostable.2,0,254
278,htFuncLib_sf:acid.3,0,254
279,htFuncLib_sf:acid.4,0,254
280,htFuncLib_sf:acid.5,0,254
281,htFuncLib_sf:bleach.1,0,254
282,htFuncLib_sf:bleach.2,0,254
283,htFuncLib_sf:bleach.3,0,254
284,htFuncLib_sf:em-blue-shift.1,0,254
285,htFuncLib_sf:em-blue-shift.2,0,254
286,htFuncLib_sf:fast.3,0,254
287,htFuncLib_sf:mid.10,0,254
288,htFuncLib_sf:mid.11,0,254
289,htFuncLib_sf:mid.12,0,254
290,htFuncLib_sf:mid.5,0,254
291,htFuncLib_sf:mid.7,0,254
292,htFuncLib_sf:mid.9,0,254
293,htFuncLib_sf:photostable.1,0,254
294,htFuncLib_sf:photostable.2,0,254
295,htFuncLib_sf:thermo.2,0,254
296,htFuncLib_sf:thermo.9,0,254
297,htFuncLib_slow.1,0,254
298,htFuncLib_slow.2,0,254
299,htFuncLib_slow.3,0,254
300,htFuncLib_slow.4,0,254
301,htFuncLib_thermo.1,0,254
302,htFuncLib_thermo.2,0,254
303,htFuncLib_thermo.3,0,254
304,htFuncLib_thermo.4,0,254
305,htFuncLib_thermo.5,0,254
306,htFuncLib_thermo.6,0,254
307,htFuncLib_thermo.8,0,254
308,htFuncLib_thermo.9,0,254
309,Hyperfolder YFP,0,254
310,iq-mEmerald,0,254
311,IrisFP,4,30
312,IrisFP-M159A,4,30
313,Jred,11,9
314,Kaede,37,2
315,Katushka,2,62
316,Katushka2S,2,62
317,Katushka-9-5,2,62
318,KCY,14,7
319,KCY-G4219,14,7
320,KCY-G4219-38L,14,7
321,KCY-R1,14,7
322,KCY-R1-158A,14,7
323,KCY-R1-38H,14,7
324,KCY-R1-38L,14,7
325,KFP1,22,5
326,KikG,30,3
327,KikGR1,30,3
328,KillerOrange,11,9
329,KillerRed,11,9
330,KO,19,6
331,Kohinoor,3,37
332,Kohinoor2.0,3,37
333,laesGFP,24,5
334,laGFP,18,6
335,LanFP1,36,2
336,LanFP2,76,1
337,lanRFP-ΔS83l,39,2
338,LanYFP,18,6
339,laRFP,39,2
340,Lime,0,254
341,LSSA12,0,254
342,LSSmApple,1,99
343,LSSmCherry1,1,99
344,LSSmGFP,0,254
345,LSS-mKate1,2,62
346,LSS-mKate2,2,62
347,LSSmOrange,1,99
348,LSSmScarlet,1,99
349,LSSmScarlet2,1,99
350,LSSmScarlet3,1,99
351,M355NA,22,5
352,mAmetrine,0,254
353,mApple,1,99
354,Maroon0.1,2,62
355,mARs1,3,37
356,mAvicFP1,34,2
357,mAzamiGreen,3,37
358,mBanana,1,99
359,mBaoJin,7,16
360,mBaoJin-T55S,7,16
361,mBeRFP,2,62
362,mBlueberry1,1,99
363,mBlueberry2,1,99
364,mc1,40,2
365,mc2,3,37
366,mc3,3,37
367,mc4,3,37
368,mc5,28,4
369,mc6,3,37
370,McaG1,3,37
371,McaG1ea,3,37
372,McaG2,3,37
373,mCardinal,2,62
374,mCarmine,2,62
375,mcavFP,3,37
376,mcavGFP,3,37
377,mcavRFP,40,2
378,mcCFP,28,4
379,mCerulean,0,254
380,mCerulean2,0,254
381,mCerulean2.D3,0,254
382,mCerulean2.N,0,254
383,mCerulean2.N(T65S),0,254
384,mCerulean3,0,254
385,mCerulean.B,0,254
386,mCerulean.B2,0,254
387,mCerulean.B24,0,254
388,mChartreuse,0,254
389,mCherry,1,99
390,mCherry2,1,99
391,mCherry_I202T,1,99
392,mCherry_I202Y,1,99
393,mCherry_M10L,1,99
394,mCherry-XL,1,99
395,mCitrine,0,254
396,mClavGR2,25,5
397,mClover3,0,254
398,mCRISPRed,5,20
399,mCyRFP1,2,62
400,mECFP,0,254
401,meffCFP,41,2
402,meffGFP,15,6
403,meffRFP,15,6
404,mEGFP,0,254
405,meleCFP,28,4
406,meleRFP,4,30
407,mEmerald,0,254
408,mEos2,4,30
409,mEos2-A69T,4,30
410,mEos3.1,4,30
411,mEos3.2,4,30
412,mEos4a,4,30
413,mEos4b,4,30
414,mEos4b-L93M,4,30
415,mEos4Fast1,4,30
416,mEos4Fast2,4,30
417,mEosEM,4,30
418,mEosFP,4,30
419,mEosFP-F173S,4,30
420,mEosFP-M159A,4,30
421,mEYFP,0,254
422,MfaG1,3,37
423,mGarnet,5,20
424,mGarnet2,5,20
425,mGeos-C,4,30
426,mGeos-E,4,30
427,mGeos-F,4,30
428,mGeos-L,4,30
429,mGeos-M,4,30
430,mGeos-S,4,30
431,mGFPmut3,0,254
432,mGinger1,10,10
433,mGinger2,10,10
434,mGold,0,254
435,mGold2s,0,254
436,mGold2t,0,254
437,mGrape1,1,99
438,mGrape2,1,99
439,mGrape3,1,99
440,mGreenLantern,0,254
441,mHoneydew,1,99
442,MiCy,6,16
443,mIrisFP,4,30
444,mJuniper,0,254
445,mKalama1,0,254
446,mKate,2,62
447,mKate2,2,62
448,mKate M41G S158C,2,62
449,mKate S158A,2,62
450,mKate S158C,2,62
451,mKelly1,2,62
452,mKelly2,2,62
453,mKG,19,6
454,mK-GO,19,6
455,mKikGR,30,3
456,mKillerOrange,11,9
457,mKO,19,6
458,mKO2,19,6
459,mKOκ,19,6
460,mLemon,0,254
461,mLumin,2,62
462,mLychee,1,99
463,mMaple,25,5
464,mMaple2,25,5
465,mMaple3,25,5
466,mMaroon1,2,62
467,mmGFP,77,1
468,mMiCy,6,16
469,mmilCFP,41,2
470,mNectarine,1,99
471,mNeonGreen,18,6
472,mNeptune,2,62
473,mNeptune2,2,62
474,mNeptune2.5,2,62
475,mNeptune681,2,62
476,mNeptune684,2,62
477,Monomeric hyperfolder YFP,0,254
478,Montipora sp. #20-9115,12,8
479,mOrange,1,99
480,mOrange2,1,99
481,moxBFP,0,254
482,moxCerulean3,0,254
483,moxDendra2,13,7
484,moxGFP,0,254
485,moxMaple3,25,5
486,moxNeonGreen,18,6
487,moxVenus,0,254
488,mPapaya,20,6
489,mPapaya0.7,20,6
490,mPlum,1,99
491,mPlum-E16P,1,99
492,mRaspberry,1,99
493,mRed7,1,99
494,mRed7Q1,1,99
495,mRed7Q1S1,1,99
496,mRed7Q1S1BM,1,99
497,mRFP1,1,99
498,mRFP1.1,1,99
499,mRFP1.2,1,99
500,mRFP1_Magenta,1,99
501,mRFP1_Pink,1,99
502,mRFP1-Q66C,1,99
503,mRFP1-Q66S,1,99
504,mRFP1-Q66T,1,99
505,mRFP1_Violet,1,99
506,mRojoA,1,99
507,mRojoB,1,99
508,mRouge,1,99
509,mRtms5,12,8
510,mRuby,5,20
511,mRuby2,5,20
512,mRuby3,5,20
513,mRubyFT,5,20
514,mSandy2,1,99
515,mScarlet,1,99
516,mScarlet-220A,1,99
517,mScarlet-2A,1,99
518,mScarlet-2A-84W,1,99
519,mScarlet3,1,99
520,mScarlet3-H,1,99
521,mScarlet3-S2,1,99
522,mScarlet-H,1,99
523,mScarlet-I,1,99
524,mScarlet-I-220A,1,99
525,mScarlet-I3,1,99
526,mScarlet-I3-NCwt,1,99
527,msGFP2,0,254
528,mStable,2,62
529,mStayGold,7,16
530,mStayGold2,7,16
531,mStrawberry,1,99
532,mTagBFP2,2,62
533,mTangerine,1,99
534,mTFP*,9,12
535,mTFP0.3,9,12
536,mTFP0.7,9,12
537,mTFP1,9,12
538,mTFP1-Y67W,9,12
539,mT-Sapphire,0,254
540,mTurquoise,0,254
541,mTurquoise2,0,254
542,mTurquoise2-1710,0,254
543,mTurquoise2_T203Y,0,254
544,muGFP,0,254
545,mUkG,42,2
546,mVenus,0,254
547,mVenus-Q69M,0,254
548,mVFP,26,4
549,mVFP1,26,4
550,mWasabi,9,12
551,mWatermelon,1,99
552,(n1)oxStayGold,7,16
553,(n1)StayGold,7,16
554,Neptune,2,62
555,NijiFP,13,7
556,NowGFP,0,254
557,Nữ,0,254
558,obeCFP,31,3
559,obeGFP,31,3
560,obeYFP,31,3
561,OFP,78,1
562,OFPxm,8,15
563,oxBFP,0,254
564,oxGFP,0,254
565,oxStayGold,7,16
566,oxVenus,0,254
567,P11,0,254
568,P4,0,254
569,P4-1,0,254
570,P4-3E,0,254
571,P9,0,254
572,Padron,3,37
573,Padron0.9,3,37
574,Padron2,3,37
575,Padron(star),3,37
576,PA-GFP,0,254
577,PAmCherry1,1,99
578,PAmCherry2,1,99
579,PAmCherry3,1,99
580,PAmKate,2,62
581,PATagRFP,2,62
582,PATagRFP1297,2,62
583,PATagRFP1314,2,62
584,pcDronpa,3,37
585,pcDronpa2,3,37
586,pcStar,4,30
587,PdaC1,79,1
588,pdae1GFP,80,1
589,Phanta,3,37
590,phiYFP,27,4
591,phiYFPv,27,4
592,"pHluorin, ecliptic",0,254
593,pH-tdGFP,0,254
594,pHuji,1,99
595,plamGFP,81,1
596,plobRFP,82,1
597,pmeaGFP1,24,5
598,pmeaGFP2,24,5
599,pmimGFP1,24,5
600,pmimGFP2,24,5
601,ppluGFP1,29,4
602,ppluGFP2,29,4
603,pporGFP,83,1
604,pporRFP,84,1
605,PROSS-eGFP,0,254
606,psamCFP,85,1
607,PS-CFP,0,254
608,PS-CFP2,0,254
609,PSmOrange,1,99
610,PSmOrange2,1,99
611,ptilGFP,86,1
612,QC2-6,7,16
613,RCaMP,87,1
614,RDSmCherry0.1,1,99
615,RDSmCherry0.2,1,99
616,RDSmCherry0.5,1,99
617,RDSmCherry1,1,99
618,REACh1,0,254
619,REACh2,0,254
620,rfloGFP,88,1
621,RFP611,5,20
622,RFP618,5,20
623,RFP630,5,20
624,RFP637,5,20
625,RFP639,5,20
626,roGFP1,0,254
627,roGFP1-R1,0,254
628,roGFP1-R8,0,254
629,roGFP2,0,254
630,Rosmarinus,28,4
631,rrenGFP,89,1
632,RRvT,1,99
633,rsCherry,1,99
634,rsCherryRev,1,99
635,rsCherryRev1.4,1,99
636,rsEGFP,0,254
637,rsEGFP2,0,254
638,rsFastLime,3,37
639,rsFolder,0,254
640,rsFolder2,0,254
641,rsFusionRed1,2,62
642,rsFusionRed2,2,62
643,rsFusionRed3,2,62
644,rsGreen1,0,254
645,rsKame,3,37
646,rsTagRFP,2,62
647,Rtms5,12,8
648,SAASoti,43,2
649,Sapphire,0,254
650,sarcGFP,42,2
651,SBFP1,0,254
652,SBFP2,0,254
653,SCFP1,0,254
654,SCFP2,0,254
655,SCFP3A,0,254
656,SCFP3B,0,254
657,scubRFP,90,1
658,secBFP2,2,62
659,SEYFP,0,254
660,sfOrange,1,99
661,sg11,0,254
662,sg12,0,254
663,sg25,0,254
664,sg42,0,254
665,sg50,0,254
666,SGFP1,0,254
667,SGFP2,0,254
668,SGFP2(206A),0,254
669,SGFP2(E222Q),0,254
670,SGFP2(T65G),0,254
671,ShadowG,0,254
672,ShadowY,0,254
673,SHardonnay,0,254
674,shBFP,10,10
675,shBFP-N158K/L173I,10,10
676,shBFP-N158S/L173I,10,10
677,shCP-E63L/Y64H,10,10
678,ShG24,8,15
679,ShyRFP,1,99
680,Sirius,0,254
681,SiriusGFP,0,254
682,Skylan-NS,4,30
683,Skylan-S,4,30
684,SPOON,0,254
685,sREACh1,0,254
686,sREACh2,0,254
687,StayGold,7,16
688,StayGold-E138D,7,16
689,stylGFP,91,1
690,Sumire,0,254
691,superecliptic pHluorin,0,254
692,Superfolder BFP,0,254
693,Superfolder CFP,0,254
694,Superfolder GFP,0,254
695,Superfolder mTurquoise2,0,254
696,Superfolder mTurquoise2 ox,0,254
697,Superfolder YFP,0,254
698,SuperNova2,11,9
699,SuperNova Green,11,9
700,SuperNova Red,11,9
701,super-TagRFP,2,62
702,SYFP2,0,254
703,TagBFP,2,62
704,TagCFP,8,15
705,TagGFP,0,254
706,TagGFP2,8,15
707,TagRFP,2,62
708,TagRFP657,2,62
709,TagRFP658,2,62
710,TagRFP675,2,62
711,TagRFP-T,2,62
712,TagYFP,8,15
713,td5oxStayGold,7,16
714,td5StayGold,7,16
715,td8oxStayGold,7,16
716,tdimer2(12),1,99
717,tdKatushka2,2,62
718,tdLanYFP,18,6
719,tdoxStayGold,7,16
720,td-RFP611,5,20
721,td-RFP639,5,20
722,tdStayGold,7,16
723,tdTomato,1,99
724,Thermostable Green Protein,3,37
725,tKeima,12,8
726,Topaz,0,254
727,TripartiteGFP,0,254
728,T-Sapphire,0,254
729,TurboFP602,2,62
730,TurboGFP,29,4
731,TurboGFP-V197L,29,4
732,TurboRFP,2,62
733,TurboYFP,27,4
734,Turquoise-GL,0,254
735,Ultramarine,12,8
736,usGFP,0,254
737,V127T SAASoti,43,2
738,Var1,0,254
739,Venus,0,254
740,VFP,26,4
741,vsfGFP-0,0,254
742,vsfGFP-9,0,254
743,W1C,0,254
744,W2,0,254
745,W7,0,254
746,WasCFP,0,254
747,YFP3,0,254
748,YGFPdp,16,6
749,YGFPuv,16,6
750,YPet,0,254
751,YuzuFP,0,254
752,zFP538,20,6
753,zoan2RFP,92,1
754,ZsGreen,20,6
755,ZsGreen1,20,6
756,ZsYellow1,20,6
757,αGFP,0,254
