index,name,surrogate_role,oracle_role
225,GFPxm18uv,train,test
226,GFPxm19,train,test
227,GFPxm191uv,train,test
228,GFPxm19uv,train,test
229,GGvT,test,train
230,h2-3,train,train
231,H9,train,train
232,HcRed,train,val
233,HcRed1-Blue,train,val
234,HcRed7,train,val
235,HcRed-Tandem,train,val
236,hcriGFP,train,train
237,hmGFP,train,train
238,hmKeima8.5,train,val
239,HriCFP,train,val
240,HriGFP,train,val
241,htFuncLib_acid.1,train,train
242,htFuncLib_acid.2,train,train
243,htFuncLib_acid.3,train,train
244,htFuncLib_acid.4,train,train
245,htFuncLib_acid.5,train,train
246,htFuncLib_acid.6,train,train
247,htFuncLib_basic.1,train,train
248,htFuncLib_basic.2,train,train
249,htFuncLib_basic.3,train,train
250,htFuncLib_basic.4,train,train
251,htFuncLib_basic.6,train,train
252,htFuncLib_bleach.1,train,train
253,htFuncLib_bleach.2,train,train
254,htFuncLib_bleach.3,train,train
255,htFuncLib_bleach.4,train,train
256,htFuncLib_bleach.5,train,train
257,htFuncLib_bleach.6,train,train
258,htFuncLib_em-blue-shift.1,train,train
259,htFuncLib_em-blue-shift.2,train,train
260,htFuncLib_fast.1,train,train
261,htFuncLib_fast.2,train,train
262,htFuncLib_fast.3,train,train
263,htFuncLib_fast.4,train,train
264,htFuncLib_mid.10,train,train
265,htFuncLib_mid.11,train,train
266,htFuncLib_mid.12,train,train
267,htFuncLib_mid.13,train,train
268,htFuncLib_mid.2,train,train
269,htFuncLib_mid.3,train,train
270,htFuncLib_mid.4,train,train
271,htFuncLib_mid.5,train,train
272,htFuncLib_mid.6,train,train
273,htFuncLib_mid.7,train,train
274,htFuncLib_mid.8,train,train
275,htFuncLib_mid.9,train,train
276,htFuncLib_photostable.1,train,train
277,htFuncLib_photostable.2,train,train
278,htFuncLib_sf:acid.3,train,train
279,htFuncLib_sf:acid.4,train,train
280,htFuncLib_sf:acid.5,train,train
281,htFuncLib_sf:bleach.1,train,train
282,htFuncLib_sf:bleach.2,train,train
283,htFuncLib_sf:bleach.3,train,train
284,htFuncLib_sf:em-blue-shift.1,train,train
285,htFuncLib_sf:em-blue-shift.2,train,train
286,htFuncLib_sf:fast.3,train,train
287,htFuncLib_sf:mid.10,train,train
288,htFuncLib_sf:mid.11,train,train
289,htFuncLib_sf:mid.12,train,train
290,htFuncLib_sf:mid.5,train,train
291,htFuncLib_sf:mid.7,train,train
292,htFuncLib_sf:mid.9,train,train
293,htFuncLib_sf:photostable.1,train,train
294,htFuncLib_sf:photostable.2,train,train
295,htFuncLib_sf:thermo.2,train,train
296,htFuncLib_sf:thermo.9,train,train
297,htFuncLib_slow.1,train,train
298,htFuncLib_slow.2,train,train
299,htFuncLib_slow.3,train,train
300,htFuncLib_slow.4,train,train
301,htFuncLib_thermo.1,train,train
302,htFuncLib_thermo.2,train,train
303,htFuncLib_thermo.3,train,train
304,htFuncLib_thermo.4,train,train
305,htFuncLib_thermo.5,train,train
306,htFuncLib_thermo.6,train,train
307,htFuncLib_thermo.8,train,train
308,htFuncLib_thermo.9,train,train
309,Hyperfolder YFP,train,train
310,iq-mEmerald,train,train
311,IrisFP,test,train
312,IrisFP-M159A,test,train
313,Jred,train,test
314,Kaede,train,test
315,Katushka,val,train
316,Katushka2S,val,train
317,Katushka-9-5,val,train
318,KCY,train,val
319,KCY-G4219,train,val
320,KCY-G4219-38L,train,val
321,KCY-R1,train,val
322,KCY-R1-158A,train,val
323,KCY-R1-38H,train,val
324,KCY-R1-38L,train,val
325,KFP1,train,val
326,KikG,train,val
327,KikGR1,train,val
328,KillerOrange,train,test
329,KillerRed,train,test
330,KO,train,val
331,Kohinoor,val,train
332,Kohinoor2.0,val,train
333,laesGFP,train,val
334,laGFP,train,test
335,LanFP1,train,val
336,LanFP2,train,train
337,lanRFP-ΔS83l,train,test
338,LanYFP,train,test
339,laRFP,train,test
340,Lime,train,train
341,LSSA12,train,train
342,LSSmApple,test,train
343,LSSmCherry1,test,train
344,LSSmGFP,train,train
345,LSS-mKate1,val,train
346,LSS-mKate2,val,train
347,LSSmOrange,test,train
348,LSSmScarlet,test,train
349,LSSmScarlet2,test,train
350,LSSmScarlet3,test,train
351,M355NA,train,val
352,mAmetrine,train,train
353,mApple,test,train
354,Maroon0.1,val,train
355,mARs1,val,train
356,mAvicFP1,train,val
357,mAzamiGreen,val,train
358,mBanana,test,train
359,mBaoJin,train,val
360,mBaoJin-T55S,train,val
361,mBeRFP,val,train
362,mBlueberry1,test,train
363,mBlueberry2,test,train
364,mc1,train,val
365,mc2,val,train
366,mc3,val,train
367,mc4,val,train
368,mc5,train,val
369,mc6,val,train
370,McaG1,val,train
371,McaG1ea,val,train
372,McaG2,val,train
373,mCardinal,val,train
374,mCarmine,val,train
375,mcavFP,val,train
376,mcavGFP,val,train
377,mcavRFP,train,val
378,mcCFP,train,val
379,mCerulean,train,train
380,mCerulean2,train,train
381,mCerulean2.D3,train,train
382,mCerulean2.N,train,train
383,mCerulean2.N(T65S),train,train
384,mCerulean3,train,train
385,mCerulean.B,train,train
386,mCerulean.B2,train,train
387,mCerulean.B24,train,train
388,mChartreuse,train,train
389,mCherry,test,train
390,mCherry2,test,train
391,mCherry_I202T,test,train
392,mCherry_I202Y,test,train
393,mCherry_M10L,test,train
394,mCherry-XL,test,train
395,mCitrine,train,train
396,mClavGR2,train,test
397,mClover3,train,train
398,mCRISPRed,val,train
399,mCyRFP1,val,train
400,mECFP,train,train
401,meffCFP,train,test
402,meffGFP,train,test
403,meffRFP,train,test
404,mEGFP,train,train
405,meleCFP,train,val
406,meleRFP,test,train
407,mEmerald,train,train
408,mEos2,test,train
409,mEos2-A69T,test,train
410,mEos3.1,test,train
411,mEos3.2,test,train
412,mEos4a,test,train
413,mEos4b,test,train
414,mEos4b-L93M,test,train
415,mEos4Fast1,test,train
416,mEos4Fast2,test,train
417,mEosEM,test,train
418,mEosFP,test,train
419,mEosFP-F173S,test,train
420,mEosFP-M159A,test,train
421,mEYFP,train,train
422,MfaG1,val,train
423,mGarnet,val,train
424,mGarnet2,val,train
425,mGeos-C,test,train
426,mGeos-E,test,train
427,mGeos-F,test,train
428,mGeos-L,test,train
429,mGeos-M,test,train
430,mGeos-S,test,train
431,mGFPmut3,train,train
432,mGinger1,train,val
433,mGinger2,train,val
434,mGold,train,train
435,mGold2s,train,train
436,mGold2t,train,train
437,mGrape1,test,train
438,mGrape2,test,train
439,mGrape3,test,train
440,mGreenLantern,train,train
441,mHoneydew,test,train
442,MiCy,train,test
443,mIrisFP,test,train
444,mJuniper,train,train
445,mKalama1,train,train
446,mKate,val,train
447,mKate2,val,train
448,mKate M41G S158C,val,train
449,mKate S158A,val,train
450,mKate S158C,val,train
451,mKelly1,val,train
452,mKelly2,val,train
453,mKG,train,val
454,mK-GO,train,val
455,mKikGR,train,val
456,mKillerOrange,train,test
457,mKO,train,val
458,mKO2,train,val
459,mKOκ,train,val
460,mLemon,train,train
461,mLumin,val,train
462,mLychee,test,train
463,mMaple,train,test
464,mMaple2,train,test
465,mMaple3,train,test
466,mMaroon1,val,train
467,mmGFP,train,train
468,mMiCy,train,test
469,mmilCFP,train,test
470,mNectarine,test,train
471,mNeonGreen,train,test
472,mNeptune,val,train
473,mNeptune2,val,train
474,mNeptune2.5,val,train
475,mNeptune681,val,train
476,mNeptune684,val,train
477,Monomeric hyperfolder YFP,train,train
478,Montipora sp. #20-9115,train,val
479,mOrange,test,train
480,mOrange2,test,train
481,moxBFP,train,train
482,moxCerulean3,train,train
483,moxDendra2,train,test
484,moxGFP,train,train
485,moxMaple3,train,test
486,moxNeonGreen,train,test
487,moxVenus,train,train
488,mPapaya,train,test
489,mPapaya0.7,train,test
490,mPlum,test,train
491,mPlum-E16P,test,train
492,mRaspberry,test,train
493,mRed7,test,train
494,mRed7Q1,test,train
495,mRed7Q1S1,test,train
496,mRed7Q1S1BM,test,train
497,mRFP1,test,train
498,mRFP1.1,test,train
499,mRFP1.2,test,train
500,mRFP1_Magenta,test,train
501,mRFP1_Pink,test,train
502,mRFP1-Q66C,test,train
503,mRFP1-Q66S,test,train
504,mRFP1-Q66T,test,train
505,mRFP1_Violet,test,train
506,mRojoA,test,train
507,mRojoB,test,train
508,mRouge,test,train
509,mRtms5,train,val
510,mRuby,val,train
511,mRuby2,val,train
512,mRuby3,val,train
513,mRubyFT,val,train
514,mSandy2,test,train
515,mScarlet,test,train
516,mScarlet-220A,test,train
517,mScarlet-2A,test,train
518,mScarlet-2A-84W,test,train
519,mScarlet3,test,train
520,mScarlet3-H,test,train
521,mScarlet3-S2,test,train
522,mScarlet-H,test,train
523,mScarlet-I,test,train
524,mScarlet-I-220A,test,train
525,mScarlet-I3,test,train
526,mScarlet-I3-NCwt,test,train
527,msGFP2,train,train
528,mStable,val,train
529,mStayGold,train,val
530,mStayGold2,train,val
531,mStrawberry,test,train
532,mTagBFP2,val,train
533,mTangerine,test,train
534,mTFP*,train,val
535,mTFP0.3,train,val
536,mTFP0.7,train,val
537,mTFP1,train,val
538,mTFP1-Y67W,train,val
539,mT-Sapphire,train,train
540,mTurquoise,train,train
541,mTurquoise2,train,train
542,mTurquoise2-1710,train,train
543,mTurquoise2_T203Y,train,train
544,muGFP,train,train
545,mUkG,train,val
546,mVenus,train,train
547,mVenus-Q69M,train,train
548,mVFP,train,val
549,mVFP1,train,val
550,mWasabi,train,val
551,mWatermelon,test,train
552,(n1)oxStayGold,train,val
553,(n1)StayGold,train,val
554,Neptune,val,train
555,NijiFP,train,test
556,NowGFP,train,train
557,Nữ,train,train
558,obeCFP,train,test
559,obeGFP,train,test
560,obeYFP,train,test
561,OFP,train,train
562,OFPxm,train,test
563,oxBFP,train,train
564,oxGFP,train,train
565,oxStayGold,train,val
566,oxVenus,train,train
567,P11,train,train
568,P4,train,train
569,P4-1,train,train
570,P4-3E,train,train
571,P9,train,train
572,Padron,val,train
573,Padron0.9,val,train
574,Padron2,val,train
575,Padron(star),val,train
576,PA-GFP,train,train
577,PAmCherry1,test,train
578,PAmCherry2,test,train
579,PAmCherry3,test,train
580,PAmKate,val,train
581,PATagRFP,val,train
582,PATagRFP1297,val,train
583,PATagRFP1314,val,train
584,pcDronpa,val,train
585,pcDronpa2,val,train
586,pcStar,test,train
587,PdaC1,train,train
588,pdae1GFP,train,train
589,Phanta,val,train
590,phiYFP,train,test
591,phiYFPv,train,test
592,"pHluorin, ecliptic",train,train
593,pH-tdGFP,train,train
594,pHuji,test,train
595,plamGFP,train,train
596,plobRFP,train,train
597,pmeaGFP1,train,val
598,pmeaGFP2,train,val
599,pmimGFP1,train,val
600,pmimGFP2,train,val
601,ppluGFP1,train,test
602,ppluGFP2,train,test
603,pporGFP,train,train
604,pporRFP,train,train
605,PROSS-eGFP,train,train
606,psamCFP,train,train
607,PS-CFP,train,train
608,PS-CFP2,train,train
609,PSmOrange,test,train
610,PSmOrange2,test,train
611,ptilGFP,train,train
612,QC2-6,train,val
613,RCaMP,train,train
614,RDSmCherry0.1,test,train
615,RDSmCherry0.2,test,train
616,RDSmCherry0.5,test,train
617,RDSmCherry1,test,train
618,REACh1,train,train
619,REACh2,train,train
620,rfloGFP,train,train
621,RFP611,val,train
622,RFP618,val,train
623,RFP630,val,train
624,RFP637,val,train
625,RFP639,val,train
626,roGFP1,train,train
627,roGFP1-R1,train,train
628,roGFP1-R8,train,train
629,roGFP2,train,train
630,Rosmarinus,train,val
631,rrenGFP,train,train
632,RRvT,test,train
633,rsCherry,test,train
634,rsCherryRev,test,train
635,rsCherryRev1.4,test,train
636,rsEGFP,train,train
637,rsEGFP2,train,train
638,rsFastLime,val,train
639,rsFolder,train,train
640,rsFolder2,train,train
641,rsFusionRed1,val,train
642,rsFusionRed2,val,train
643,rsFusionRed3,val,train
644,rsGreen1,train,train
645,rsKame,val,train
646,rsTagRFP,val,train
647,Rtms5,train,val
648,SAASoti,train,test
649,Sapphire,train,train
650,sarcGFP,train,val
651,SBFP1,train,train
652,SBFP2,train,train
653,SCFP1,train,train
654,SCFP2,train,train
655,SCFP3A,train,train
656,SCFP3B,train,train
657,scubRFP,train,train
658,secBFP2,val,train
659,SEYFP,train,train
660,sfOrange,test,train
661,sg11,train,train
662,sg12,train,train
663,sg25,train,train
664,sg42,train,train
665,sg50,train,train
666,SGFP1,train,train
667,SGFP2,train,train
668,SGFP2(206A),train,train
669,SGFP2(E222Q),train,train
670,SGFP2(T65G),train,train
671,ShadowG,train,train
672,ShadowY,train,train
673,SHardonnay,train,train
674,shBFP,train,val
675,shBFP-N158K/L173I,train,val
676,shBFP-N158S/L173I,train,val
677,shCP-E63L/Y64H,train,val
678,ShG24,train,test
679,ShyRFP,test,train
680,Sirius,train,train
681,SiriusGFP,train,train
682,Skylan-NS,test,train
683,Skylan-S,test,train
684,SPOON,train,train
685,sREACh1,train,train
686,sREACh2,train,train
687,StayGold,train,val
688,StayGold-E138D,train,val
689,stylGFP,train,train
690,Sumire,train,train
691,superecliptic pHluorin,train,train
692,Superfolder BFP,train,train
693,Superfolder CFP,train,train
694,Superfolder GFP,train,train
695,Superfolder mTurquoise2,train,train
696,Superfolder mTurquoise2 ox,train,train
697,Superfolder YFP,train,train
698,SuperNova2,train,test
699,SuperNova Green,train,test
700,SuperNova Red,train,test
701,super-TagRFP,val,train
702,SYFP2,train,train
703,TagBFP,val,train
704,TagCFP,train,test
705,TagGFP,train,train
706,TagGFP2,train,test
707,TagRFP,val,train
708,TagRFP657,val,train
709,TagRFP658,val,train
710,TagRFP675,val,train
711,TagRFP-T,val,train
712,TagYFP,train,test
713,td5oxStayGold,train,val
714,td5StayGold,train,val
715,td8oxStayGold,train,val
716,tdimer2(12),test,train
717,tdKatushka2,val,train
718,tdLanYFP,train,test
719,tdoxStayGold,train,val
720,td-RFP611,val,train
721,td-RFP639,val,train
722,tdStayGold,train,val
723,tdTomato,test,train
724,Thermostable Green Protein,val,train
725,tKeima,train,val
726,Topaz,train,train
727,TripartiteGFP,train,train
728,T-Sapphire,train,train
729,TurboFP602,val,train
730,TurboGFP,train,test
731,TurboGFP-V197L,train,test
732,TurboRFP,val,train
733,TurboYFP,train,test
734,Turquoise-GL,train,train
735,Ultramarine,train,val
736,usGFP,train,train
737,V127T SAASoti,train,test
738,Var1,train,train
739,Venus,train,train
740,VFP,train,val
741,vsfGFP-0,train,train
742,vsfGFP-9,train,train
743,W1C,train,train
744,W2,train,train
745,W7,train,train
746,WasCFP,train,train
747,YFP3,train,train
748,YGFPdp,train,test
749,YGFPuv,train,test
750,YPet,train,train
751,YuzuFP,train,train
752,zFP538,train,test
753,zoan2RFP,train,train
754,ZsGreen,train,test
755,ZsGreen1,train,test
756,ZsYellow1,train,test
757,αGFP,train,train
