index,name,surrogate_role,oracle_role
100,Crimson,test,train
101,CRISPRed2s,val,train
102,CU17S,train,train
103,CyOFP1,test,train
104,CyPet,train,train
105,CyRFP1,test,train
106,D10,train,val
107,d1EosFP,train,train
108,d2EosFP,train,train
109,DarkVenus,val,train
110,dCyOFP2s,train,train
111,dCyRFP2s,val,train
112,deGFP1,test,train
113,deGFP2,train,train
114,deGFP3,train,train
115,deGFP4,train,val
116,dendFP,train,train
117,Dendra,test,train
118,Dendra2,train,train
119,Dendra2-M159A,val,train
120,Dendra2-T69A,val,train
121,dfGFP,val,train
122,dimer1,train,train
123,dimer2,val,train
124,DimVenus,train,val
125,Diogenes,train,train
126,dis2RFP,test,train
127,dis3GFP,train,test
128,dKeima,train,train
129,dKeima570,train,train
130,dLanYFP,train,train
131,Dreiklang,train,val
132,d-RFP618,train,train
133,Dronpa,train,train
134,Dronpa-2,train,train
135,Dronpa-3,train,train
136,dsFP483,val,train
137,DspR1,train,train
138,DsRed,train,test
139,DsRed2,train,val
140,DsRed-Express,val,train
141,DsRed-Express2,train,test
142,DsRed.M1,test,train
143,DsRed-Max,train,train
144,DsRed-NF,train,train
145,DsRed.T3,val,train
146,DsRed.T4,train,test
147,DstC1,val,train
148,dTFP0.1,train,train
149,dTFP0.2,train,train
150,dTomato,val,train
151,dVFP,train,val
152,E2-Crimson,train,train
153,E2-Orange,test,train
154,E2-Red/Green,train,train
155,EaGFP,train,train
156,EBFP,train,val
157,EBFP1.2,train,test
158,EBFP1.5,train,val
159,EBFP2,train,val
160,ECFP,val,train
161,ECFP H148D,test,train
162,ECGFP,test,train
163,eCGP123,val,train
164,eechGFP1,test,train
165,eechGFP2,val,train
166,eechGFP3,train,train
167,eechRFP,train,train
168,efasCFP,test,train
169,efasGFP,train,test
170,eforCP,train,test
171,EGFP,train,train
172,eGFP203C,train,test
173,eGFP205C,val,train
174,Electra1,train,test
175,Electra2,train,val
176,Emerald,train,train
177,Enhanced Cyan-Emitting GFP,train,val
178,EosFP,train,test
179,eqFP578,train,val
180,eqFP611,train,train
181,eqFP611 V124T,train,test
182,eqFP650,train,train
183,eqFP670,train,train
184,EYFP,train,val
185,EYFP-Q69K,train,train
186,eYGFP,train,test
187,eYGFPuv,train,train
188,eYGPdp,train,train
189,fabdGFP,train,test
190,ffDronpa,train,val
191,FOLD6,train,train
192,Folding Reporter GFP,train,test
193,FP586,train,train
194,FR-1,test,train
195,Free Use GFP,val,train
196,frSkylan-S,train,val
197,FusionRed,train,train
198,FusionRed-M,test,train
199,FusionRed-MQV,val,train
200,fwYellow,train,val
201,G1,test,train
202,G2,train,train
203,G3,train,test
204,G3GFP,train,train
205,Gamillus,test,train
206,Gamillus0.1,train,train
207,Gamillus0.2,train,train
208,Gamillus0.3,val,train
209,Gamillus0.4,val,train
210,GCaMP2,train,val
211,GdT,train,train
212,gfasGFP,test,train
213,GFP-151pyTyrCu,train,train
214,GFP(E222G),train,test
215,GFPmut2,train,train
216,GFPmut3,val,train
217,GFP (S65T),train,val
218,GFP-Tyr151pyz,train,train
219,GFPxm16,train,train
220,GFPxm161,train,train
221,GFPxm162,test,train
222,GFPxm163,val,train
223,GFPxm18,test,train
224,GFPxm181uv,train,train
225,GFPxm18uv,train,train
226,GFPxm19,train,train
227,GFPxm191uv,test,train
228,GFPxm19uv,train,test
229,GGvT,train,train
230,h2-3,train,test
231,H9,train,test
232,HcRed,train,train
233,HcRed1-Blue,train,test
234,HcRed7,train,train
235,HcRed-Tandem,train,test
236,hcriGFP,train,train
237,hmGFP,train,train
238,hmKeima8.5,train,train
239,HriCFP,train,test
240,HriGFP,train,train
241,htFuncLib_acid.1,train,test
242,htFuncLib_acid.2,train,val
243,htFuncLib_acid.3,train,test
244,htFuncLib_acid.4,train,train
245,htFuncLib_acid.5,test,train
246,htFuncLib_acid.6,test,train
247,htFuncLib_basic.1,train,train
248,htFuncLib_basic.2,train,train
249,htFuncLib_basic.3,train,train
250,htFuncLib_basic.4,val,train
251,htFuncLib_basic.6,test,train
252,htFuncLib_bleach.1,train,val
253,htFuncLib_bleach.2,val,train
254,htFuncLib_bleach.3,train,test
255,htFuncLib_bleach.4,train,val
256,htFuncLib_bleach.5,train,val
257,htFuncLib_bleach.6,train,test
258,htFuncLib_em-blue-shift.1,train,train
259,htFuncLib_em-blue-shift.2,train,train
260,htFuncLib_fast.1,train,train
261,htFuncLib_fast.2,val,train
262,htFuncLib_fast.3,train,test
263,htFuncLib_fast.4,train,train
264,htFuncLib_mid.10,val,train
265,htFuncLib_mid.11,train,test
266,htFuncLib_mid.12,train,train
267,htFuncLib_mid.13,train,test
268,htFuncLib_mid.2,train,train
269,htFuncLib_mid.3,train,train
270,htFuncLib_mid.4,test,train
271,htFuncLib_mid.5,train,train
272,htFuncLib_mid.6,train,train
273,htFuncLib_mid.7,test,train
274,htFuncLib_mid.8,test,train
275,htFuncLib_mid.9,train,train
276,htFuncLib_photostable.1,train,train
277,htFuncLib_photostable.2,test,train
278,htFuncLib_sf:acid.3,train,train
279,htFuncLib_sf:acid.4,train,train
280,htFuncLib_sf:acid.5,train,train
281,htFuncLib_sf:bleach.1,train,train
282,htFuncLib_sf:bleach.2,train,test
283,htFuncLib_sf:bleach.3,train,val
284,htFuncLib_sf:em-blue-shift.1,val,train
285,htFuncLib_sf:em-blue-shift.2,train,val
286,htFuncLib_sf:fast.3,train,train
287,htFuncLib_sf:mid.10,train,train
288,htFuncLib_sf:mid.11,train,train
289,htFuncLib_sf:mid.12,train,train
290,htFuncLib_sf:mid.5,val,train
291,htFuncLib_sf:mid.7,val,train
292,htFuncLib_sf:mid.9,val,train
293,htFuncLib_sf:photostable.1,train,val
294,htFuncLib_sf:photostable.2,train,val
295,htFuncLib_sf:thermo.2,train,train
296,htFuncLib_sf:thermo.9,test,train
297,htFuncLib_slow.1,val,train
298,htFuncLib_slow.2,train,test
299,htFuncLib_slow.3,train,val
300,htFuncLib_slow.4,train,test
301,htFuncLib_thermo.1,train,train
302,htFuncLib_thermo.2,train,train
303,htFuncLib_thermo.3,train,test
304,htFuncLib_thermo.4,train,train
305,htFuncLib_thermo.5,test,train
306,htFuncLib_thermo.6,train,train
307,htFuncLib_thermo.8,train,train
308,htFuncLib_thermo.9,train,train
309,Hyperfolder YFP,train,train
310,iFP2.0,val,train
311,iq-mEmerald,train,test
312,IrisFP,train,val
313,IrisFP-M159A,train,test
314,Jred,train,val
315,Kaede,train,val
316,Katushka,train,val
317,Katushka2S,train,val
318,Katushka-9-5,test,train
319,KCY,train,train
320,KCY-G4219,train,train
321,KCY-G4219-38L,train,train
322,KCY-R1,train,val
323,KCY-R1-158A,test,train
324,KCY-R1-38H,train,train
325,KCY-R1-38L,val,train
326,KFP1,train,train
327,KikG,train,test
328,KikGR1,train,train
329,KillerOrange,val,train
330,KillerRed,test,train
331,KO,val,train
332,Kohinoor,train,train
333,Kohinoor2.0,train,train
334,laesGFP,train,test
335,laGFP,train,train
336,LanFP1,train,train
337,LanFP2,test,train
338,lanRFP-ΔS83l,train,train
339,LanYFP,train,val
340,laRFP,train,train
341,Lime,train,test
342,LSSA12,train,train
343,LSSmApple,train,train
344,LSSmCherry1,train,train
345,LSSmGFP,train,train
346,LSS-mKate1,test,train
347,LSS-mKate2,train,train
348,LSSmOrange,train,train
349,LSSmScarlet,train,val
350,LSSmScarlet2,test,train
351,LSSmScarlet3,train,train
352,M355NA,train,train
353,mAmetrine,train,test
354,mApple,test,train
355,Maroon0.1,train,train
356,mARs1,train,train
357,mAvicFP1,train,train
358,mAzamiGreen,train,test
359,mBanana,train,test
360,mBaoJin,test,train
361,mBaoJin-T55S,train,test
362,mBeRFP,train,train
363,mBlueberry1,val,train
364,mBlueberry2,train,train
365,mc1,test,train
366,mc2,train,train
367,mc3,test,train
368,mc4,train,val
369,mc5,train,train
370,mc6,train,train
371,McaG1,test,train
372,McaG1ea,train,val
373,McaG2,train,test
374,mCardinal,train,train
375,mCarmine,test,train
376,mcavFP,val,train
377,mcavGFP,train,train
378,mcavRFP,train,val
379,mcCFP,train,val
380,mCerulean,test,train
381,mCerulean2,train,train
382,mCerulean2.D3,train,train
383,mCerulean2.N,train,val
384,mCerulean2.N(T65S),train,test
385,mCerulean3,train,val
386,mCerulean.B,train,train
387,mCerulean.B2,train,train
388,mCerulean.B24,train,test
389,mChartreuse,train,val
390,mCherry,train,train
391,mCherry2,train,val
392,mCherry_I202T,train,train
393,mCherry_I202Y,train,train
394,mCherry_M10L,val,train
395,mCherry-XL,train,train
396,mCitrine,train,train
397,mClavGR2,test,train
398,mClover3,train,train
399,mCRISPRed,train,train
400,mCyRFP1,test,train
401,mECFP,val,train
402,meffCFP,val,train
403,meffGFP,train,train
404,meffRFP,test,train
405,mEGFP,train,val
406,meleCFP,train,val
407,meleRFP,val,train
408,mEmerald,train,train
409,mEos2,train,val
410,mEos2-A69T,train,test
411,mEos3.1,test,train
412,mEos3.2,test,train
413,mEos4a,train,val
414,mEos4b,train,train
415,mEos4b-L93M,train,test
416,mEos4Fast1,val,train
417,mEos4Fast2,train,test
418,mEosEM,train,test
419,mEosFP,train,val
420,mEosFP-F173S,train,test
421,mEosFP-M159A,val,train
422,mEYFP,val,train
423,MfaG1,train,test
424,mGarnet,train,train
425,mGarnet2,train,test
426,mGeos-C,train,train
427,mGeos-E,train,train
428,mGeos-F,train,val
429,mGeos-L,val,train
430,mGeos-M,train,train
431,mGeos-S,train,test
432,mGFPmut3,test,train
433,mGinger1,val,train
434,mGinger2,train,val
435,mGold,test,train
436,mGold2s,train,val
437,mGold2t,train,val
438,mGrape1,val,train
439,mGrape2,train,train
440,mGrape3,val,train
441,mGreenLantern,train,test
442,mHoneydew,train,train
443,MiCy,train,train
444,mIrisFP,train,train
445,mJuniper,test,train
446,mKalama1,train,train
447,mKate,train,test
448,mKate2,train,train
449,mKate M41G S158C,train,train
450,mKate S158A,train,test
451,mKate S158C,train,test
452,mKelly1,val,train
453,mKelly2,train,train
454,mKG,train,test
455,mK-GO,train,test
456,mKikGR,train,train
457,mKillerOrange,train,test
458,mKO,train,val
459,mKO2,test,train
460,mKOκ,val,train
461,mLemon,train,val
462,mLumin,val,train
463,mLychee,train,train
464,mMaple,train,test
465,mMaple2,train,train
466,mMaple3,train,train
467,mMaroon1,train,train
468,mmGFP,val,train
469,mMiCy,val,train
470,mmilCFP,test,train
471,mNectarine,train,test
472,mNeonGreen,val,train
473,mNeptune,val,train
474,mNeptune2,val,train
475,mNeptune2.5,test,train
476,mNeptune681,train,train
477,mNeptune684,train,train
478,Monomeric hyperfolder YFP,test,train
479,Montipora sp. #20-9115,val,train
480,mOrange,val,train
481,mOrange2,train,val
482,moxBFP,train,train
483,moxCerulean3,train,train
484,moxDendra2,train,train
485,moxGFP,train,train
486,moxMaple3,test,train
487,moxNeonGreen,train,val
488,moxVenus,train,test
489,mPapaya,train,test
490,mPapaya0.7,train,test
491,mPlum,train,val
492,mPlum-E16P,train,val
493,mRaspberry,test,train
494,mRed7,test,train
495,mRed7Q1,train,val
496,mRed7Q1S1,train,train
497,mRed7Q1S1BM,test,train
498,mRFP1,val,train
499,mRFP1.1,train,test
500,mRFP1.2,train,val
501,mRFP1_Magenta,train,train
502,mRFP1_Pink,test,train
503,mRFP1-Q66C,train,val
504,mRFP1-Q66S,train,test
505,mRFP1-Q66T,val,train
506,mRFP1_Violet,val,train
507,mRojoA,train,train
508,mRojoB,train,test
509,mRouge,train,train
510,mRtms5,train,train
511,mRuby,train,train
512,mRuby2,train,val
513,mRuby3,train,test
514,mRubyFT,test,train
515,mSandy2,train,train
516,mScarlet,train,train
517,mScarlet-220A,train,train
518,mScarlet-2A,val,train
519,mScarlet-2A-84W,val,train
520,mScarlet3,train,train
521,mScarlet3-H,train,train
522,mScarlet3-S2,val,train
523,mScarlet-H,train,test
524,mScarlet-I,val,train
525,mScarlet-I-220A,train,train
526,mScarlet-I3,train,train
527,mScarlet-I3-NCwt,val,train
528,msGFP2,train,train
529,mStable,test,train
530,mStayGold,train,test
531,mStayGold2,train,train
532,mStrawberry,train,test
533,mTagBFP2,train,val
534,mTangerine,test,train
535,mTFP*,train,test
536,mTFP0.3,train,train
537,mTFP0.7,train,train
538,mTFP1,val,train
539,mTFP1-Y67W,test,train
540,mT-Sapphire,train,train
541,mTurquoise,train,train
542,mTurquoise2,train,train
543,mTurquoise2-1710,train,train
544,mTurquoise2_T203Y,val,train
545,muGFP,val,train
546,mUkG,train,val
547,mVenus,train,test
548,mVenus-Q69M,test,train
549,mVFP,train,train
550,mVFP1,test,train
551,mWasabi,val,train
552,mWatermelon,train,val
553,(n1)oxStayGold,train,train
554,(n1)StayGold,train,train
555,Neptune,train,test
556,NijiFP,train,val
557,NowGFP,val,train
558,Nữ,train,val
559,obeCFP,val,train
560,obeGFP,train,train
561,obeYFP,train,train
562,OFP,train,val
563,OFPxm,train,train
564,oxBFP,train,val
565,oxGFP,train,train
566,oxStayGold,train,train
567,oxVenus,train,train
568,P11,train,train
569,P4,train,val
570,P4-1,train,val
571,P4-3E,train,test
572,P9,train,train
573,Padron,train,val
574,Padron0.9,train,train
575,Padron2,test,train
576,Padron(star),train,test
577,PA-GFP,val,train
578,PAmCherry1,train,train
579,PAmCherry2,train,test
580,PAmCherry3,train,train
581,PAmKate,train,train
582,PATagRFP,val,train
583,PATagRFP1297,train,train
584,PATagRFP1314,train,train
585,pcDronpa,train,train
586,pcDronpa2,test,train
587,pcStar,test,train
588,PdaC1,train,train
589,pdae1GFP,val,train
590,Phanta,val,train
591,phiYFP,train,val
592,phiYFPv,train,train
593,pH-tdGFP,train,train
594,pHuji,train,test
595,plamGFP,train,train
596,plobRFP,train,train
597,pmeaGFP1,train,val
598,pmeaGFP2,train,test
599,pmimGFP1,val,train
600,pmimGFP2,train,val
601,ppluGFP1,test,train
602,ppluGFP2,train,val
603,pporGFP,test,train
604,pporRFP,train,test
605,PROSS-eGFP,train,train
606,psamCFP,train,train
607,PS-CFP,train,train
608,PS-CFP2,train,train
609,PSmOrange,train,train
610,PSmOrange2,val,train
611,ptilGFP,val,train
612,QC2-6,train,train
613,RCaMP,train,train
614,RDSmCherry0.1,val,train
615,RDSmCherry0.2,train,test
616,RDSmCherry0.5,train,val
617,RDSmCherry1,train,train
618,REACh1,train,train
619,REACh2,train,val
620,rfloGFP,val,train
621,RFP611,test,train
622,RFP618,train,train
623,RFP630,train,test
624,RFP637,train,train
625,RFP639,test,train
626,roGFP1,val,train
627,roGFP1-R1,train,train
628,roGFP1-R8,train,train
629,roGFP2,test,train
630,Rosmarinus,train,train
631,rrenGFP,train,val
632,RRvT,train,train
633,rsCherry,train,test
634,rsCherryRev,val,train
635,rsCherryRev1.4,train,train
636,rsEGFP,train,val
637,rsEGFP2,train,train
638,rsFastLime,train,train
639,rsFolder,train,train
640,rsFolder2,train,test
641,rsFusionRed1,train,train
642,rsFusionRed2,train,train
643,rsFusionRed3,train,train
644,rsGreen1,test,train
645,rsKame,val,train
646,rsTagRFP,val,train
647,Rtms5,train,val
648,SAASoti,val,train
649,Sapphire,train,test
650,sarcGFP,train,test
651,SBFP1,train,test
652,SBFP2,train,train
653,SCFP1,train,train
654,SCFP2,train,train
655,SCFP3A,train,train
656,SCFP3B,train,val
657,scubRFP,train,val
658,secBFP2,train,train
659,SEYFP,train,train
660,sfOrange,test,train
661,sg11,val,train
662,sg12,train,test
663,sg25,test,train
664,sg42,test,train
665,sg50,test,train
666,SGFP1,test,train
667,SGFP2,train,test
668,SGFP2(206A),train,train
669,SGFP2(E222Q),val,train
670,SGFP2(T65G),train,train
671,ShadowG,train,train
672,ShadowY,train,train
673,SHardonnay,train,test
674,shBFP,val,train
675,shBFP-N158K/L173I,train,val
676,shBFP-N158S/L173I,train,val
677,shCP-E63L/Y64H,train,train
678,ShG24,train,val
679,ShyRFP,test,train
680,Sirius,train,train
681,SiriusGFP,train,train
682,Skylan-NS,train,test
683,Skylan-S,train,train
684,SPOON,train,train
685,sREACh1,train,test
686,sREACh2,test,train
687,StayGold,train,test
688,StayGold-E138D,train,train
689,stylGFP,train,train
690,Sumire,train,val
691,superecliptic pHluorin,test,train
692,Superfolder BFP,val,train
693,Superfolder CFP,train,test
694,Superfolder GFP,train,test
695,Superfolder mTurquoise2,val,train
696,Superfolder mTurquoise2 ox,val,train
697,Superfolder YFP,train,train
698,SuperNova2,train,val
699,SuperNova Green,train,train
700,SuperNova Red,train,train
701,super-TagRFP,train,val
702,SYFP2,train,train
703,TagBFP,train,train
704,TagCFP,train,train
705,TagGFP,val,train
706,TagGFP2,train,train
707,TagRFP,train,train
708,TagRFP657,train,test
709,TagRFP658,test,train
710,TagRFP675,train,train
711,TagRFP-T,train,train
712,TagYFP,test,train
713,td5oxStayGold,train,val
714,td5StayGold,val,train
715,td8oxStayGold,val,train
716,tdimer2(12),val,train
717,tdKatushka2,train,test
718,tdLanYFP,train,val
719,tdoxStayGold,train,train
720,td-RFP611,train,train
721,td-RFP639,train,train
722,tdStayGold,test,train
723,tdTomato,train,train
724,Thermostable Green Protein,train,train
725,tKeima,train,val
726,Topaz,test,train
727,TripartiteGFP,val,train
728,T-Sapphire,train,train
729,TurboFP602,val,train
730,TurboGFP,train,train
731,TurboGFP-V197L,train,train
732,TurboRFP,train,train
733,TurboYFP,test,train
734,Turquoise-GL,train,val
735,Ultramarine,train,train
736,usGFP,train,val
737,V127T SAASoti,train,test
738,Var1,test,train
739,Venus,train,train
740,VFP,train,val
741,vsfGFP-0,train,train
742,vsfGFP-9,train,val
743,W1C,test,train
744,W2,test,train
745,W7,val,train
746,WasCFP,train,test
747,YFP3,train,train
748,YGFPdp,train,train
749,YGFPuv,train,val
750,YPet,test,train
751,YuzuFP,train,val
752,zFP538,val,train
753,zoan2RFP,train,val
754,ZsGreen,train,train
755,ZsGreen1,train,train
756,ZsYellow1,train,train
757,αGFP,train,test
