index,name,surrogate_role,oracle_role
358,mTurquoise2_T203Y,train,train
359,muGFP,train,test
360,mUkG,train,train
361,mVenus,val,train
362,mVenus-Q69M,val,train
363,mVFP,train,train
364,mVFP1,train,test
365,mWasabi,test,train
366,mWatermelon,train,train
367,Neptune,val,train
368,NijiFP,train,train
369,NowGFP,train,train
370,Nữ,train,val
371,obeCFP,train,val
372,obeGFP,train,test
373,obeYFP,test,train
374,OFP,test,train
375,oxBFP,val,train
376,oxGFP,train,train
377,oxStayGold,train,test
378,oxVenus,test,train
379,P4,val,train
380,P4-1,val,train
381,P4-3E,train,train
382,Padron,test,train
383,Padron0.9,test,train
384,Padron2,train,train
385,PA-GFP,train,train
386,PAmCherry1,train,train
387,PAmCherry2,val,train
388,PAmCherry3,val,train
389,PAmKate,train,train
390,PATagRFP,train,train
391,PATagRFP1297,train,val
392,PATagRFP1314,train,val
393,pcDronpa,train,train
394,pcDronpa2,test,train
395,pcStar,train,test
396,pdae1GFP,val,train
397,Phanta,train,train
398,phiYFP,val,train
399,phiYFPv,train,test
400,pHmScarlet,train,train
401,pHuji,train,val
402,plamGFP,test,train
403,plobRFP,train,train
404,pmeaGFP1,train,train
405,pmeaGFP2,test,train
406,pmimGFP1,train,val
407,pmimGFP2,train,val
408,ppluGFP1,train,val
409,ppluGFP2,train,train
410,pporGFP,train,train
411,pporRFP,test,train
412,psamCFP,train,test
413,PS-CFP,val,train
414,PS-CFP2,train,train
415,PSmOrange,train,test
416,PSmOrange2,train,train
417,RDSmCherry0.1,train,val
418,RDSmCherry0.2,train,test
419,RDSmCherry0.5,train,test
420,RDSmCherry1,test,train
421,RFP611,train,val
422,RFP630,train,train
423,RFP637,val,train
424,RFP639,val,train
425,Rosmarinus,train,val
426,RRvT,train,train
427,rsCherry,train,val
428,rsCherryRev,test,train
429,rsEGFP,train,val
430,rsEGFP2,train,train
431,rsFastLime,train,train
432,rsFolder,train,train
433,rsFolder2,val,train
434,rsFusionRed1,train,val
435,rsFusionRed2,val,train
436,rsFusionRed3,val,train
437,rsGreen1,train,val
438,rsKame,test,train
439,rsTagRFP,train,train
440,Rtms5,train,val
441,Sapphire,train,train
442,sarcGFP,train,train
443,SBFP1,train,val
444,SBFP2,train,train
445,SCFP1,train,train
446,SCFP2,train,train
447,SCFP3A,train,val
448,SCFP3B,train,train
449,scubRFP,train,val
450,SEYFP,train,test
451,sg11,train,test
452,sg12,train,test
453,sg25,val,train
454,sg42,train,train
455,sg50,train,train
456,SGFP1,test,train
457,SGFP2,train,val
458,SGFP2(206A),val,train
459,SGFP2(E222Q),test,train
460,SGFP2(T65G),train,test
461,ShadowG,train,val
462,ShadowY,train,train
463,SHardonnay,train,train
464,shBFP,test,train
465,shBFP-N158K/L173I,train,train
466,shBFP-N158S/L173I,train,train
467,shCP-E63L/Y64H,train,train
468,Sirius,train,test
469,SiriusGFP,train,train
470,Skylan-NS,test,train
471,Skylan-S,train,val
472,SPOON,train,test
473,sREACh1,test,train
474,sREACh2,train,train
475,StayGold,train,test
476,StayGold-E138D,train,train
477,stylGFP,train,train
478,Sumire,test,train
479,superecliptic pHluorin,train,val
480,Superfolder GFP,train,test
481,SuperNova Green,train,train
482,SuperNova Red,train,val
483,super-TagRFP,test,train
484,SYFP2,test,train
485,TagBFP,val,train
486,TagCFP,train,val
487,TagGFP,train,train
488,TagGFP2,train,test
489,TagRFP,train,val
490,TagRFP657,train,train
491,TagRFP658,val,train
492,TagRFP675,val,train
493,TagRFP-T,val,train
494,TagYFP,val,train
495,td5oxStayGold,train,train
496,td5StayGold,train,test
497,td8oxStayGold,test,train
498,tdimer2(12),test,train
499,tdKatushka2,train,val
500,tdLanYFP,train,val
501,td-RFP611,train,train
502,td-RFP639,test,train
503,tdStayGold,val,train
504,tdTomato,train,test
505,Thermostable Green Protein,train,train
506,tKeima,train,train
507,Topaz,test,train
508,T-Sapphire,val,train
509,TurboFP602,train,val
510,TurboGFP,train,test
511,TurboRFP,train,train
512,TurboYFP,train,train
513,Turquoise-GL,train,test
514,Ultramarine,val,train
515,usGFP,train,train
516,Var1,train,test
517,Venus,train,train
518,VFP,val,train
519,vsfGFP-0,train,train
520,vsfGFP-9,train,test
521,W1C,train,test
522,W2,train,train
523,W7,train,train
524,WasCFP,test,train
525,YFP3,test,train
526,YGFPdp,train,train
527,YGFPuv,train,train
528,YPet,train,train
529,YuzuFP,test,train
530,zFP538,train,train
531,ZsGreen,train,train
532,ZsYellow1,train,val
533,αGFP,train,train
